Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-02-18,2025-10-23,2025-07-24,2025-04-24,2025-02-24,2024-10-25,2024-07-26,2024-04-26,2024-02-23,2023-10-27,2023-07-28,2023-04-28,2023-02-24,2022-10-28,2022-07-29,2022-04-29,2022-02-25
Revenue & Margin,Segment-1,-,-,-,-,Subsea Robotics Member,-,-,-,Subsea Robotics Member,-,-,-,Subsea Robotics Member,-,-,-,Subsea Robotics Member
Revenue & Margin,Segment-1 %,-,-,-,-,3118.3%,-,-,-,3103.6%,-,-,-,3010.1%,-,-,-,2880.9%
Revenue & Margin,Segment-2,-,-,-,-,Offshore Projects Group,-,-,-,Offshore Projects Group,-,-,-,Offshore Projects Group,-,-,-,Offshore Projects Group
Revenue & Margin,Segment-2 %,-,-,-,-,2221.0%,-,-,-,2253.3%,-,-,-,2368.3%,-,-,-,2022.8%
Revenue & Margin,Segment-3,-,-,-,-,Manufactured Products Member,-,-,-,Manufactured Products Member,-,-,-,Manufactured Products Member,-,-,-,Aerospace and Defense Technologies Member
Revenue & Margin,Segment-3 %,-,-,-,-,2087.4%,-,-,-,2036.1%,-,-,-,1850.7%,-,-,-,1963.3%
Revenue & Margin,Others,-,-,-,-,"Aerospace and Defense Technologies Member, Integrity Managements & Digital Solutions Member",-,-,-,"Aerospace and Defense Technologies Member, Integrity Managements & Digital Solutions Member",-,-,-,"Aerospace and Defense Technologies Member, Integrity Managements & Digital Solutions Member",-,-,-,"Manufactured Products Member, Integrity Managements & Digital Solutions Member"
Revenue & Margin,Others %,-,-,-,-,2573.3%,-,-,-,2607.0%,-,-,-,2770.9%,-,-,-,3133.0%
Revenue & Margin,Revenue Total,2784156000,2829032000,2765945000,2736592000,2661161000,2602340000,2557709000,2486811000,2424706000,2306300000,2230791000,2156912000,2066084000,1996570000,1903713000,1877881000,1869275000
Revenue & Margin,Rev-CoGS / Sale (%),20.417031229571904,20.43479889941153,20.113812819849997,19.298492431462197,18.243691381318154,17.260849850519147,16.92612412123506,16.63938272751729,16.454407255972477,16.625937649048257,16.339540548621542,15.73833332096998,14.87727507690878,14.847363227935912,13.685466244123983,13.466668015704936,14.126599884982147
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),11.575716303253122,9.469458104397546,11.19230498075703,10.343120202061543,9.254231517747328,8.294073795122852,7.914739323355394,7.691416838674109,7.478349952530328,7.6336556389021375,7.396524371848372,6.428264110914121,5.365851533625932,2.8105200418718104,1.3136433905741045,1.330062980561601,2.129114228778537
Revenue & Margin,Op. Income / Rev (%),10.93875483270334,11.206978217284217,10.913955266644853,10.343120202061543,9.254231517747328,8.294073795122852,7.914739323355394,7.691416838674109,7.478349952530328,7.6336556389021375,7.396524371848372,6.428264110914121,5.365851533625932,2.8105200418718104,1.3136433905741045,1.330062980561601,2.129114228778537
Revenue & Margin,Net Profit / Rev (%),12.706220484771686,8.208001888985349,7.308713658442232,6.676552441869303,5.541491101064536,5.222146222246132,4.86658177298512,4.362132868159261,4.0171055789856585,3.2954082296318776,2.8910373047049234,2.281548806812703,1.2555636653688813,-1.8030923033001598,-3.2396164758028125,-3.149933355734469,-2.637760629120916
EBITDA,Net Income,353761000,232207000,202155000,182710000,147468000,135898000,124473000,108478000,97403000,76002000,64493000,49211000,25941000,-36000000,-61673000,-59152000,-49307000
EBITDA,D & A,102255000,101113000,100253000,100833000,103443000,103798000,104131000,104197000,104960000,107304000,111957000,116771000,120969000,126914000,130906000,135271000,139723000
EBITDA,Net Int Inc,-22494000,-12543000,-24401000,-25060000,-25793000,-24299000,-24196000,-22445000,-21098000,-23110000,-25188000,-28677000,-32507000,-34100000,-34898000,-35092000,-36333000
EBITDA,Tax Provision,-67861000,64320000,83073000,79406000,77448000,66811000,62945000,62105000,63652000,73542000,69727000,61439000,53111000,52873000,46743000,41519000,43598000
EBITDA,EBITDA,410649000,410183000,409882000,388009000,354152000,330806000,315745000,297225000,287113000,279958000,271365000,256098000,232528000,177887000,150874000,152730000,170347000
EBITDA,Stock-Based Comp,0,0,0,0,0,0,0,0,0,0,2362000,4841000,7413000,18312000,15950000,13471000,10899000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,24.03,24.78,20.72,21.81,26.08,24.87,23.52,23.45,21.28,25.72,18.7,17.63,17.49,7.96,10.68,15.16,11.31
Capital Structure,O/S Shares,100762000,100022000,100558000,100746000,101180000,101415000,101025000,101025000,100803888,100780000,100776000,100441000,100259525,100259525,100256037,99963000,99799000
Capital Structure,Market Capitalization,2421310860,2478545160,2083561760,2197270260,2638774400,2522191050,2376108000,2369036250,2145106736,2592061600,1884511200,1770774830,1753539092,798065819,1070734475,1515439080,1128726690
Capital Structure,Cash,688874000,505992000,434048000,381984000,497516000,451858000,382873000,354697000,461566000,556427000,504019000,504977000,568745000,427507000,368412000,438019000,538114000
Capital Structure,Debt,487417000,899925000,804138000,832907000,851749000,880389000,893224000,912077000,848657000,1029661000,959061000,885682000,872395000,868433000,865424000,874942000,879351000
Capital Structure,Enterprise Value,2219853860,2872478160,2453651760,2648193260,2993007400,2950722050,2886459000,2926416250,2532197736,3065295600,2339553200,2151479830,2057189092,1238991819,1567746475,1952362080,1469963690
Capital Structure,netCommonStockIssuance,0,-10104000,-10106000,-10008000,-10056000,-9990000,498000,-7344000,0,0,0,0,0,0,0,0,0
Capital Structure,netDebtIssuance,0,0,0,0,0,0,0,0,-221406000,15734000,8346999,-6281000,4656000,0,0,0,-36990000
Liquidity & Cash Flow,DSO,64.12513029083141,81.77907319535444,81.73721277899597,82.25805079821909,82.40614340883546,83.81181744122598,85.24415355695272,86.03422767150379,86.39122326943968,87.48605121135584,88.04175678436484,88.8726226006207,90.44349055991916,91.14300838437921,95.10781102508625,98.75236237013954,101.86453839055248
Liquidity & Cash Flow,DIO,27.40785588753783,36.013168475182425,37.65415799997104,37.86835892343617,38.27734896930458,38.12447286631611,37.20008831469305,37.13960627991708,37.13698669865506,37.91747535956931,37.08956137577761,36.09894082368153,35.47061776066167,35.04533030376465,34.10013945511785,32.22935806492705,30.82743690856648
Liquidity & Cash Flow,DPO,20.66877482833976,27.70346635272166,28.735593032791336,29.207407523123464,28.94388881662497,28.168339329188715,27.319325504473856,27.05031087480542,27.237318800336666,28.312776671784057,28.24609184531879,27.927284794629838,27.05834243566438,26.611693974350224,25.42123783076849,24.42455752117086,23.84445648855913
Liquidity & Cash Flow,CCC,70.86421135002948,90.0887753178152,90.65577774617566,90.91900219853179,91.73960356151508,93.76795097835338,95.12491636717192,96.12352307661546,96.29089116775806,97.09074989914109,96.88522631482367,97.04427862967239,98.85576588491645,99.57664471379363,103.7867126494356,106.55716291389572,108.84751881055982
Liquidity & Cash Flow,OCF,320865000,228113000,218781000,192213000,203214000,226729000,198672000,159401000,193752000,196835000,218860000,161527000,116392000,101412000,52009000,146953000,225731000
Liquidity & Cash Flow,CapEx,-111015000,-114449000,-115120000,-107706000,-107136000,-107307000,-108366000,-107936000,-100726000,-92630000,-85965000,-80032000,-81043000,-69477000,-62685000,-58819000,-50199000
Liquidity & Cash Flow,FCF,209850000,113664000,103661000,84506999,96077999,119421999,90305999,51465000,93026000,104205000,132895000,81495000,35349000,31935000,-10676000,88134000,175532000
BQR,Total Debt / Adj Ebitda,1.1869431071304204,2.193959769176197,1.9618768328445748,2.14661773309382,2.4050379498068626,2.661345320217892,2.8289410758681846,3.06864160148036,2.9558292379655398,3.6779124011458864,3.5342103808523575,3.4583714046966394,3.7517847313011767,4.88193628539466,5.7360711587152196,5.7286846068224975,5.1621161511502995
BQR,Adj Ebitda / Interest Expense,18.255934915977594,32.70214462249861,16.79775419040203,15.48320031923384,13.730547047648587,13.613975883781226,13.04947098693999,13.242370238360436,13.608541093942554,12.114149718736478,10.773582658408767,8.930432053562088,7.153167010182422,5.216627565982405,4.3232850020058455,4.3522740225692464,4.688492554977569
BQR,Net Income before extraordinary,353761000,232207000,202155000,182710000,147468000,135898000,124473000,108478000,97403000,76002000,64493000,49211000,25941000,-36000000,-61673000,-59152000,-49307000
BQR,(NCO-CAPEX) / Total Debt (%),43.053483977784936,12.63038586548879,12.890946578821048,10.14603058924946,11.28008356922051,13.564685496979177,10.110117842780758,5.642615700209522,10.961554550307133,10.12032115424397,13.856782832374583,9.201383792376948,4.051948945145261,3.677313045450829,-1.2336149679232375,10.073124847132725,19.96153981743354
BQR,Score: Operating Leverage,35,42,42,42,42,45,45,45,45,48,48,48,52,58,65,65,58
BQR,Score: ICR,25,15,25,25,35,35,35,35,35,35,42,45,48,48,55,55,52
BQR,Score: Net Income,35,35,35,42,42,42,42,42,42,42,45,48,48,75,75,75,75
BQR,Score: FCF/Debt,25,55,55,58,58,55,58,65,58,58,55,58,75,75,75,58,48
BQR,BQR,31.0,39.45,40.95,43.45,44.95,45.25,46.0,47.75,46.0,47.05,48.099999999999994,50.05,56.15,65.0,68.5,64.25,58.849999999999994
