Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3
Header,Statement Date,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Header,Filing Date,2025-11-06,2025-08-08,2025-05-08,2025-03-03,2024-11-08,2024-08-09,2024-05-09,2024-03-05,2023-11-09,2023-08-08,2023-05-04,2023-03-07,2022-11-09,2022-08-09,2022-05-10,2022-02-22,2021-11-05
Revenue & Margin,Segment-1,-,-,-,"Natural Gas, NGLs and Condensate Sales",-,-,-,"Natural Gas, NGLs and Condensate Sales",-,-,-,"Natural Gas, NGLs and Condensate Sales",-,-,-,Service,-
Revenue & Margin,Segment-1 %,-,-,-,7168.2%,-,-,-,6545.7%,-,-,-,6644.9%,-,-,-,4834.8%,-
Revenue & Margin,Segment-2,-,-,-,Gathering and Processing Services,-,-,-,Gathering and Processing Services,-,-,-,Gathering and Processing Services,-,-,-,"Natural Gas, Processing",-
Revenue & Margin,Segment-2 %,-,-,-,2751.3%,-,-,-,3325.0%,-,-,-,3246.5%,-,-,-,3654.3%,-
Revenue & Margin,Segment-3,-,-,-,"Product and Service, Other",-,-,-,"Product and Service, Other",-,-,-,"Product and Service, Other",-,-,-,"Natural Gas, Gathering",-
Revenue & Margin,Segment-3 %,-,-,-,80.5%,-,-,-,129.3%,-,-,-,108.6%,-,-,-,616.2%,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Natural Gas, Transmission, Product, Natural Gas Liquids, Service, Other",-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,894.7%,-
Revenue & Margin,Revenue Total,1719686000,1652079000,1584798000,1482929000,1446081000,1380020000,1316766000,1256412000,1203037000,1197912000,1237281000,1213490000,1137369000,978779000,778973000,669827000,566566000
Revenue & Margin,Rev-CoGS / Sale (%),33.93538122657276,35.690424005147456,34.78291870635879,36.287239645323545,38.08285981214053,36.168026550339846,36.26285915644845,36.58871452994718,35.710372997671726,36.05957699730865,34.91405751805774,33.920922298494425,31.02818874085719,29.309067726218075,26.405408146367076,27.599215916945717,29.446348704299236
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),26.30358100257838,27.77518508497475,26.099603861186093,27.240481506532007,29.810778234414254,27.997637715395427,28.32439476717959,28.796206976692357,27.795487586832323,28.05097536379968,26.910459305525585,26.1525846937346,23.744009200180415,22.531541849590152,20.536912062420647,23.331248217823408,25.075454580754936
Revenue & Margin,Op. Income / Rev (%),8.152185922313725,11.69913787415735,10.879115193229673,12.086418162973413,14.639567216497554,12.842277648150027,12.006005622866933,12.675380368859896,12.313004504433362,12.983507970535399,12.825623282019203,12.401338288737444,9.735626696349206,8.272449654109867,5.263597069474808,7.985793346640252,7.213634422114988
Revenue & Margin,Net Profit / Rev (%),7.294994551330883,11.715904626836853,14.392244311262381,16.469635430961294,34.25555000031119,32.95894262401994,31.71102534542964,30.75838180469464,13.928083674899442,14.453732828454847,9.9751794458979,11.167623960642445,7.132953333526762,3.7857371275844702,-0.03312053177709626,0.22125115888132307,-4.472912246763837
EBITDA,Net Income,125451000,193556000,228088000,244233000,495363000,454840000,417560000,386452000,167560000,173143000,123421000,135518000,81128000,37054000,-258000,1482000,-25342000
EBITDA,D & A,179372000,171546000,343264000,324197000,308965000,291317000,285738000,280986000,276007000,271077000,268176000,260345000,265876000,258025000,248610000,243558000,233858000
EBITDA,Net Int Inc,-213667000,-214187000,-214274000,-226065000,-231357000,-221925000,-185152000,-189418000,-193335000,-180990000,-191253000,-148763000,-121240000,-111317000,-118577000,-117363000,-113904000
EBITDA,Tax Provision,12777000,19928000,21815000,23035000,-213677000,-220634000,-229537000,-232908000,2402000,2505000,2356000,2616000,2902000,2703000,2541000,1865000,1548000
EBITDA,EBITDA,531267000,599217000,807441000,817530000,822008000,747448000,658913000,623948000,639304000,627715000,585206000,547242000,471146000,409099000,369470000,364268000,323968000
EBITDA,Stock-Based Comp,37897000,38839000,74628000,76536000,65511000,62841000,61004000,55983000,55154000,55315000,54188000,42780000,30966000,18304000,6132000,0,0
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,42.74,44.05,51.94,56.71,45.26,41.67,39.34,33.4,33.75,35.14,31.3,33.08,32.58,34.14,32.51,30.66,34.52
Capital Structure,O/S Shares,61866000,61721000,60162000,59783000,59811000,59792000,57869000,55738000,53340000,50553000,47392000,44403000,41816000,39297000,37793000,37793000,37793000
Capital Structure,Market Capitalization,2644152840,2718810050,3124814280,3390293930,2707045860,2491532640,2276566460,1861649200,1800225000,1776432420,1483369600,1468851240,1362365280,1341599580,1228650430,1158733380,1304614360
Capital Structure,Cash,7737000,10733000,8845000,3606000,20438000,12549000,9756000,4510000,68000,2237000,1984000,6394000,11728000,5319000,17646000,18729000,108988000
Capital Structure,Debt,4219302000,4006801000,3753237000,3534387000,3468319000,3455286000,3545116000,3601361000,3656029000,3685340000,3576659000,3397343000,3482012000,3024044000,2951098000,2369367000,657000000
Capital Structure,Enterprise Value,6855717840,6714878050,6869206280,6921074930,6154926860,5934269640,5811926460,5458500200,5456186000,5459535420,5058044600,4859800240,4832649280,4360324580,4162102430,3509371380,1852626360
Capital Structure,netCommonStockIssuance,-100000000,-72554000,0,0,0,0,0,0,0,-3325000,-2432000,0,0,0,0,-14890000,0
Capital Structure,netDebtIssuance,206100000,209875000,214225000,73700000,20700000,-111200000,-47000000,-36000000,-20000000,113000000,142000000,-80000000,475000000,16252000,-19382000,-53371000,-30197000
Liquidity & Cash Flow,DSO,29.361440111741327,28.33447658979988,31.352544614518692,38.88131444593773,46.420805611857155,49.63194102259387,58.05189665437899,60.0525156158967,61.83055467121958,65.07059992720667,71.4579671069062,77.63743314736834,80.7532361968719,69.8186554370292,54.63452199241823,29.56623314676775,20.703364656544867
Liquidity & Cash Flow,DIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5844626694631778,1.632152572702307,1.6480873425158298,1.5675633555860204,0.0,0.0,0.43336325060557185,1.0705856803457985,1.997693108709997,2.6290705295784935
Liquidity & Cash Flow,DPO,10.770208977347144,10.275840161137753,11.259527757970275,10.172552298598138,11.42332041877566,11.659134072885045,11.344317197465891,12.1629328598845,10.62940247831731,10.53994386056531,7.153523362838013,6.339430800523281,5.8194464628077265,4.487538444417466,3.680038794171106,2.299313345430551,3.053666447353608
Liquidity & Cash Flow,CCC,18.591231134394185,18.058636428662126,20.093016856548417,28.708762147339595,34.997485193081495,37.972806949708826,46.7075794569131,49.47404542547538,52.83330476560458,56.1787434091572,65.8720070996542,71.29800234684507,74.93378973406416,65.76448024321729,52.025068878592926,29.264612910047195,20.278768738769756
Liquidity & Cash Flow,OCF,638020000,664031000,660471000,637346000,672251000,632655000,618594000,584480000,565347000,575135000,634204000,613006000,572939000,453753000,335844000,279045000,195684000
Liquidity & Cash Flow,CapEx,-284150000,-175750000,-297150000,-275873000,-232226000,-255553000,-321135000,-329554000,-308646000,-315758000,-257403000,-218020000,-185080000,-116186000,-90552000,-81071000,-86117000
Liquidity & Cash Flow,FCF,353870000,488281000,363321000,361473000,440025000,377102000,297459000,254926000,256701000,259377000,376801000,391427000,384300000,334008000,243632999,199091999,108901999
BQR,Total Debt / Adj Ebitda,7.941961386647392,6.686727846506358,4.6483111459536985,4.32325052291659,4.219325116057265,4.622777771831619,5.3802489858296925,5.771892850045196,5.718764468859885,5.871040201365269,6.111794820969027,6.208118163445057,7.3905158910401445,7.391961358986456,7.987381925460795,6.504461001240845,2.0279780719083367
BQR,Adj Ebitda / Interest Expense,2.486425138182312,2.7976347770873113,3.768263998431914,3.616349280074315,3.5529852133283195,3.36802072772333,3.5587679312132736,3.294026966814136,3.3067163214110225,3.4682302889662413,3.059852655906051,3.6786163226071,3.8860607060376116,3.675081074768454,3.1158656400482387,3.1037720576331553,2.844219693777216
BQR,Net Income before extraordinary,125451000,193556000,228088000,244233000,495363000,454840000,417560000,386452000,167560000,173143000,123421000,135518000,81128000,37054000,-258000,1482000,-25342000
BQR,(NCO-CAPEX) / Total Debt (%),8.38693224613929,12.186305234525,9.680204047865882,10.227318061095177,12.686981791467279,10.913770958467692,8.39067043222281,7.078601673089701,7.0213064502497105,7.038075184379189,10.534999282850281,11.521562585820742,11.03672244667738,11.045077386440145,8.255672939360197,8.402750565868436,16.57564672754947
BQR,Score: Operating Leverage,75,75,55,55,52,55,65,65,65,65,65,65,75,75,75,75,42
BQR,Score: ICR,65,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
BQR,Score: Net Income,42,42,35,35,35,35,35,35,42,42,42,42,42,48,65,58,75
BQR,Score: FCF/Debt,58,55,58,58,55,58,58,58,58,58,58,58,58,58,58,58,52
BQR,BQR,61.0,59.2,51.2,51.2,49.4,51.2,54.7,54.7,56.45,56.45,56.45,56.45,59.95,61.45,65.7,63.95,55.15
