Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3
Header,Statement Date,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Header,Filing Date,2025-10-28,2025-07-23,2025-04-22,2025-02-25,2024-10-22,2024-07-23,2024-04-23,2024-02-21,2023-10-24,2023-07-24,2023-04-24,2023-02-27,2022-10-24,2022-07-25,2022-04-26,2022-02-22,2021-10-26
Revenue & Margin,Segment-1,-,-,-,Natural Gas Natural Gas Liquids And Oil Sales,-,-,-,Natural Gas Natural Gas Liquids And Oil Sales,-,-,-,Brokered Natural Gas Marketing And Other,-,-,-,Brokered Natural Gas Marketing And Other,-
Revenue & Margin,Segment-1 %,-,-,-,10000.0%,-,-,-,9143.8%,-,-,-,10000.0%,-,-,-,10000.0%,-
Revenue & Margin,Segment-2,-,-,-,-,-,-,-,Brokered Natural Gas Marketing And Other,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,-,-,856.2%,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,2868546000,2780867000,2591062000,2340566000,2323881000,2327302000,2330703000,2553264000,3085164000,4082087000,5033909000,5335309000,5410375000,4796981000,4016321000,3580439000,2836532000
Revenue & Margin,Rev-CoGS / Sale (%),34.366574564256595,33.50976512001473,29.73487319099273,24.285536062644677,24.507192924250422,25.5449872857068,25.82692861338403,30.948190238063905,41.54699717745961,52.6751389669059,59.18670758648994,60.91680912951808,60.01153339648361,55.71568868002604,48.948428175935135,43.8360491548662,33.44598262949263
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),28.26313400586918,27.328455478093705,23.17814085498533,16.93094747167993,17.209788280897342,18.40581927055449,18.724565077575306,24.496056811986538,36.324130581064736,48.66716461457093,55.86938500477462,57.79830184156156,56.89766420996696,52.02659756209166,44.608660512942066,39.094563543744215,27.522305406743165
Revenue & Margin,Op. Income / Rev (%),26.640186352249533,25.311458620638817,21.17309427562907,14.860166301655239,15.249231780801168,16.47929662759711,16.68003173291492,22.527752711822984,33.695388640603866,46.562113938286956,54.14015231502993,56.18025122818566,55.95503084351824,51.18594382591885,43.86681243854761,38.436683322910966,26.608830783506054
Revenue & Margin,Net Profit / Rev (%),20.002433288502257,17.26540679579426,10.468834786662766,11.379298853354273,20.721026593014013,20.63788885155429,20.67329041924261,34.11875936056749,44.579283305522814,41.62089147046596,42.14666971532461,22.179971206916036,23.29783055703163,11.197584480739032,-1.7971920073121646,11.500768481183453,-17.969936528126603
EBITDA,Net Income,573779000,480128000,271254000,266340000,481532000,480306000,481833000,871142000,1375344000,1699001000,2121625000,1183370000,1260500000,537146000,-72181000,411778000,-509723000
EBITDA,D & A,368350000,287094000,276397000,267219000,265703000,353322000,350740000,350165000,350044000,352896000,354378000,353420000,355000000,357645000,363953000,369761000,370615000
EBITDA,Net Int Inc,-108316000,-113369000,-116205000,-117458000,-118837000,-120065000,-121317000,-123059000,-129715000,-137865000,-149009000,-164046000,-183256000,-201333000,-216676000,-226385000,-218631000
EBITDA,Tax Provision,85366000,61902000,-21256000,-15735000,91995000,92120000,125526000,229201000,335876000,379801000,468420000,230460000,65386000,-23920000,-128513000,-9743000,44505000
EBITDA,EBITDA,1135811000,942493000,642600000,635282000,958067000,1045813000,1079416000,1573567000,2190979000,2569563000,3093432000,1931296000,1864142000,1072204000,379935000,998181000,124028000
EBITDA,Stock-Based Comp,52645000,39610000,50732000,53864000,45280000,55783000,65383000,67849000,72728000,71207000,42527000,107959000,95397000,122988000,130946000,44833000,44833000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,37.64,40.67,39.93,35.98,30.76,33.42,34.81,30.44,32.41,29.4,26.47,25.02,25.26,24.75,30.38,17.83,22.63
Capital Structure,O/S Shares,237378000,238187000,240035000,242355000,240865000,241125000,240505000,244934751,241338000,238970000,238019000,234948000,239768000,243492000,244691228,243369000,243240972
Capital Structure,Market Capitalization,8934907920,9687065290,9584597550,8719932900,7409007400,8058397500,8371979050,7455813820,7821764579,7025718000,6300362930,5878398960,6056539680,6026427000,7433719506,4339269270,5504543196
Capital Structure,Cash,175000,134000,344574000,304490000,277450000,251052000,343111000,211974000,162801000,162075000,227633000,207000,157144000,356000,112931000,214422000,478000
Capital Structure,Debt,1373088000,1384142000,1799544000,1820758000,1828688000,1840615000,1907609000,1801877000,1791041000,1790790000,1852191000,1951259000,2397282000,2384584000,2603130000,2969714000,2976219000
Capital Structure,Enterprise Value,10307820920,11071073290,11039567550,10236200900,8960245400,9647960500,9936477050,9045716820,9450004579,8654433000,7924920930,7829450960,8296677680,8410655000,9923918506,7094561270,8480284196
Capital Structure,netCommonStockIssuance,-56255000,-44485000,-67477000,-21124000,-33937000,-10199000,1689000,-9379000,0,-1829000,-7834000,-90808000,-175997000,-99700000,-16199000,357000,0
Capital Structure,netDebtIssuance,139000,-464721000,-20915000,-1440000,-9831000,-64113000,-4972000,-5307000,1041000,-51527000,-48064000,-545281000,-23147000,-213743000,-358540000,-15077000,-81813000
Liquidity & Cash Flow,DSO,35.20027219364793,34.40424065588178,35.92367724122387,33.69686968878468,33.17142691471724,34.54170053993852,33.78680863670747,34.605512786770184,35.23148242686612,35.94876070745185,36.779599114723766,37.47248566109292,36.88047432017189,36.50529963533314,36.580827951749875,37.057509917080004,38.777772470044404
Liquidity & Cash Flow,DIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09522306876672794,0.09177610992426252,0.09347035037259158,0.09683987719439424,0.0,0.0
Liquidity & Cash Flow,DPO,26.01111487338831,24.376959499839103,24.739369377237225,25.977008397158926,25.044138527773327,27.21670736204498,28.092319670699247,29.04473150603349,33.28386394147405,35.25485521072634,37.13701214502381,38.98758889396698,36.38163581117121,34.093696894521045,31.554802245421,28.81955101555709,28.47557251502522
Liquidity & Cash Flow,CCC,9.189157320259625,10.027281156042676,11.184307863986646,7.7198612916257545,8.12728838694391,7.324993177893539,5.6944889660082225,5.560781280736695,1.94761848539207,0.693905496725506,-0.35741303030004445,-1.419880164107333,0.5906146189249455,2.505073091184684,5.122865583523264,8.237958901522916,10.302199955019184
Liquidity & Cash Flow,OCF,1131708000,1130082000,942667000,944514000,952719000,857051000,834866000,977892000,1364452000,1735170000,1933286000,1864744000,1569748000,1240633000,1090110000,792948000,564995000
Liquidity & Cash Flow,CapEx,-149460000,-464627000,-471916000,-626511000,-634771000,-630664000,-622614000,-606229000,-560118000,-553373000,-522897000,-487390000,-461721000,-426788000,-409737000,-418603000,-425073000
Liquidity & Cash Flow,FCF,982248000,507855000,313151000,318003000,317948000,226387000,212252000,371663000,804334000,1181797000,1410389000,1377354000,1108027000,813845000,680373000,374345000,139922000
BQR,Total Debt / Adj Ebitda,1.2089053548521718,1.4685965837412056,2.8004108309990663,2.866062630453877,1.90872663394105,1.7599848156410371,1.767260259251299,1.1450907397015824,0.8174615092157432,0.6969239516602629,0.598749544195573,1.0103365822742862,1.2859975259395475,2.2240021488448094,6.851514074775949,2.975125753746064,23.996347598929272
BQR,Adj Ebitda / Interest Expense,10.486087004689981,8.313498399033245,5.529882535174907,5.408588601883227,8.062026136640945,8.71039020530546,8.897483452442774,12.787093995563104,16.890714258181397,18.638254814492438,20.76003462878081,11.772892969045268,10.172338149910507,5.325525373386379,1.7534706197271501,4.409218808666652,0.5672937506575005
BQR,Net Income before extraordinary,573779000,480128000,271254000,266340000,481532000,480306000,481833000,871142000,1375344000,1699001000,2121625000,1183370000,1260500000,537146000,-72181000,411778000,-509723000
BQR,(NCO-CAPEX) / Total Debt (%),71.53569181290638,36.69096089852053,17.401686204949698,17.465418248883157,17.386672849605837,12.299530320028904,11.126598794616717,20.62643565570791,44.90874301593319,65.99305334517169,76.14706042735334,70.58796397607904,46.22013597065343,34.129433058344766,26.136727708566227,12.60542260971932,4.701334142413579
BQR,Score: Operating Leverage,35,35,45,45,42,42,42,35,25,25,25,35,35,42,75,45,75
BQR,Score: ICR,42,45,48,48,45,45,45,35,25,25,25,42,42,48,65,55,75
BQR,Score: Net Income,35,35,35,35,35,35,35,35,25,25,25,25,25,35,75,35,75
BQR,Score: FCF/Debt,15,35,48,48,48,55,58,45,25,15,15,15,25,35,42,55,75
BQR,BQR,31.05,36.5,43.699999999999996,43.699999999999996,42.2,43.95,44.7,37.5,25.0,22.5,22.5,28.55,31.05,39.4,65.25,46.5,75.0
