Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-02-11,2025-10-22,2025-07-24,2025-04-21,2025-02-05,2024-10-21,2024-07-18,2024-04-22,2024-02-07,2023-10-23,2023-07-24,2023-04-24,2023-02-08,2022-10-24,2022-07-25,2022-04-25,2022-02-09
Revenue & Margin,Segment-1,Commercial Aerospace Market Applications,-,-,-,Commercial Aerospace Market Applications,-,-,-,Commercial Aerospace Market Applications,-,-,-,Commercial Aerospace Market Applications,-,-,-,Commercial Aerospace Market Applications
Revenue & Margin,Segment-1 %,6055.8%,-,-,-,6275.4%,-,-,-,5970.9%,-,-,-,5779.3%,-,-,-,5044.2%
Revenue & Margin,Segment-2,Space And Defense Market Applications,-,-,-,Space And Defense Market Applications,-,-,-,Space And Defense Market Applications,-,-,-,Space And Defense Market Applications,-,-,-,Space And Defense Market Applications
Revenue & Margin,Segment-2 %,3944.2%,-,-,-,2992.6%,-,-,-,3045.3%,-,-,-,2948.6%,-,-,-,3283.0%
Revenue & Margin,Segment-3,-,-,-,-,Industrial Market Applications,-,-,-,Industrial Market Applications,-,-,-,Industrial Market Applications,-,-,-,Industrial Market Applications
Revenue & Margin,Segment-3 %,-,-,-,-,732.0%,-,-,-,983.8%,-,-,-,1272.1%,-,-,-,1672.8%
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,1893900000,1876400000,1876700000,1887200000,1902800000,1886500000,1849500000,1803400000,1789000000,1760900000,1706100000,1644800000,1577700000,1508600000,1477700000,1405000000,1324700000
Revenue & Margin,Rev-CoGS / Sale (%),22.95791752468451,23.038797697719033,23.38679597165237,24.056803730394236,24.642631910868193,24.039226080042404,23.714517437145176,23.444604635688144,24.21464505310229,24.373899710375376,24.582380868647792,24.203550583657588,22.63421436267985,21.682354500861724,21.066522298166067,20.19217081850534,18.879746357665887
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),14.034531918263902,13.696439991473033,14.115202216656897,15.001059771089444,15.508723985705277,15.144447389345347,14.879697215463638,14.616834867472553,15.058692006707657,15.134306320631497,15.421135924037277,14.834630350194553,13.253470241490778,12.435370542224579,11.423157609799011,10.220640569395018,8.688759719181702
Revenue & Margin,Op. Income / Rev (%),9.060668461904008,6.347260712001705,7.225448926306815,9.40016956337431,9.943241538784948,12.080572488735754,11.841038118410381,11.561494953975822,12.034656232532141,11.823499346924867,12.039153625227126,12.639834630350194,11.104772770488685,10.453400503778337,9.453881031332475,6.555160142348754,3.9103193175813393
Revenue & Margin,Net Profit / Rev (%),5.7764401499551195,3.6665956086122358,4.689081899078169,6.597075031793133,6.942400672692874,5.7301881791677705,5.785347391186807,5.517356105134746,5.908328675237563,9.137372934294962,8.733368501260184,9.192607003891052,8.005324206122836,7.172212647487737,6.117615212830751,3.409252669039146,1.2153695176266326
EBITDA,Net Income,109400000,68800000,88000000,124500000,132100000,108100000,107000000,99500000,105700000,160900000,149000000,151200000,126300000,108200000,90400000,47900000,16100000
EBITDA,D & A,122300000,122500000,122600000,122800000,124000000,124700000,125200000,125200000,124900000,124500000,124000000,124700000,126200000,130500000,133200000,135700000,138000000
EBITDA,Net Int Inc,-37700000,-34200000,-33500000,-32500000,-31200000,-30700000,-30000000,-31100000,-34000000,-35600000,-36800000,-36500000,-36200000,-36200000,-36700000,-37100000,-38300000
EBITDA,Tax Provision,25600000,16600000,14600000,20000000,22800000,17400000,12500000,10300000,12100000,29900000,37400000,38600000,31600000,28500000,26800000,18100000,5900000
EBITDA,EBITDA,295000000,242100000,258700000,299800000,310100000,280900000,274700000,266100000,276700000,350900000,347200000,351000000,320300000,303400000,287100000,238800000,198300000
EBITDA,Stock-Based Comp,13400000,16300000,18200000,18800000,22200000,21900000,21600000,21100000,20900000,23100000,22900000,22500000,20000000,18000000,18500000,20400000,19000000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,73.9,62.7,56.49,54.76,62.7,61.83,62.49,71.79,73.75,65.14,76.02,68.25,58.85,51.72,52.31,59.47,51.8
Capital Structure,O/S Shares,76900000,79800000,80200000,81100000,81200000,81500000,82500000,83900000,84400000,84600000,84700000,84600000,84500000,84400000,84400000,84300000,84200000
Capital Structure,Market Capitalization,5682910000,5003460000,4530498000,4441036000,5091240000,5039145000,5155425000,6023181000,6224500000,5510844000,6438894000,5773950000,4972825000,4365168000,4414964000,5013321000,4361560000
Capital Structure,Cash,71000000,90500000,77200000,89200000,125400000,98200000,75400000,85900000,227000000,97700000,104200000,105700000,112000000,90900000,99200000,112800000,127700000
Capital Structure,Debt,993000000,757900000,827700000,787200000,700700000,805200000,795000000,714700000,728900000,754200000,779100000,768700000,773100000,797300000,812500000,858200000,823300000
Capital Structure,Enterprise Value,6604910000,5670860000,5280998000,5139036000,5666540000,5746145000,5875025000,6651981000,6726400000,6167344000,7113794000,6436950000,5633925000,5071568000,5128264000,5758721000,5057160000
Capital Structure,netCommonStockIssuance,-353400000,0,-50500000,-50400000,0,-50400000,-101100000,-100700000,0,-30100000,0,0,0,0,0,0,0
Capital Structure,netDebtIssuance,234900000,-70200000,40300000,85800000,-104600000,9800000,80200000,14900000,-55100000,-25000000,7500000,44900000,-74200000,-15200000,-45900000,34700000,-54200000
Liquidity & Cash Flow,DSO,54.39153334389355,54.53408121935622,55.541575638088126,55.49848982619755,55.42233813327727,56.77186588921283,56.629764801297654,56.40255905511811,56.43320290665176,57.069467317848826,57.158944376062365,58.16854632782101,57.791088293084876,56.5730644305979,56.483978480070384,55.82811387900356,56.6015890390277
Liquidity & Cash Flow,DIO,90.26189089164554,92.93080465341734,94.50575532062874,93.28739882779793,91.47909547388241,90.14837752965805,89.93062938549862,92.52562291757208,94.2719243251217,94.9433055492979,94.88099401569907,91.38174781422957,86.70469441258398,83.88975878121033,80.39137517146776,80.44290109694106,79.82039828773496
Liquidity & Cash Flow,DPO,31.256767870605167,31.309725780763106,31.434222423146473,32.4073751046609,33.05338587070228,34.143928820655965,32.97133035651003,33.2124619730552,33.40942616905148,33.767365022152134,36.04045231988808,36.16477500601589,36.2278797312797,34.159860347016505,32.794924554183815,32.763087487737444,32.14893914014517
Liquidity & Cash Flow,CCC,113.39665636493393,116.15516009201045,118.61310853557038,116.37851354933457,113.8480477364574,112.77631459821492,113.58906383028622,115.715719999635,117.295701062722,118.2454078449946,115.99948607187335,113.38551913603469,108.26790297438916,106.30296286479172,104.08042909735434,103.50792748820717,104.2730481866175
Liquidity & Cash Flow,OCF,230500000,267600000,247500000,268400000,289900000,286300000,264200000,273500000,257100000,214800000,184900000,168700000,173100000,143900000,131100000,133900000,151700000
Liquidity & Cash Flow,CapEx,-70600000,-73700000,-76800000,-84400000,-87000000,-82200000,-85000000,-118800000,-108200000,-112400000,-113200000,-73500000,-76300000,-71200000,-56600000,-43900000,-27900000
Liquidity & Cash Flow,FCF,159900000,193900000,170700000,184000000,202900000,204100000,179200000,154700000,148900000,102400000,71700000,95200000,96800000,72700000,74500000,90000000,123800000
BQR,Total Debt / Adj Ebitda,3.3661016949152542,3.130524576621231,3.1994588326246616,2.6257505003335555,2.259593679458239,2.866500533997864,2.8940662540953768,2.6858323938369035,2.634260932417781,2.1493302935309204,2.243951612903226,2.19002849002849,2.4136746799875115,2.627883981542518,2.83002438174852,3.5938023450586263,4.151790216843167
BQR,Adj Ebitda / Interest Expense,7.824933687002653,7.078947368421052,7.722388059701492,9.224615384615385,9.939102564102564,9.149837133550488,9.156666666666666,8.556270096463022,8.138235294117647,9.856741573033707,9.434782608695652,9.616438356164384,8.848066298342541,8.38121546961326,7.822888283378747,6.436657681940701,5.177545691906006
BQR,Net Income before extraordinary,109400000,68800000,88000000,124500000,132100000,108100000,107000000,99500000,105700000,160900000,149000000,151200000,126300000,108200000,90400000,47900000,16100000
BQR,(NCO-CAPEX) / Total Debt (%),16.102719033232628,25.583850112152,20.623414280536426,23.3739837398374,28.9567575281861,25.347739692001987,22.540880503144653,21.645445641527914,20.428042255453423,13.577300450808805,9.202926453600307,12.384545336282034,12.521019273056526,9.118274175341778,9.169230769230769,10.487065951992543,15.037046034252398
BQR,Score: Operating Leverage,48,45,45,45,42,45,45,45,45,42,42,42,42,45,45,48,52
BQR,Score: ICR,45,48,48,45,42,45,45,45,45,42,45,45,45,45,45,48,48
BQR,Score: Net Income,42,45,42,42,42,42,42,42,42,42,42,42,42,42,42,48,52
BQR,Score: FCF/Debt,52,42,45,42,42,42,45,45,45,55,58,55,55,58,58,58,52
BQR,BQR,47.05,44.699999999999996,44.699999999999996,43.5,42.0,43.5,44.25,44.25,44.25,45.25,46.45,45.7,45.7,47.5,47.5,50.5,51.4
