Category,Metric,APPS,CAKE,CATO,CBRL,CMP,CRNC,ESLT,FNKO,GLT,HELE,HXL,LPRO,MAGN,MATV,MCS,MEI,MMI,MODV,MRCY,MSGS,RMBL,RUTH,SCHL,SMTC,SWM,TBI,TITN,TTEC,TUP,WEST,WLFC,WWW,ZIP,ZUMZ
Header,Fiscal Period,2026-Q3,2025-Q4,2025-Q3,2026-Q2,2026-Q1,2026-Q1,2025-Q3,2025-Q3,2025.0-Q4,2026-Q3,2025-Q4,2025-Q3,2025-Q4,2025-Q4,2025-Q4,2026-Q3,2025-Q4,2025-Q3,2026-Q2,2026-Q2,2025-Q3,2023-Q1,2026-Q2,2026-Q3,2025-Q4,2025-Q4,2026-Q3,2025-Q4,2023-Q3,2025-Q3,2025-Q3,2025-Q4,2025-Q4,2025.0-Q3
Header,Statement Date,2025-12-31,2025-12-31,2025-11-30,2026-01-31,2025-12-31,2025-12-31,2025-09-30,2025-09-30,2025-12-31,2025-11-30,2025-12-31,2025-09-30,2025-12-31,2025-12-31,2025-12-31,2026-01-31,2025-12-31,2025-09-30,2025-12-31,2025-12-31,2025-09-30,2023-03-31,2025-11-30,2025-10-31,2025-12-31,2025-12-31,2025-10-31,2025-12-31,2023-09-30,2025-09-30,2025-09-30,2026-01-31,2025-12-31,2025-11-30
Header,Filing Date,2026-02-03,2026-02-23,2025-11-25,2026-03-04,2026-02-06,2026-02-05,2025-11-18,2025-11-06,2026-02-05,2026-01-08,2026-02-11,2025-11-06,2026-02-05,2026-02-26,2026-02-27,2026-03-05,2026-02-26,2025-12-29,2026-02-03,2026-02-06,2025-11-04,2023-05-05,2025-12-19,2025-11-25,2026-02-26,2026-02-18,2025-12-04,2026-02-26,2024-03-29,2025-11-06,2025-11-04,2026-02-27,2026-02-25,2025-12-04
Revenue & Margin,Segment-1,On Device Media,The Cheesecake Factory,ReportableSegmentsMemberRetail,Restaurant,Highway Deicing Salt,License,Product,UNITED STATES,Airlaid Materials,Beauty & Wellness,Commercial Aerospace Market Applications,Program Fee,Airlaid Materials,Royalty,Admission,Industrial,Real Estate Brokerage Commissions,Other Service Revenue,C4I Applications,Event-related,Parts And Other Revenue,Franchisor Owned Outlet,Childrens Book Publishing And Distribution,IoT Systems And Connectivity,Advanced Materials & Structures Segment,PeopleReady,Sales of Equipment,TTEC Engage,Beauty,Coffee & tea,Spare Parts And Equipment Sales,Active Group,License,UNITED STATES
Revenue & Margin,Segment-1 %,10000.0%,7166.7%,9970.5%,7961.1%,5115.4%,5585.2%,9058.9%,6496.0%,4225.6%,5249.0%,6055.8%,23742.9%,4225.6%,10000.0%,3070.5%,4566.4%,8376.0%,10000.0%,4365.7%,4450.8%,6681.8%,9963.5%,5971.0%,3570.3%,6463.2%,5469.6%,7488.9%,7804.3%,10000.0%,9918.0%,4491.6%,7511.1%,7688.0%,7581.6%
Revenue & Margin,Segment-2,-,Other Segments,ReportableSegmentsMemberCredit,Retail,Consumer & Industrial Salt,Professional Services,Service,Europe,Composite Fibers,Home & Outdoor,Space And Defense Market Applications,Administrative Service,Composite Fibers,-,Concessions,Automotive,Financing Fees,Private Pay and Other Contracts,Radar End User Applications,Local Media Rights,Finance And Insurance,Opening Closing And Development Fee Income,Education Solutions,Advanced Protection And Sensing Products Group,Engineered Papers Segment,PeopleManagement,Sales of Parts,TTEC Digital,-,Other,Maintenance Services,Work Group,Service,Europe
Revenue & Margin,Segment-2 %,-,965.0%,29.5%,2038.9%,3022.9%,2295.6%,941.1%,2703.2%,3483.8%,4751.0%,3944.2%,4207.0%,3483.8%,-,2756.6%,4524.8%,1376.1%,1754.1%,1861.1%,2747.9%,3318.2%,36.5%,1919.1%,3551.1%,3536.8%,3369.1%,1565.0%,2195.7%,-,82.0%,4004.1%,2252.6%,2312.0%,1630.5%
Revenue & Margin,Segment-3,-,Other FRC,-,-,SOP,Connected Services,-,Non-US,Spunlace,Beauty Segment,Industrial Market Applications,Profit Share,Spunlace,-,Occupancy,Corporate And Intersegment Elimination,Other Revenues,-,Other End User Applications,"Sponsorship, signage and suite licenses",New Vehicles,-,International Segment,Signal Integrity,-,PeopleScout,Service Sales,-,-,Other,Managed Services And Other Revenue,Other Segments,-,CANADA
Revenue & Margin,Segment-3 %,-,946.4%,-,-,1741.5%,2119.2%,-,800.8%,2290.6%,2610.6%,732.0%,-17950.0%,2290.6%,-,1595.9%,460.0%,247.9%,-,1626.8%,2215.0%,1648.3%,-,1732.0%,2878.6%,-,1161.3%,657.9%,-,-,12.5%,1504.3%,236.4%,-,515.2%
Revenue & Margin,Others,-,North Italia,-,-,"Product and Service, Other",-,-,-,-,-,-,-,-,-,"Product and Service, Other, Food and Beverage",Interface,-,-,"Other Sensor And Effector Applications, Electronic Warfare End User Applications",League Distribution,"Powersports Used Vehicles, Automotive Used Vehicles, Parts And Other Revenue, Finance And Insurance, Vehicle Logistics",-,Entertainment Segment,IoT Connected Services Group,-,-,"Other Revenue, Rental Revenue",-,-,-,"Other Revenue, Asset Transition Fees",Other Segments,-,AUSTRALIA
