Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3
Header,Statement Date,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Header,Filing Date,2025-11-04,2025-08-11,2025-05-07,2025-03-14,2024-11-18,2024-08-08,2024-05-08,2024-03-28,2023-11-07,2023-08-09,2023-05-10,2023-04-28,2022-11-09,2022-08-09,2022-05-10,2022-04-08,2021-11-15
Revenue & Margin,Segment-1,-,-,-,Parts And Other Revenue,-,-,-,Parts And Other Revenue,-,-,-,Vehicle Sales,-,-,-,Vehicle Sales,-
Revenue & Margin,Segment-1 %,-,-,-,6681.8%,-,-,-,6739.1%,-,-,-,3518.3%,-,-,-,3355.3%,-
Revenue & Margin,Segment-2,-,-,-,Finance And Insurance,-,-,-,Finance And Insurance,-,-,-,Used Vehicles,-,-,-,Used Vehicles,-
Revenue & Margin,Segment-2 %,-,-,-,3318.2%,-,-,-,3260.9%,-,-,-,1870.0%,-,-,-,2629.5%,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,New Vehicles,-,-,-,Automotive Used Vehicles,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,1648.3%,-,-,-,1972.0%,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,"Powersports Used Vehicles, Automotive Used Vehicles, Parts And Other Revenue, Finance And Insurance, Vehicle Logistics",-,-,-,"New Vehicles, Powersports Used Vehicles, Parts And Other Revenue, Vehicle Logistics, Finance And Insurance",-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,2963.4%,-,-,-,2043.3%,-
Revenue & Margin,Revenue Total,1095200000,1109200000,1146100000,1209200000,1250700000,1293811000,1339742000,1366342000,1424752000,1556913000,1720277000,1845797000,1917195000,1668137000,1290387623,934731634,564502919
Revenue & Margin,Rev-CoGS / Sale (%),26.899196493791088,26.40641904075009,26.079748713026785,25.702944095269597,24.762133205404975,25.30083605719846,25.665090741351694,25.9851486670248,26.796663559693197,26.08925482669873,25.446425197802448,24.523931938344248,23.452126674647076,22.220237306648073,19.54546374318409,16.922259742415008,13.420096770128481
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),3.688823959094229,3.353768481788676,3.385393944681965,3.14257360238174,1.9882465819141282,1.8095378691323538,0.8817369314390382,0.8426148065418467,1.5439178186800229,2.261719184052031,3.882281748811383,4.830216974022604,5.54080310036277,3.75466763221486,1.9902736621335368,-0.41799740779929573,-4.697158173596619
Revenue & Margin,Op. Income / Rev (%),-4.218407596785975,-4.534799855751894,-1.404763982200506,-1.2156797882897783,1.3272567362277123,0.8512062426428589,-0.2663199332408777,-0.6929451045199518,-0.0781188585803003,0.8198916702474703,2.5504613501197775,3.6427624489583628,4.335969997835379,2.807683062002701,1.214616888804427,-1.049696794577512,-5.102267681985183
Revenue & Margin,Net Profit / Rev (%),-9.349890339663988,-9.871979805265056,-6.805688857865806,-6.500165398610652,-15.247461421603903,-15.147807523664586,-15.590464432704207,-15.769990236705011,-23.491597134097724,-20.243520350848122,-16.715505700535438,-14.167971884232122,2.4448738912838808,1.276274071014551,0.299682896137016,-1.0404606676658168,-6.355597782125906
EBITDA,Net Income,-102399999,-109500000,-78000000,-78600000,-190700000,-195984000,-208872000,-215472000,-334697000,-315174000,-287553000,-261512000,46873000,21290000,3867071,-9725515,-35877535
EBITDA,D & A,11100000,12000000,13100000,14300000,14500000,18675000,20830000,22030000,23386000,22681000,23305000,23079000,20078000,15224934,9977760,6103000,3523242
EBITDA,Net Int Inc,-45400000,-58900000,-61600000,-64100000,-70344000,-73572000,-75672000,-77172000,-72537000,-64918000,-59369000,-52950000,-44439000,-36807000,-25976000,-16404000,-9557069
EBITDA,Tax Provision,500000,400000,200000,-200000,68600000,65044000,60571000,59271000,-90073000,-86021000,-76578000,-72598000,-3238000,-14415000,-19285000,-21665000,-10681000
EBITDA,EBITDA,-45399999,-38200000,-3100000,-400000,-37256000,-38693000,-51799000,-56999000,-328847000,-313596000,-281457000,-258081000,108152000,58906934,20535831,-8883515,-33478224
EBITDA,Stock-Based Comp,2000000,2300000,3100000,4600000,5002000,6979000,10500000,12000000,13033000,12561000,10393000,9372000,9291000,31415709,29363984,29219000,27717920
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,4.4,2.31,2.82,5.43,4.79,3.75,6.24,8.14,6.13,12.36,6.06,6.47,16.92,14.71,34.21,41.52,38.98
Capital Structure,O/S Shares,38052057,37905484,37789149,35700000,35283033,35212103,35133414,21560000,16665709,16462079,16224122,16161483,16020296,16059288,15693900,15055084,6936615
Capital Structure,Market Capitalization,167429050,87561668,106565400,193851000,169005728,132045386,219232503,175498400,102160796,203471296,98318179,104564795,271063408,236232126,536888319,625087087,270389252
Capital Structure,Cash,35400000,59800000,41100000,85300000,50100000,58100000,63400000,77000000,41406000,44373000,51784000,48579000,39715000,68182000,59362000,48974000,68268000
Capital Structure,Debt,583100000,604200000,585400000,665700000,624700000,691500000,696100000,771600000,792795000,759649000,751345000,730155000,714068000,683225000,653663000,522389000,509933000
Capital Structure,Enterprise Value,715129050,631961668,650865400,774251000,743605728,765445386,851932503,870098400,853549796,918747296,797879179,786140795,945416408,851275126,1131189319,1098502087,712054252
Capital Structure,netCommonStockIssuance,0,0,0,9800000,0,0,0,98400000,0,-700000,0,0,0,0,0,1000,154443000
Capital Structure,netDebtIssuance,-15000000,-900000,-32300000,-14200000,-41400000,-18200000,-15200000,-48085000,-9980000,2356000,0,38613000,6411000,11215000,53601000,-12940000,274986000
Liquidity & Cash Flow,DSO,9.9981738495252,9.567593761269384,9.769108280254777,9.764927224611315,10.885504117694092,10.782261667275979,10.548964838006123,10.382732690644069,8.89762306001325,8.242849793148364,8.222263769148805,8.597674202526063,8.58248182892194,10.23163265367293,11.471986703758086,12.747500310875326,16.13600273517806
Liquidity & Cash Flow,DIO,120.14317386959779,120.92888643880927,124.34858947119925,125.49922083704364,130.18397980871413,132.88638969192914,126.91323441403519,123.12644987224314,118.00715699265363,104.19504295549072,87.96912718474762,74.1651096268488,62.31686843984486,59.770099262181176,54.65540460688907,48.980367891234614,44.15997431036179
Liquidity & Cash Flow,DPO,22.407881588808394,20.434276613989955,19.398164542020773,18.119991095280497,17.42574388947928,17.08054266782277,16.679786343152298,11.210449265101413,11.447480071258317,11.894744057229959,12.328335131864568,16.713506767111586,15.637461909875633,12.434521758834288,8.995166259134688,3.710386412974886,5.388229588689019
Liquidity & Cash Flow,CCC,107.7334661303146,110.0622035860887,114.71953320943325,117.14415696637447,123.64374003692895,126.58810869138235,120.782412908889,122.2987332977858,115.45729998140857,100.54314869140913,83.86305582203187,66.04927706226329,55.26188835889116,57.56721015701982,57.132225051512464,58.017481789135054,54.90774745685083
Liquidity & Cash Flow,OCF,46300000,76200000,78800000,99400000,41327000,-13104000,-41753000,-46453000,-42723000,-75010000,-41161000,-18887000,-1552000,31452209,8224345,-35987000,-38833269
Liquidity & Cash Flow,CapEx,-5400000,-3500000,-1400000,-2000000,-7839000,-10130000,-14517000,-15317000,-11176000,-14281000,-11449000,-12620000,-11232000,-13509695,-12265038,-9589000,-9425988
Liquidity & Cash Flow,FCF,40900000,72700000,77400000,97400000,33488000,-23234000,-56270000,-62270000,-54399000,-89791000,-53110000,-31507000,-12784000,17942514,-4040693,-45576000,-48259257
BQR,Total Debt / Adj Ebitda,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,6.602448405947185,11.598379912286727,31.830365179767988,999.0,999.0
BQR,Adj Ebitda / Interest Expense,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.4337181304709827,1.6004274730350205,0.790569410224823,-999.0,-999.0
BQR,Net Income before extraordinary,-102399999,-109500000,-78000000,-78600000,-190700000,-195984000,-208872000,-215472000,-334697000,-315174000,-287553000,-261512000,46873000,21290000,3867071,-9725515,-35877535
BQR,(NCO-CAPEX) / Total Debt (%),7.0142342651346254,12.032439589539887,13.221728732490604,14.63121526213009,5.360653113494477,-3.359942154736081,-8.083608676914237,-8.070243649559357,-6.8616729419332865,-11.820064266523092,-7.068656875336896,-4.315111175024481,-1.7903056851728407,2.626150096966592,-0.6181614991211067,-8.72453286726941,-9.463842700903845
BQR,Score: Operating Leverage,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: ICR,75,75,75,75,75,75,75,75,75,75,75,75,65,65,75,75,75
BQR,Score: Net Income,75,75,75,75,75,75,75,75,75,75,75,75,48,52,58,65,75
BQR,Score: FCF/Debt,58,55,55,55,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,BQR,70.75,70.0,70.0,70.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,66.75,67.75,70.75,72.5,75.0
