Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2017-Q3,2017-Q2,2017-Q1,2016-Q4,2016-Q3,2016-Q2,2016-Q1,2015-Q4,2015-Q3,2015-Q2,2015-Q1,2014-Q4,2014-Q3,2014-Q2,2014-Q1,2013-Q4,2013-Q3
Header,Statement Date,2017-11-30,2017-08-31,2017-05-31,2017-02-28,2016-11-30,2016-08-31,2016-05-31,2016-02-29,2015-11-30,2015-08-31,2015-05-31,2015-02-28,2014-11-30,2014-08-31,2014-05-31,2014-02-28,2013-11-30
Header,Filing Date,2017-11-30,2017-08-31,2017-05-31,2017-02-28,2016-11-30,2016-08-31,2016-05-31,2016-02-29,2015-11-30,2015-08-31,2015-05-31,2015-02-28,2014-11-30,2014-08-31,2014-05-31,2014-02-28,2013-11-30
Revenue & Margin,Segment-1,-,-,-,North America,-,-,-,North America,-,-,-,North America,-,-,-,North America,-
Revenue & Margin,Segment-1 %,-,-,-,4286.8%,-,-,-,4235.9%,-,-,-,4209.9%,-,-,-,4325.0%,-
Revenue & Margin,Segment-2,-,-,-,UNITED STATES,-,-,-,UNITED STATES,-,-,-,UNITED STATES,-,-,-,U S,-
Revenue & Margin,Segment-2 %,-,-,-,4039.3%,-,-,-,4000.7%,-,-,-,3957.7%,-,-,-,4048.5%,-
Revenue & Margin,Segment-3,-,-,-,EMEA,-,-,-,EMEA,-,-,-,EMEA,-,-,-,E M E A,-
Revenue & Margin,Segment-3 %,-,-,-,1009.9%,-,-,-,1112.4%,-,-,-,1131.5%,-,-,-,1126.9%,-
Revenue & Margin,Others,-,-,-,"Asia Pacific, Other Geographic Region, Latin America",-,-,-,"Asia Pacific, Other Geographic Region, Latin America",-,-,-,"Asia Pacific, Other Geographic Region, Latin America",-,-,-,"Asia Pacific, Latin America",-
Revenue & Margin,Others %,-,-,-,664.0%,-,-,-,651.0%,-,-,-,700.9%,-,-,-,499.6%,-
Revenue & Margin,Revenue Total,372510000,366569000,360174000,352649000,347116000,338397000,328838000,320158000,308610000,298930000,289211000,277446000,265602000,254581000,243719000,233787000,225924000
Revenue & Margin,Rev-CoGS / Sale (%),74.99744973289307,74.86503223131253,75.79531004458956,76.2449347651631,76.53291694995333,76.73974651075511,77.37274889155147,78.09456580813223,78.6034153138265,79.21988425383869,79.17541172362047,78.85462396286124,78.85633391314825,78.10637871640067,77.39199652058313,77.00128749673848,76.58239053841115
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),24.967651875117447,25.05258218780093,26.704870423739635,27.542400517228177,26.606667511725185,23.309308297650393,21.742316885518097,20.103823737029842,19.54116846505298,21.234402702973938,21.172431200749624,20.838289252683406,20.2344108854602,19.246919448034223,17.319125714449836,15.458087917634428,13.603689736371525
Revenue & Margin,Op. Income / Rev (%),3.9743899492631067,4.261680611290098,5.820797725543765,6.254944718402718,5.460998628700492,1.6182176555938736,-0.29224116434232056,-2.151125381842715,-3.36832895888014,-1.3330880139163015,-0.8824007385611198,-0.3323169193284459,-0.3776326985489567,-0.9588303918988456,-2.889393112559956,-4.706420801840992,-6.188364228678671
Revenue & Margin,Net Profit / Rev (%),4.088480846151781,2.520671415204232,2.81058599454708,2.90231930332994,2.9526152640615817,2.0301598418425693,0.6671978299344966,-1.3811930359385054,-24.62914357927481,-24.90817248185194,-24.71586488757343,-24.32833776662846,1.4679859338408596,0.7235418196958925,-0.4394405032024586,-1.550984443104193,-3.731343283582089
EBITDA,Net Income,15230000,9240000,10123000,10235000,10249000,6870000,2194000,-4422000,-76008000,-74458000,-71481000,-67498000,3899000,1842000,-1071000,-3626000,-8430000
EBITDA,D & A,16705000,16509000,16366000,16431000,17815000,17298000,15407000,13300000,10018000,8678000,8718000,8631000,8534000,8797000,8951000,9109000,9442000
EBITDA,Net Int Inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EBITDA,Tax Provision,9396000,6115000,10966000,11753000,9442000,1320000,-1859000,-2727000,63600000,67066000,64744000,62902000,-6849000,-4121000,-4918000,-6565000,-5450000
EBITDA,EBITDA,41331000,31864000,37455000,38419000,37506000,25488000,15742000,6151000,-2390000,1286000,1981000,4035000,5584000,6518000,2962000,-1082000,-4438000
EBITDA,Stock-Based Comp,33998000,33883000,32151000,32705000,32480000,30969000,30239000,28846000,26792000,23950000,20520000,17058000,14968000,12527000,11422000,10837000,9981000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
