Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years),LTM (-17Q)
Header,Fiscal Period,2022.0-Q2,2022.0-Q1,2021.0-Q4,2021.0-Q3,2021.0-Q2,2021.0-Q1,2020.0-Q4,2020.0-Q3,2020.0-Q2,2020.0-Q1,2019.0-Q4,2019.0-Q3,2019.0-Q2,2019.0-Q1,2018.0-Q4,2018.0-Q3,2018.0-Q2,2018.0-Q1
Header,Statement Date,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31
Header,Filing Date,2022-08-08,2022-05-04,2022-02-28,2021-11-08,2021-08-04,2021-05-05,2021-03-01,2020-11-04,2020-08-05,2020-05-07,2020-03-11,2019-11-07,2019-08-07,2019-05-08,2019-03-14,2018-11-08,2018-08-09,2018-06-14
Revenue & Margin,Segment-1,-,-,Patient Care Centers,-,-,-,Patient Care Centers,-,-,-,Patient Care Centers,-,-,-,Patient Care Centers,-,-,-
Revenue & Margin,Segment-1 %,-,-,7033.0%,-,-,-,6983.8%,-,-,-,8248.2%,-,-,-,8175.2%,-,-,-
Revenue & Margin,Segment-2,-,-,Products And Services,-,-,-,Products And Services,-,-,-,Products And Services,-,-,-,Products And Services,-,-,-
Revenue & Margin,Segment-2 %,-,-,2967.0%,-,-,-,3016.2%,-,-,-,1751.8%,-,-,-,1824.8%,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,1175519000.0,1144305000.0,1120488000.0,1085456000.0,1052266000.0,1004881000.0,1001150000.0,1024701000.0,1047702000.0,1095366000.0,1098046000.0,1082008000.0,1065316000.0,1051184000.0,1048760000.0,1049643000.0,1044663000.0,777697000.0
Revenue & Margin,Rev-CoGS / Sale (%),67.01176246406905,66.91258012505408,67.13940711547112,68.33247962146784,68.38841129524283,68.81829788800863,68.49523048494231,68.31895352888307,68.00540611738835,67.44147618239018,67.41748524196618,67.45402991475109,67.62265844125123,67.65190489961796,67.7698424806438,67.9421479493504,68.02480800028334,68.17308026133571
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),29.366858383403414,29.55103752933003,30.170336496240925,21.579225689479813,20.655233562616296,21.1510616679985,20.6370673725216,20.900731042518743,21.180068378222053,21.133666737875743,21.519681324826102,21.129973161011748,21.116175857679785,20.8799791473234,20.994984553186622,20.71247081150448,20.474545379706182,19.770296143613773
Revenue & Margin,Op. Income / Rev (%),5.8112204056250905,5.923158598450588,6.47084127630104,7.0870675550183515,6.113853341265422,8.269735421408107,7.182440193777157,6.798470968604501,7.062313520447608,5.3163965286488715,5.958584613030784,5.665207650960067,5.615141422826654,5.42673784989117,5.687383195392655,0.06926164419712226,-0.5415143448174196,-3.341404171547531
Revenue & Margin,Net Profit / Rev (%),3.17247105321139,3.262679093423519,3.7467603401375116,4.055162070134579,2.823905742464358,5.036417247415366,3.814812965090146,3.988578131572039,3.7937314236300015,1.7097481572369417,2.5067255834455024,1.2234660002513844,1.1185413529882213,1.4087923712689692,-0.08181090049200962,-8.54900189874081,-9.406287003560001,-14.297599193516241
EBITDA,Net Income,37293000.0,37335000.0,41982000.0,44017000.0,29715000.0,50610000.0,38192000.0,40871000.0,39747000.0,18728000.0,27525000.0,13238000.0,11916000.0,14809000.0,-858000.0,-89734000.0,-98264000.0,-111192000.0
EBITDA,D & A,30707000.0,30590000.0,30633000.0,32498000.0,33142000.0,34014000.0,34847000.0,7875000.0,17813000.0,26822000.0,35925000.0,63466000.0,53675000.0,45059000.0,36455000.0,37217000.0,37899000.0,28627000.0
EBITDA,Net Int Inc,-29281000.0,-28909000.0,-28864000.0,-29332000.0,-30032000.0,-31516000.0,-32445000.0,-33203000.0,-34144000.0,-33989000.0,-34258000.0,-35020000.0,-35005000.0,-33841000.0,-37566000.0,-43010000.0,-49168000.0,-41851000.0
EBITDA,Tax Provision,1571000.0,1201000.0,1158000.0,2919000.0,3937000.0,334000.0,638000.0,-5056000.0,-560000.0,4841000.0,2954000.0,12346000.0,12201000.0,7695000.0,5238000.0,30477000.0,26457000.0,26549000.0
EBITDA,EBITDA,98852000.0,98035000.0,102637000.0,108766000.0,96826000.0,116474000.0,106122000.0,76893000.0,91144000.0,84380000.0,100662000.0,124070000.0,112797000.0,101404000.0,78401000.0,20970000.0,15260000.0,-14165000.0
EBITDA,Stock-Based Comp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,14.32,18.33,18.13,21.96,25.28,22.82,21.99,15.82,16.56,15.58,27.61,20.38,19.03,19.19,18.95,20.95,23.65,23.65
Capital Structure,O/S Shares,39250735.0,38802420.0,38744681.0,38730468.0,38647042.0,38268332.0,38157402.0,38133598.0,37958408.0,37541452.0,37411847.0,37349144.0,37299766.0,37001977.0,36906938.0,36856881.0,36790401.0,36498482.0
Capital Structure,Market Capitalization,562070525.0,711248358.0,702441066.0,850521077.0,976997221.0,873283336.0,839081269.0,603273520.0,628591236.0,584895822.0,1032941095.0,761175554.0,709814546.0,710067938.0,699386475.0,772151656.0,870092983.0,863189099.0
Capital Structure,Cash,24380000.0,37423000.0,61692000.0,75587000.0,76178000.0,70316000.0,144602000.0,147510000.0,129853000.0,115949000.0,74419000.0,49947000.0,38229000.0,20511000.0,95114000.0,61035000.0,48792000.0,32913000.0
Capital Structure,Debt,628214000.0,664997000.0,726637000.0,641159000.0,639603000.0,640425000.0,531205000.0,554323000.0,577847000.0,609306000.0,533215000.0,529676000.0,528902000.0,532975000.0,510673000.0,511993000.0,514541000.0,515547000.0
Capital Structure,Enterprise Value,1165904525.0,1338822358.0,1367386066.0,1416093077.0,1540422221.0,1443392336.0,1225684269.0,1010086520.0,1076585236.0,1078252822.0,1491737095.0,1240904554.0,1200487546.0,1222531938.0,1114945475.0,1223109656.0,1335841983.0,1345823099.0
Capital Structure,netCommonStockIssuance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capital Structure,netDebtIssuance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,DSO,47.08059057318512,47.282173458999125,47.55263108574121,48.70812243886441,48.889658128267946,49.86662973028647,50.32481021824901,50.817660468761126,51.192049361364205,51.16314889269888,51.51710971125071,51.11210360736705,51.03490537080078,50.67334072816938,49.74872110873794,51.00045324934287,38.861805194593856,54.59427482682844
Liquidity & Cash Flow,DIO,80.83320761869396,81.81099305109859,82.97031632350985,85.94601759484722,85.89522994967501,85.70870127880666,81.8573919660125,77.21912773075074,75.21520966086729,72.22063874830008,72.70062064840359,73.7278751952293,74.45509623942874,74.27080943894507,74.71892316066943,75.44999821690199,56.17275838016005,76.46556600152718
Liquidity & Cash Flow,DPO,59.041197009667776,58.24034786765658,58.162243786647984,62.706451443981884,65.32243384700486,67.32147929239578,65.77631891823341,59.237057042348965,54.701327235626835,51.62436735037223,52.22152228660232,54.95185645321597,55.70514335166603,55.980449243908026,56.46336204983773,54.67764931216994,40.78635943155317,55.12964766056473
Liquidity & Cash Flow,CCC,68.8726011822113,70.85281864244114,72.36070362260307,71.94768858972975,69.46245423093809,68.25385171669735,66.4058832660281,68.79973115716291,71.70593178660467,71.75942029062671,71.99620807305197,69.88812234938038,69.78485825856347,68.96370092320642,68.00428221956965,71.77280215407492,54.24820414320073,75.93019316779089
Liquidity & Cash Flow,OCF,76470000.0,70278000.0,36210000.0,30974000.0,66191000.0,135171000.0,155567000.0,164139000.0,142446000.0,69676000.0,58846000.0,61313000.0,58080000.0,54200000.0,78527000.0,68272000.0,53346000.0,27965000.0
Liquidity & Cash Flow,CapEx,-20324000.0,-20096000.0,-22579000.0,-24456000.0,-23494000.0,-26216000.0,-28092000.0,-30224000.0,-33576000.0,-33591000.0,-33105000.0,-31421000.0,-32011000.0,-30723000.0,-28819000.0,-30229000.0,-29733000.0,-21011000.0
Liquidity & Cash Flow,FCF,56146000.0,50182000.0,13631000.0,6518000.0,42697000.0,108955000.0,127475000.0,133915000.0,108870000.0,36085000.0,25741000.0,29892000.0,26069000.0,23477000.0,49708000.0,38043000.0,23613000.0,6954000.0
BQR,Total Debt / Adj Ebitda,6.355096507910816,6.78326108022645,7.079678868244395,5.894847654597944,6.605694751409746,5.4984374195099335,5.005606754490115,7.209017725930839,6.33993460897042,7.220976534723868,5.297083308497745,4.269170629483356,4.688972224438594,5.255956372529683,6.513603142817056,24.415498330948974,33.718283093053735,999.0
BQR,Adj Ebitda / Interest Expense,3.375977596393566,3.3911584627624616,3.5558827605321506,3.7081003681985543,3.2240942994139585,3.6957101154968903,3.2708275543227,2.3158449537692376,2.6694001874414246,2.482567889611345,2.938350166384494,3.5428326670474015,3.222311098414512,2.996483555450489,2.0870201778203694,0.4875610323180656,0.3103644646924829,-999.0
BQR,Net Income before extraordinary,37293000.0,37335000.0,41982000.0,44017000.0,29715000.0,50610000.0,38192000.0,40871000.0,39747000.0,18728000.0,27525000.0,13238000.0,11916000.0,14809000.0,-858000.0,-89734000.0,-98264000.0,-111192000.0
BQR,(NCO-CAPEX) / Total Debt (%),8.93740031263232,7.5461994565389015,1.8759022730744512,1.016596507262629,6.675547175357214,17.012921107077332,23.99732683239051,24.15829759905326,18.84062736329859,5.922311613540651,4.827508603471395,5.643449958087586,4.928890418262741,4.404897040198883,9.73382183902419,7.43037502465854,4.589138669221695,1.348858590972307
BQR,Score: Operating Leverage,75,75,75,65,75,65,58,75,75,75,65,55,55,65,75,75,75,75
BQR,Score: ICR,58,58,58,58,58,58,58,65,58,65,58,58,58,58,65,75,75,75
BQR,Score: Net Income,48,48,48,48,48,45,48,48,48,52,48,55,55,55,65,75,75,75
BQR,Score: FCF/Debt,58,58,75,75,65,48,42,42,48,65,75,65,75,75,58,58,75,75
BQR,BQR,61.45,61.45,65.7,62.2,63.2,54.7,51.5,58.5,58.95,65.25,62.2,57.95,60.45,63.95,66.75,70.75,75.0,75.0
