Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3
Header,Statement Date,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Header,Filing Date,2025-10-30,2025-07-31,2025-05-05,2025-02-25,2024-11-04,2024-07-29,2024-05-06,2024-02-28,2023-10-25,2023-07-27,2023-04-26,2023-02-22,2022-10-26,2022-07-27,2022-04-27,2022-02-24,2021-11-02
Revenue & Margin,Segment-1,-,-,-,Codman Specialty Surgical,-,-,-,-,-,-,-,Codman Specialty Surgical,-,-,-,Codman Specialty Surgical,-
Revenue & Margin,Segment-1 %,-,-,-,7101.0%,-,-,-,-,-,-,-,6545.5%,-,-,-,6646.8%,-
Revenue & Margin,Segment-2,-,-,-,Tissue Technologies,-,-,-,-,-,-,-,Tissue Technologies,-,-,-,Tissue Technologies,-
Revenue & Margin,Segment-2 %,-,-,-,2899.0%,-,-,-,-,-,-,-,3454.5%,-,-,-,3353.2%,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,1642966000,1621738000,1624308000,1610527000,1564920000,1566507000,1529599000,1541573000,1542556000,1545326000,1561874000,1557666000,1565168000,1566838000,1559015000,1542448000,1525571000
Revenue & Margin,Rev-CoGS / Sale (%),53.497394346565905,52.60245489715355,53.54027684404682,54.76847019640155,54.92178513917645,56.022028628024,56.13876578109688,57.39170314996436,58.88453968607947,59.96974101257598,62.048090947157064,62.29262242354908,61.942232399333484,62.236619229301304,61.863484315417104,61.24290737840109,61.415955075181685
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),10.346592686641111,8.384461608471899,8.4329449833406,10.249936821922265,10.089397541088363,12.208244201909087,13.265960555675049,14.796185454727087,17.042817246181013,19.3761057537374,22.157101020953036,22.725988754970576,21.905188452613395,21.46424837794335,20.764585331122536,19.916068483345953,19.622751087953297
Revenue & Margin,Op. Income / Rev (%),-27.526619540513924,-30.873914282085025,0.5510654383281988,1.7641430413771393,1.8423944993993302,4.058392334027234,5.171813004584862,7.234558467227954,9.291007911544217,11.762890160393342,14.670709673123442,15.338333121477904,14.65037618964865,14.085246847472424,13.641946998585647,12.786816800307044,12.562640480187417
Revenue & Margin,Net Profit / Rev (%),-30.14882839937041,-30.86972124967165,-1.7826052694439722,-0.4311011240420061,-0.4181683408736549,1.5096006593012352,2.630362598301908,4.394277792877794,6.538044647973883,8.494712442552576,11.004408806344173,11.591059957654593,11.052359874467149,10.613860526742394,10.043649355522557,10.961471634700166,14.187146976443573
EBITDA,Net Income,-495335000,-500626000,-28955000,-6943000,-6544000,23648000,40234000,67741000,100853000,131271000,171875000,180550000,172988000,166302000,156582000,169075000,216435000
EBITDA,D & A,150991000,148430000,147515000,140893000,133825000,128422000,122471000,123048000,123726000,122635000,121421000,120002000,121271000,122497000,123645000,124657000,119067000
EBITDA,Net Int Inc,-66620000,-63201000,-60462000,-50592000,-45703000,-39834000,-34766000,-34175000,-32556000,-33646000,-35392000,-37677000,-40780000,-41641000,-42755000,-43658000,-48150000
EBITDA,Tax Provision,-49936000,-58183000,-14087000,-11293000,-5375000,3404000,5827000,13328000,15566000,25335000,32482000,33344000,28485000,27163000,30132000,45602000,-14629000
EBITDA,EBITDA,-327660000,-347178000,164935000,173249000,167609000,195308000,203298000,238292000,272701000,312887000,361170000,371573000,363524000,357603000,353114000,382992000,369023000
EBITDA,Stock-Based Comp,19897000,18699000,20648000,24377000,23018000,24095000,22122000,20143000,20081000,23589000,18318000,20989000,21690000,12723000,12723000,6432000,0
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,14.33,12.27,21.99,22.68,18.17,28.97,34.72,43.55,38.19,41.13,57.41,56.07,42.36,54.03,64.26,66.99,68.48
Capital Structure,O/S Shares,76753000,76463000,76463000,77010000,76448000,77409000,77735000,78326792,79690000,80966000,81871000,83654000,83042000,83168000,83632000,84701000,84754000
Capital Structure,Market Capitalization,1099870490,938201010,1681421369,1746586800,1389060160,2242538730,2698959200,3411131791,3043361100,3330131580,4700214110,4690479780,3517659120,4493567040,5374192320,5674119990,5803953920
Capital Structure,Cash,232186000,217914000,239104000,246375000,215157000,215236000,591906000,276402000,273732000,309192000,307367000,456661000,511937000,447152000,407092000,513448000,470231000
Capital Structure,Debt,2005860000,2013769000,2018937000,1984563000,1989444000,2009471000,2042380000,1681682000,1689405000,1603214000,1611414000,1629983000,1727901000,1728177000,1663333000,1666062000,1666025000
Capital Structure,Enterprise Value,2873544490,2734056010,3461254369,3484774800,3163347160,4036773730,4149433200,4816411791,4459034100,4624153580,6004261110,5863801780,4733623120,5774592040,6630433320,6826733990,6999747920
Capital Structure,netCommonStockIssuance,0,-221000,957000,-2471000,-171000,-50000000,6398000,-314000,-125000000,1111000,-150000000,-272000,0,353000,-125000000,-515000,2985000
Capital Structure,netDebtIssuance,-9971000,-6842000,39156000,-4543000,-19744000,-31744000,355400000,-6801000,74900000,-11700000,-2200000,-101300000,-6500000,500000,-500000,800000,-800000
Liquidity & Cash Flow,DSO,59.50994953638724,59.50894426226677,59.03676827301226,58.89863535352092,59.854605187485625,60.863681846777574,61.191946326292054,62.07648042535125,62.28170559691188,61.0839177299806,59.19220036315349,57.591447717289846,55.47112993621132,53.895713851719194,53.7249545386029,53.68272058442165,53.89983242340082
Liquidity & Cash Flow,DIO,218.41336538738412,210.9004145504408,209.5751617639459,211.84729452026585,213.65565613136803,209.41731817139342,205.8629030214592,203.02603343594615,200.90800404901069,197.84335505449422,201.2197960054727,199.4566488750415,195.57057580732894,199.3690921443794,198.9324098399809,197.85629332494716,199.81546675568737
Liquidity & Cash Flow,DPO,42.869305465025874,40.87258379473997,43.403933484308595,45.35242722378258,48.103648017260205,51.361056395681345,51.689532062107524,55.35073145889854,58.730113649801574,58.323335591127034,56.206032026398496,52.93045304798631,46.02390509478434,43.0742946909789,42.25511896312194,37.92349926732329,37.39435160126871
Liquidity & Cash Flow,CCC,235.0540094587455,229.5367750179676,225.20799655264955,225.39350265000422,225.40661330159347,218.91994362248963,215.36531728564373,209.75178240239885,204.45959599612098,200.6039371933478,204.2059643422277,204.11764354434507,205.01780064875592,210.19051130511968,210.40224541546186,213.61551464204553,216.32094757781948
Liquidity & Cash Flow,OCF,89308000,70887000,102369000,129382000,137392000,141677000,129555000,139955000,166539000,208082000,246280999,264468999,248411999,262877999,287690000,312427000,323412000
Liquidity & Cash Flow,CapEx,-93822000,-108312000,-117873000,-104418000,-99353000,-82785000,-68626000,-66865000,-56786000,-52863000,-46722000,-42343000,-55314000,-53445000,-50672000,-48022000,-49022000
Liquidity & Cash Flow,FCF,-14467000,-47378000,-25457000,15011000,38039000,58892000,60929000,73090000,109753000,155219000,199559000,217384000,188356000,204691000,232276000,264405000,294390000
BQR,Total Debt / Adj Ebitda,999.0,999.0,12.240803953072422,11.454975209092115,11.86955354426075,10.288728572306306,10.046237542917293,7.057232303224615,6.195081792879381,5.123939313554095,4.4616496386743085,4.38671001391382,4.753196487714704,4.832669189016871,4.710470273056293,4.3501221957638805,4.514691496194004
BQR,Adj Ebitda / Interest Expense,-999.0,-999.0,2.7279117462207667,3.4244346932321315,3.6673522525873574,4.903047647738113,5.8476097336478166,6.972699341623994,8.376366875537535,9.299381798727932,10.20484855334539,9.862064389415293,8.914271701814615,8.58776206142984,8.259010642030171,8.772550277154245,7.664029075804777
BQR,Net Income before extraordinary,-495335000,-500626000,-28955000,-6943000,-6544000,23648000,40234000,67741000,100853000,131271000,171875000,180550000,172988000,166302000,156582000,169075000,216435000
BQR,(NCO-CAPEX) / Total Debt (%),-0.7212367762456003,-2.352702817453243,-1.2609110635943568,0.7563881821841887,1.9120417563902277,2.9307215680146665,2.983235245155162,4.346243820175277,6.496547601078486,9.681739306168733,12.384092480268881,13.336580810965513,10.90085600969037,11.84433076010154,13.964491776451258,15.870057656917929,17.670203028165844
BQR,Score: Operating Leverage,75,75,75,75,75,75,75,75,65,58,55,55,58,58,55,55,55
BQR,Score: ICR,75,75,58,58,58,52,48,48,45,45,42,42,45,45,45,45,48
BQR,Score: Net Income,75,75,75,65,65,52,48,45,42,42,42,42,42,42,42,42,35
BQR,Score: FCF/Debt,75,75,75,75,75,75,75,75,65,58,55,55,58,58,55,52,48
BQR,BQR,75.0,75.0,72.45,69.95,69.95,65.8,64.2,63.45,56.25,52.05,49.8,49.8,52.05,52.05,50.25,49.5,47.2
