Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years)
Header,Fiscal Period,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3
Header,Statement Date,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30
Header,Filing Date,2025-11-04,2025-08-05,2025-05-06,2025-02-20,2024-10-29,2024-07-30,2024-04-30,2024-02-21,2023-10-31,2023-08-01,2023-05-02,2023-02-27,2022-11-01
Revenue & Margin,Segment-1,-,-,-,High Power Continuous Wave CW Lasers,-,-,-,High Power Continuous Wave CW Lasers,-,-,-,High Power Continuous Wave CW Lasers,-
Revenue & Margin,Segment-1 %,-,-,-,34.1%,-,-,-,40.8%,-,-,-,42.9%,-
Revenue & Margin,Segment-2,-,-,-,"Amplifiers, Laser Systems, Service, Parts, Accessories And Change In Deferred Revenue",-,-,-,"Amplifiers, Laser Systems, Service, Parts, Accessories And Change In Deferred Revenue",-,-,-,"Amplifiers, Laser Systems, Service, Parts, Accessories And Change In Deferred Revenue",-
Revenue & Margin,Segment-2 %,-,-,-,25.3%,-,-,-,22.9%,-,-,-,19.9%,-
Revenue & Margin,Segment-3,-,-,-,Pulsed Lasers,-,-,-,Pulsed Lasers,-,-,-,Pulsed Lasers,-
Revenue & Margin,Segment-3 %,-,-,-,15.0%,-,-,-,14.4%,-,-,-,17.5%,-
Revenue & Margin,Others,-,-,-,"Laser And Non-Laser Systems, Medium And Low Power CW Lasers, Quasi-Continuous Wave QCW Lasers",-,-,-,"Laser And Non-Laser Systems, Medium And Low Power CW Lasers, Quasi-Continuous Wave QCW Lasers",-,-,-,"Laser And Non-Laser Systems, Medium And Low Power CW Lasers, Quasi-Continuous Wave QCW Lasers",-
Revenue & Margin,Others %,-,-,-,25.7%,-,-,-,21.9%,-,-,-,19.6%,-
Revenue & Margin,Revenue Total,963643000,945994000,952918000,977134000,1041690000,1109948000,1192274000,1287439000,1322085000,1369690000,1406742000,1429547000,1460475000
Revenue & Margin,Rev-CoGS / Sale (%),38.67967701731865,34.65328532739108,34.67570137199633,34.606819535498715,34.74910961994451,39.71276131854825,41.29050872534334,42.075624553862355,36.93824527167315,36.93368572450701,37.713383122136115,38.85237771126098,45.231448672520926
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),15.092933793946514,11.046158855130159,11.90595623128118,12.716781935742693,13.600591346753832,20.017244051072662,23.310749039230917,25.65325425126938,21.394237133013384,21.9302907957275,22.922184736078115,24.309588981684406,30.973210770468512
Revenue & Margin,Op. Income / Rev (%),2.4633603938387973,-25.101956249193968,-23.66698918479869,-21.31273704527731,-18.56867206174582,10.4170645832057,14.732100171604849,18.01817406494599,8.676824863756869,11.109886178624361,10.78968282741256,11.856902920995253,23.470651671545216
Revenue & Margin,Net Profit / Rev (%),2.660840165912065,-22.771391784725907,-21.184089292048213,-18.57739061377457,-14.199329935009455,12.674017161164306,15.335568837364566,17.001038495804462,6.395579709322774,7.72620081916346,7.142176745984694,7.688379605567358,18.34273096081754
EBITDA,Net Income,25641000,-215416000,-201867000,-181526000,-147913000,140675000,182842000,218878000,84555000,105825000,100472000,109909000,267891000
EBITDA,D & A,61619000,61104000,60570000,61443000,63566000,65784000,67946000,69621000,73390000,78803000,85018000,90564000,94055000
EBITDA,Net Int Inc,22136000,25956000,25956000,32689000,38649000,39115000,48379000,41735000,36254000,28310000,20223000,12620000,4083000
EBITDA,Tax Provision,30911000,13800000,16992000,19638000,6166000,27912000,42345000,55997000,68123000,75687000,72535000,72589000,78991000
EBITDA,EBITDA,96035000,-166468000,-150261000,-133134000,-116830000,195256000,244754000,302761000,189814000,232005000,237802000,260442000,436854000
EBITDA,Stock-Based Comp,7692000,40836000,38086000,37070000,41488000,38535000,39664000,39502000,36493000,37112000,37884000,38302000,38529000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,79.19,68.65,63.14,72.72,74.32,83.33,90.16,108.54,101.54,135.82,123.31,94.67,84.35
Capital Structure,O/S Shares,42198888,42481000,42604799,42652000,43837000,44918000,45960000,46533000,47236901,47316342,47542000,48720000,51629000
Capital Structure,Market Capitalization,3341729940,2916320650,2690067008,3101653440,3257965839,3743016940,4143753600,5050691820,4796434927,6426505570,5862404020,4612322400,4354906150
Capital Structure,Cash,346026000,359184000,363046000,620040000,883871000,720540000,496452000,514674000,528284000,573071000,521137000,698209000,869274000
Capital Structure,Debt,17363000,16862000,16317000,17959000,16462000,17418000,18898000,18261000,17600000,18145000,36640000,38052000,21619000
Capital Structure,Enterprise Value,3013066940,2573998650,2343338008,2499572440,2390556839,3039894940,3666199600,4554278820,4285750927,5871579570,5377907020,3952165400,3507251150
Capital Structure,netCommonStockIssuance,28577000,-28682000,105000,-57337000,-74459000,-122404000,-89616000,-63968000,-46497000,63000,-113094000,-116621000,-71279000
Capital Structure,netDebtIssuance,0,0,0,0,0,0,0,0,0,-15733000,-298000,-297000,-15897000
Liquidity & Cash Flow,DSO,68.0092757380067,68.73879089085132,65.85637746374819,64.8875960206072,65.06423096122647,66.49353730985595,66.10943772153045,64.94827133557396,62.714398090894306,58.242734669888804,57.730458925659434,58.14288197589866,60.08395213885893
Liquidity & Cash Flow,DIO,185.33520812849355,176.68631384913036,189.68156162297365,205.38936529995507,215.7815644714232,240.88179791887404,242.06817749986428,236.2988105119606,217.4338005109568,217.85900131162649,221.5917894299553,219.9078087570098,234.7757760216832
Liquidity & Cash Flow,DPO,23.944073876011366,22.792424811057046,20.393225079399247,18.26059620112711,16.257839717409727,15.634453125350253,16.404267348402378,17.138443507866672,17.257635865328105,18.97491847193779,20.774451559668208,21.406223187749248,24.489211520213633
Liquidity & Cash Flow,CCC,229.40040999048887,222.63267992892463,235.1447140073226,252.0163651194352,264.5879557152399,291.74088210337976,291.77334787299236,284.1086383396679,262.890562736523,257.1268175095775,258.54779679594657,256.6444675451593,270.3705166403285
Liquidity & Cash Flow,OCF,120319000,151071000,206745000,247896000,280174000,300094000,313302000,295986000,231547000,221434000,233506000,212649000,255570000
Liquidity & Cash Flow,CapEx,-84073000,-86430000,-95290000,-98524000,-100585000,-103614000,-105131000,-110483000,-110845000,-109377000,-118368000,-110141000,-113803000
Liquidity & Cash Flow,FCF,36246000,64641000,111455000,149372000,179589000,196480000,208171000,185503000,120702000,112057000,115138000,102508000,141767000
BQR,Total Debt / Adj Ebitda,0.18079866715260062,999.0,999.0,999.0,999.0,0.08920596550170033,0.07721222125072522,0.06031490185327701,0.09272234924715775,0.0782095213465227,0.1540777621718909,0.14610546686018383,0.04948792960577218
