Category,Metric,LITE,COHR,CIEN,MKSI,IPGP
Header,Fiscal Period,2026-Q1,2026-Q1,2025-Q4,2025-Q3,2025-Q3
Header,Statement Date,2025-09-30,2025-09-30,2025-11-30,2025-09-30,2025-09-30
Header,Filing Date,2025-11-05,2025-11-05,2025-12-12,2025-11-06,2025-11-04
Revenue & Margin,Segment-1,-,Lasers Segment,Networking Platforms Segment,Product,High Power Continuous Wave CW Lasers
Revenue & Margin,Segment-1 %,-,60.1%,75.8%,87.1%,34.1%
Revenue & Margin,Segment-2,-,Materials Segment,Global Services,Service,"Amplifiers, Laser Systems, Service, Parts, Accessories And Change In Deferred Revenue"
Revenue & Margin,Segment-2 %,-,39.9%,13.4%,12.9%,25.3%
Revenue & Margin,Segment-3,-,-,Platform Software and Services Segment,Equipment Solutions Division Member,Pulsed Lasers
Revenue & Margin,Segment-3 %,-,-,8.9%,14.6%,15.0%
Revenue & Margin,Others,-,-,Blue Planet Automation Software and Services Segment,-,"Laser And Non-Laser Systems, Medium And Low Power CW Lasers, Quasi-Continuous Wave QCW Lasers"
Revenue & Margin,Others %,-,-,1.9%,-,25.7%
Revenue & Margin,Revenue Total,1841900000,6043358000,4769507000,3831000000,963643000
Revenue & Margin,Rev-CoGS / Sale (%),30.593408979857756,36.01292526439771,39.88927996122031,46.9590185330201,38.67967701731865
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),11.211249253488246,36.01292526439771,22.695930627630908,28.26938136256852,15.092933793946514
Revenue & Margin,Op. Income / Rev (%),-4.940550518486345,10.286069433583117,6.5162290358311665,13.57347950926651,2.4633603938387973
Revenue & Margin,Net Profit / Rev (%),6.107823443183669,4.133893772303411,2.585969577149169,7.282693813625685,2.660840165912065
EBITDA,Net Income,112500000,249826000,123338000,279000000,25641000
EBITDA,D & A,249100000,653851225,140338000,344000000,61619000
EBITDA,Net Int Inc,11200000,-309768000,-34383000,-212000000,22136000
EBITDA,Tax Provision,-200200000,61372000,32949000,16000000,30911000
EBITDA,EBITDA,150200000,1274817225,331008000,851000000,96035000
EBITDA,Stock-Based Comp,184000000,285945351,0,57000000,7692000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,160.75,107.72,189.92,123.77,79.19
Capital Structure,O/S Shares,70300000,155500000,141527000,67300000,42198888
Capital Structure,Market Capitalization,11300725000,16750460000,26878807840,8329721000,3341729940
Capital Structure,Cash,772900000,852778000,1091952000,697000000,346026000
Capital Structure,Debt,3280200000,3505852000,1582210000,4585000000,17363000
Capital Structure,Enterprise Value,13808025000,19403534000,27369065840,12217721000,3013066940
Capital Structure,netCommonStockIssuance,-47400000,-37443000,-42204000,-1000000,28577000
Capital Structure,netDebtIssuance,410000000,-385676000,-5177000,-113000000,0
Liquidity & Cash Flow,DSO,51.50306748466258,60.301518625903014,80.08667562496501,59.880579483163665,68.0092757380067
Liquidity & Cash Flow,DIO,130.4009895181477,137.01368132604148,108.40874995858019,163.41473917322836,185.33520812849355
Liquidity & Cash Flow,DPO,63.07699076971214,77.11823837176827,58.00220266237877,62.91400098425197,23.944073876011366
Liquidity & Cash Flow,CCC,118.82706623309814,120.19696158017622,130.49322292116642,160.38131767214006,229.40040999048887
Liquidity & Cash Flow,OCF,144600000,526575000,806093000,679000000,120319000
Liquidity & Cash Flow,CapEx,-233100000,-761974514,-140801000,-149000000,-84073000
Liquidity & Cash Flow,FCF,-88500000,73777000,665292000,530000000,36246000
BQR,Total Debt / Adj Ebitda,21.838881491344875,2.750082075491253,4.7799751063418405,5.3877790834312576,0.18079866715260062
BQR,Adj Ebitda / Interest Expense,-999.0,4.115393536453087,9.627083151557455,4.014150943396227,-999
BQR,Net Income before extraordinary,112500000,249826000,123338000,279000000,25641000
BQR,(NCO-CAPEX) / Total Debt (%),-2.6980062191329797,2.104395736043621,42.04827424930951,11.559432933478735,208.75424753786788
BQR,Score: Operating Leverage,75,45,58,65,15
BQR,Score: ICR,75,55,45,55,75
BQR,Score: Net Income,42,35,42,35,48
BQR,Score: FCF/Debt,75,75,25,58,15
BQR,BQR,66.75,51.5,43.8,54.25,32.25
