Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years)
Header,Fiscal Period,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3
Header,Statement Date,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-07-31,2023-04-30,2022-12-31,2022-09-30
Header,Filing Date,2025-11-06,2025-08-06,2025-05-08,2025-02-20,2024-11-06,2024-08-06,2024-05-07,2024-02-20,2023-11-07,2023-08-08,2023-05-09,2023-02-21,2022-11-01
Revenue & Margin,Segment-1,-,-,-,North America Segment,-,-,-,North America Segment,-,-,-,North America Segment,-
Revenue & Margin,Segment-1 %,-,-,-,71.7%,-,-,-,72.5%,-,-,-,63.2%,-
Revenue & Margin,Segment-2,-,-,-,Europe Segment,-,-,-,Europe Segment,-,-,-,Europe Segment,-
Revenue & Margin,Segment-2 %,-,-,-,28.3%,-,-,-,27.5%,-,-,-,24.9%,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,Australasia Segment,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,11.9%,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,3304969000,3430185000,3592472000,3775592000,3900923000,4043187000,4182938000,4304334000,4614648000,4677693000,4731080000,4821580000,4777137000
Revenue & Margin,Rev-CoGS / Sale (%),16.425539846213383,16.962058897697936,17.49427692129542,18.24810519780739,18.820648343994485,19.239871912924137,19.445997048007882,19.34378233659377,19.20237469900196,18.575716704794438,17.965749892202204,17.867275872224457,17.492485561958972
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),-1.4621317174230681,-0.44982996543918186,0.3236211722735765,0.9121218606247709,1.520717020048845,2.037674735301632,2.933966508707516,3.9679773920889967,4.402090907042097,4.053109086038781,3.8865967178741427,3.2826791217816567,3.8069873231602944
Revenue & Margin,Op. Income / Rev (%),-7.460826410172078,-8.809612309540157,-7.880757316967258,-3.349037713820773,-1.7443307647959214,0.8023620970289032,1.9976150734244686,3.28970753663633,3.742734007014186,2.2955760457131325,2.114527761103173,1.6712986199544548,2.3054603625560666
Revenue & Margin,Net Profit / Rev (%),-19.59655294800042,-10.333611743972993,-9.782344858916089,-5.006367213406533,-3.983108613012869,-0.919843677772015,0.46811595103728526,1.4507470842179069,2.834907451229216,1.1510802440433778,1.2975684198956687,0.9483820656299388,1.1343823717008743
EBITDA,Net Income,-647660000,-354462000,-351428000,-189020000,-155378000,-37191000,19581000,62445000,130821000,53844000,61389000,45727000,54191000
EBITDA,D & A,83494000,111368000,106822000,106755000,116009000,119087000,135165000,140192000,137685999,140065999,134402999,134903998,133832999
EBITDA,Net Int Inc,-67467000,-66386000,-66463000,-67237000,-61750000,-62168000,-66458000,-72258000,-81429000,-85965000,-85307000,-82169000,-80697000
EBITDA,Tax Provision,149186000,7737000,20811000,16762000,45084000,55232000,56420000,63339000,33250000,27566000,27665000,23989000,28145000
EBITDA,EBITDA,-347513000,-168971000,-157332000,1734000,67465000,199296000,277624000,338234000,383185999,307440999,308763999,286788998,296865999
EBITDA,Stock-Based Comp,10534000,12993000,13634000,15465000,17814000,18851000,19079000,18403000,19599000,15345000,11364000,16168000,9250000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,5.07,3.89,6.03,8.19,15.8,13.47,21.23,18.88,13.36,17.54,12.66,9.65,9.28
Capital Structure,O/S Shares,85338335,85338335,84990000,84653408,84617518,84511647,85520145,85309220,85214451,85048937,84916876,84347712,84519095
Capital Structure,Market Capitalization,432665358,331966123,512489700,693311411,1336956784,1138371885,1815592678,1610638073,1138465065,1491758354,1075047650,813955420,784337201
Capital Structure,Cash,108405000,134109000,132469000,150337000,208500000,212821000,234452000,288312000,239219000,188948000,202552000,164475000,199809000
Capital Structure,Debt,1370108000,1373058000,1314380000,1321613000,1354110000,1362005000,1367892000,1380722000,1362810000,1819380000,1926942000,1883103000,2007369000
Capital Structure,Enterprise Value,1694368358,1570915123,1694400700,1864587411,2482566784,2287555885,2949032678,2703048073,2262056065,3122190354,2799437650,2532583420,2591897201
Capital Structure,netCommonStockIssuance,0,0,0,0,0,-24743000,-403000,0,0,0,0,-110000,-27087000
Capital Structure,netDebtIssuance,-9453000,-5270000,-6064000,-34867000,-4733000,-8066000,-7710000,-11992000,-475112000,-70667000,341000,-72046000,-101853000
Liquidity & Cash Flow,DSO,47.83005415481961,47.392108588895354,46.772663433424114,46.3133400669352,47.82558127909728,47.85264507924071,48.19022538703658,50.51868593375886,47.40940479100465,48.86656761142726,50.29477624559297,49.46612313805848,50.32380089790182
Liquidity & Cash Flow,DIO,60.720327032594646,59.35662162897532,57.69050850288209,56.76242533089614,55.941232935153586,55.280523158329615,55.19780019373656,57.443259278632766,56.25268135450846,60.03665611385069,63.043258158885635,62.632612664595165,63.42589408288272
Liquidity & Cash Flow,DPO,36.71493441608046,36.51515304447655,35.81063648892795,35.87393629532388,35.092308140474884,33.87395479962993,32.916006088693834,32.70852242106418,30.887732176200462,31.991397897173318,33.91898630184283,34.58080046059501,37.79519304467313
Liquidity & Cash Flow,CCC,71.83544677133378,70.23357717339412,68.65253544737826,67.20182910250745,68.67450607377599,69.25921343794039,70.4720194920793,75.25342279132744,72.77435396931266,76.91182582810463,79.41904810263577,77.51793534205862,75.95450193611141
Liquidity & Cash Flow,OCF,-9611000,16905000,33718000,106214000,150230000,232195000,334846000,345188000,376746000,349419000,216548000,30337000,-33044000
Liquidity & Cash Flow,CapEx,-145884000,-160090000,-167459000,-161906000,-138511000,-124220000,-108110000,-98332000,-99774000,-93666000,-89267000,-83217000,-77518000
Liquidity & Cash Flow,FCF,-160534000,-153627000,-139258000,-61209000,7984000,100406000,216365000,234306000,266238000,250772000,125101999,-52880001,-112076001
BQR,Total Debt / Adj Ebitda,999.0,999.0,999.0,762.1758938869666,20.07129622767361,6.834080964996788,4.927138864075152,4.082150227357392,3.5565234730823243,5.917818397408993,6.240824727755906,6.566161927871445,6.761869014174304
BQR,Adj Ebitda / Interest Expense,-999.0,-999.0,-999.0,0.02578937192319705,1.0925506072874493,3.20576502380646,4.177435372716603,4.680921143679592,4.705768202974371,3.5763508288256847,3.619445051402581,3.490233518723606,3.678773671883713
BQR,Net Income before extraordinary,-647660000,-354462000,-351428000,-189020000,-155378000,-37191000,19581000,62445000,130821000,53844000,61389000,45727000,54191000
BQR,(NCO-CAPEX) / Total Debt (%),-11.716886552009038,-11.188675205271737,-10.594957318279342,-4.631386041148203,0.589612365317441,7.371925947408417,15.817403713158642,16.969817240545165,19.53595879102736,13.78337675471864,6.4922555530991595,-2.8081311006354936,-5.5832286440609575
BQR,Score: Operating Leverage,75,75,75,75,75,75,58,52,48,65,65,75,75
BQR,Score: ICR,75,75,75,75,75,58,55,52,52,58,58,58,58
BQR,Score: Net Income,75,75,75,75,75,75,52,45,42,45,45,48,45
BQR,Score: FCF/Debt,75,75,75,75,75,58,52,52,48,55,65,75,75
