Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-02-26,2025-11-04,2025-08-05,2025-05-20,2025-03-03,2024-11-12,2024-08-09,2024-05-10,2024-03-15,2023-11-09,2023-08-14,2023-05-10,2023-03-01,2022-11-09,2022-08-05,2022-05-06,2022-02-25
Revenue & Margin,Segment-1,Optical Networking Solutions,-,-,-,Subscriber Solutions And Experience,-,-,-,Optical Networking Solutions,-,-,-,Subscriber Solutions And Experience,-,-,-,Access & Aggregation Solutions
Revenue & Margin,Segment-1 %,3509.0%,-,-,-,3584.8%,-,-,-,4290.1%,-,-,-,3807.3%,-,-,-,6113.6%
Revenue & Margin,Segment-2,Subscriber Solutions And Experience,-,-,-,Optical Networking Solutions,-,-,-,Access & Aggregation Solutions,-,-,-,Access & Aggregation Solutions,-,-,-,Subscriber Solutions And Experience
Revenue & Margin,Segment-2 %,3405.4%,-,-,-,3261.4%,-,-,-,3119.1%,-,-,-,3646.9%,-,-,-,3545.6%
Revenue & Margin,Segment-3,Access & Aggregation Solutions,-,-,-,Access & Aggregation Solutions,-,-,-,Subscriber Solutions And Experience,-,-,-,Optical Networking Solutions,-,-,-,Traditional And Other Products
Revenue & Margin,Segment-3 %,3085.6%,-,-,-,3153.8%,-,-,-,2590.8%,-,-,-,2545.8%,-,-,-,340.8%
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,1083807000,1035099000,983368000,944291000,922720000,905347000,949974000,1051361000,1149100000,1281892000,1350270000,1194930000,1025536000,821423000,618795000,589989000,563004000
Revenue & Margin,Rev-CoGS / Sale (%),38.28679829526844,37.915117297958936,37.6851799123014,37.40743054842204,35.58761054274319,34.86022486405765,32.06319330844844,30.015380064506864,28.984683665477327,28.23958648622505,28.94169314285291,30.189550852351182,31.910337618572143,33.391322132445765,35.38005316785042,37.13492963428131,38.78782388757451
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),17.409003632565575,16.079428151316925,14.763242245019159,13.627366987507028,10.5112059996532,8.848982765724081,7.0704040321103525,6.758382705845091,6.811243581933687,7.038424453854147,7.679056781236346,9.402308084992427,11.541574357214179,13.208420022327108,15.68386945595876,15.969789267257525,16.6895794701281
Revenue & Margin,Op. Income / Rev (%),-1.4390015934571376,-3.401220559579325,-5.735594406163308,-8.619165066700837,-45.91490376278828,-49.27933709395403,-53.83947350138004,-49.24883080121861,-19.256026455486904,-16.89143859233071,-12.979033822865057,-10.250893357769911,-7.1013596792311535,-5.745030270640097,-1.4917702954936611,-2.2768221102427333,-2.6109938828143315
Revenue & Margin,Net Profit / Rev (%),-4.212558139964035,-8.499380252516909,-11.079677191041402,-14.644638146503567,-49.61266689786717,-57.63690607026919,-59.29741235023275,-52.55492642394002,-22.788269080149682,-8.817747516951506,-6.090115310271279,-3.43057752336957,-0.19862783949076385,-5.491445941981172,-2.1979815609369826,-1.806474357996505,-1.533736882864065
EBITDA,Net Income,-45656000,-87977000,-108954000,-138288000,-457786000,-521814000,-563310000,-552542000,-261860000,-113034000,-82233000,-40993000,-2037000,-45108000,-13601000,-10658000,-8635000
EBITDA,D & A,68287999,67554000,91132000,90366000,91160000,90123000,90500000,101937000,112949000,124192000,127785000,97294000,67553000,38621000,15087000,15623000,16084000
EBITDA,Net Int Inc,-28413800,-17445000,-17252000,-19429000,-18995000,-19040000,-18011000,-15177000,-13959000,-11330000,-8300000,-4471000,-1314000,1282000,2576000,2700000,2810000
EBITDA,Tax Provision,4993000,26727000,25915000,27035000,8785000,48241000,31298000,20799000,28133000,-93732000,-81491000,-70980000,-62075000,-5709000,-105000,-1126000,2330000
EBITDA,EBITDA,56038799,23749000,25345000,-1458000,-338846000,-364410000,-423501000,-414629000,-106819000,-71244000,-27639000,-10208000,4755000,-13478000,-1195000,1139000,6969000
EBITDA,Stock-Based Comp,6465000,9813000,13443000,14604000,15348000,15210000,15706000,16158000,16016000,24639000,32644000,30241000,28322000,15912000,5623000,5543000,5457000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,8.69,9.38,8.97,8.72,8.33,5.93,5.12,5.5,7.34,8.23,10.53,15.86,18.79,19.58,17.53,18.45,22.83
Capital Structure,O/S Shares,79877000,79696000,79748000,79534000,79091000,78952000,78852000,78814000,78530000,78389000,78366000,78358000,77889000,73036000,49123000,49113000,46766000
Capital Structure,Market Capitalization,694131130,747548480,715339560,693536480,658828030,468185360,403722240,433477000,576410200,645141470,825193980,1242757880,1463534310,1430044879,861126190,906134850,1067667779
Capital Structure,Cash,95696000,93682000,106271000,101321000,76021000,88456000,111185000,106757000,87167000,116092000,124294000,136457000,108644000,111099000,43368000,0,56603000
Capital Structure,Debt,245038000,243832000,217963000,216454000,215501000,215484000,216886000,222668000,234140000,234192000,231746000,212289000,143341000,135775000,0,0,3269000
Capital Structure,Enterprise Value,843473130,897698480,827031560,808669480,798308030,595213360,509423240,549388000,723383200,763241470,932645980,1318589880,1498231310,1454720879,817758190,906134850,1014333779
Capital Structure,netCommonStockIssuance,395000,271000,0,756000,0,0,-13000,0,353000,0,105000,58000,0,4798000,68000,568000,320000
Capital Structure,netDebtIssuance,-1653000,11314000,0,0,0,0,-5000000,0,-15741000,-93000,19609000,70080000,1101000,72069000,0,0,0
Liquidity & Cash Flow,DSO,63.45614348311092,64.90639663452481,70.11928647261249,75.86239570217232,80.16979825949367,85.44942988710406,86.74788994225105,83.70254484425425,83.30066465059612,80.50010063250258,80.68651177171974,84.1915708451541,72.0291803505679,74.12016403241692,51.681863541237405,48.38288934200468,71.10253213121044
Liquidity & Cash Flow,DIO,97.88352841884303,139.01510954811403,154.59937555484478,167.65899931647763,177.24896356667665,193.93060046698466,190.08383019668972,182.71851653526613,175.27793470149027,162.14616052336635,159.4686426175039,159.36759457722857,135.98430223232955,125.5778010706603,76.86003713753392,63.69665634933688,101.08336331744175
Liquidity & Cash Flow,DPO,96.38391415440188,100.95248311651935,103.54911763361967,104.30862938537128,101.74378224132072,101.16069808610898,88.9821183423151,79.68375360666276,76.24005559796922,75.05031302621724,84.04361247093475,93.68016545470674,86.00630438331682,87.21533970343916,56.347870531304316,41.57530257726539,59.4333583845723
Liquidity & Cash Flow,CCC,64.95575774755207,102.96902306611949,121.1695443938376,139.2127656332787,155.6749795848496,178.21933226797972,187.84960179662568,186.7373077728576,182.33854375411715,167.59594812965167,156.11154191828888,149.87899996767595,122.00717819958062,112.48262539963807,72.194030147467,70.50424311407617,112.75253706407989
Liquidity & Cash Flow,OCF,129767000,92073000,120602000,108340000,103084000,82250000,48379000,12247000,-45604000,-30809000,-74470000,-69023000,-44228000,-68616000,-21123000,-2808000,3008000
Liquidity & Cash Flow,CapEx,-45568000,-18168000,-24351000,-35661000,-36988000,-62164000,-52508000,-48192000,-43121000,-40605000,-33905000,-24050000,-17072000,-12238000,-6744000,-6389000,-5669000
Liquidity & Cash Flow,FCF,119286999,47917000,66941000,52517000,39959000,24620000,-5320000,-37136000,-88725000,-71414000,-108375000,-93073000,-61300000,-80854000,-27867000,-9197000,-2661000
BQR,Total Debt / Adj Ebitda,4.3726490283990564,10.2670428228557,8.599842177944367,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,30.145320715036803,999.0,999.0,0.0,0.4690773425168604
BQR,Adj Ebitda / Interest Expense,1.9722388064954353,1.3613642877615362,1.4691050313007188,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3.6187214611872145,-999.0,-999.0,-999.0,-999.0
BQR,Net Income before extraordinary,-45656000,-87977000,-108954000,-138288000,-457786000,-521814000,-563310000,-552542000,-261860000,-113034000,-82233000,-40993000,-2037000,-45108000,-13601000,-10658000,-8635000
BQR,(NCO-CAPEX) / Total Debt (%),48.6810204947804,19.65164539519013,30.71209333694251,24.262429892725475,18.5423733532559,11.425442260214215,-2.45290152430309,-16.677744444644045,-37.89399504569916,-30.49378287900526,-46.76456120062482,-43.84259193834819,-42.76515442197278,-59.54999079359234,999.0,999.0,-81.40104007341695
BQR,Score: Operating Leverage,55,75,75,75,75,75,75,75,75,75,75,75,75,75,75,15,15
BQR,Score: ICR,65,75,75,75,75,75,75,75,75,75,75,75,58,75,75,75,75
BQR,Score: Net Income,75,75,75,75,75,75,75,75,75,75,75,75,65,75,65,65,65
BQR,Score: FCF/Debt,25,48,35,42,48,58,75,75,75,75,75,75,75,75,15,15,75
BQR,BQR,54.0,68.25,65.0,66.75,68.25,70.75,75.0,75.0,75.0,75.0,75.0,75.0,69.95,75.0,57.5,36.5,51.5
