Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1
Header,Statement Date,2025-11-30,2025-08-31,2025-05-31,2025-02-28,2024-11-30,2024-08-31,2024-05-31,2024-02-29,2023-11-30,2023-08-31,2023-05-31,2023-02-28,2022-11-30,2022-08-31,2022-05-31,2022-02-28,2021-11-30
Header,Filing Date,2026-01-08,2025-10-28,2025-07-02,2025-04-08,2025-01-10,2024-10-24,2024-07-08,2024-04-05,2024-01-05,2023-10-25,2023-06-29,2023-04-10,2023-01-06,2022-10-31,2022-07-11,2022-04-06,2022-01-07
Revenue & Margin,Segment-1,-,Manufacturing,-,-,-,Manufacturing,-,-,-,Manufacturing,-,-,-,Manufacturing,-,-,-
Revenue & Margin,Segment-1 %,-,10000.0%,-,-,-,9197.3%,-,-,-,9440.7%,-,-,-,9362.4%,-,-,-
Revenue & Margin,Segment-2,-,-,-,-,-,Leasing and Management Services,-,-,-,Leasing and Management Services,-,-,-,Leasing and Management Services,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,661.8%,-,-,-,466.5%,-,-,-,544.9%,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,Maintenance Services,-,-,-,Maintenance Services,-,-,-,Maintenance Services,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,141.0%,-,-,-,92.7%,-,-,-,92.6%,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,3064700000,3233200000,3529100000,3507400000,3606300000,3539700000,3504100000,3722900000,3983600000,3942200000,3877200000,3633500000,3194200000,2978300000,2626477000,2283177000,1896322000
Revenue & Margin,Rev-CoGS / Sale (%),17.33611772767318,18.56983793146109,18.43812870136862,17.785254034327423,16.78728891107229,15.62561799022516,13.969350189777687,13.304144618442612,12.323024400040165,11.163817157932119,11.379345919735892,10.722443924590614,10.265481184647172,10.277675183829702,10.529732413419191,12.068359132909976,12.602501052036521
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),8.813260710673148,10.426203173326735,11.059476948797144,10.549124736271882,9.777334109752378,8.644800406814136,7.154476185040382,6.782347095006582,6.343508384375942,5.195068743341282,5.073248736201382,4.155772670978395,2.930311189030117,2.7163146761575394,2.4640992477756325,3.147412574671171,2.456228425341266
Revenue & Margin,Op. Income / Rev (%),9.390804972754266,10.426203142397625,11.059476920461307,10.549124707760734,9.777334109752378,8.644800406814136,7.154476185040382,6.782347095006582,6.343508384375942,5.195068743341282,5.073248736201382,4.155772670978395,2.930311189030117,2.7163146761575394,2.4640992477756325,3.147412574671171,2.456228425341266
Revenue & Margin,Net Profit / Rev (%),6.04300584070219,6.312631448719534,6.486072936442719,5.779209670981354,5.107728142417437,4.522982173630534,3.5187351959133584,2.973488409573182,2.771362586605081,1.5854091623966313,1.4933457134014239,1.0926104307141873,0.6073508233673534,1.5747238357452238,2.2264424931191096,3.2898894829441603,2.8080146726136173
EBITDA,Net Income,185200000,204100000,228900000,202700000,184200000,160100000,123300000,110700000,110400000,62500000,57900000,39700000,19400000,46900000,58477000,75114000,53249000
EBITDA,D & A,124800000,121500000,122599999,120899999,117999999,115599999,108800000,107700000,107100000,106300000,104800000,102900000,101500000,100900000,100980000,100749000,100071000
EBITDA,Net Int Inc,-88100000,-91800000,-83900000,-88600000,-92100000,-93900000,-89700000,-86300000,-83300000,-79200000,-75700000,-71100000,-62200000,-55700000,-52081000,-47581000,-45481000
EBITDA,Tax Provision,70300000,91400000,103500000,96100000,85400000,62000000,42900000,35800000,38400000,24600000,26900000,24400000,15700000,18100000,-1325000,-9339000,-34291000
EBITDA,EBITDA,468400000,508800000,538899999,508299999,479699999,431599999,364700000,340500000,339200000,272600000,265300000,238100000,198800000,221600000,210213000,214105000,164510000
EBITDA,Stock-Based Comp,3500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,44.69,46.63,45.07,56.2,68.0,48.45,55.25,51.75,37.71,42.56,27.17,32.11,38.39,28.51,41.61,44.43,39.99
Capital Structure,O/S Shares,30953000,30873000,31186000,31376000,31246000,31135000,31131000,31117000,31025000,31171952,31757000,32588000,32719000,32596000,32588000,32582000,32510000
Capital Structure,Market Capitalization,1383289570,1439607990,1405553020,1763331200,2124728000,1508490750,1719987750,1610304750,1169952750,1326678277,862837690,1046400680,1256082410,929311960,1355986680,1447618260,1300074900
Capital Structure,Cash,361800000,326400000,342000000,301900000,312900000,351800000,291800000,272000000,321300000,302700000,341500000,399600000,280500000,559100000,465800000,602500000,437900000
Capital Structure,Debt,1847400000,1835800000,1851500000,1848200000,1901400000,2173400000,1831200000,1794500000,1831100000,1681000000,1676200000,1689300000,1646700000,1622100000,1547600000,1544100000,1457000000
Capital Structure,Enterprise Value,2868889570,2949007990,2915053020,3309631200,3713228000,3330090750,3259387750,3132804750,2679752750,2704978277,2197537690,2336100680,2622282410,1992311960,2437786680,2389218260,2319174900
Capital Structure,netCommonStockIssuance,-12900000,-900000,-21800000,0,-5500000,100000,0,0,-1300000,-8900000,-31300000,-16700000,-2300000,-200000,0,-100000,-3400000
Capital Structure,netDebtIssuance,14900000,-14500000,-1700000,-84000000,84300000,-8600000,38600000,-37300000,147600000,6200000,-41000000,43800000,23400000,62500000,3900000,89300000,145600000
Liquidity & Cash Flow,DSO,65.72131856299148,64.61048651490783,59.13111699866822,58.641016137309684,56.35218229209993,53.790504845043365,54.420321908621325,52.567588439120044,50.36204689225826,52.1709641824362,52.31365418343134,56.59584422732902,61.839858180452076,65.55673538595843,70.08374050105903,70.83468506821853,75.33732601847154
Liquidity & Cash Flow,DIO,99.72522104681457,98.5075774840474,92.72095608671484,95.87009293938132,96.21251124662601,100.6389791066765,101.29942612618589,96.75168856116,91.59224954905946,91.11972102452815,92.65221187427242,95.14877924720243,101.88622963402295,100.97190517176857,105.43417403005044,113.02108139676783,125.5940211049285
Liquidity & Cash Flow,DPO,38.05024867766638,39.133384609541174,39.17688646470261,39.96063947842974,39.219650771435234,40.09793745396102,40.51553274066211,40.287287768000986,39.962206888653476,41.47040347220239,42.39300785797439,42.85000308270908,44.62059100582633,43.630763041688496,44.31895225191028,45.65720237991467,47.583639396429696
Liquidity & Cash Flow,CCC,127.39629093213966,123.98467938941405,112.67518662068042,114.55046959826127,113.34504276729072,114.33154649775885,115.20421529414511,109.03198923227905,101.99208955266425,101.82028173476196,102.57285819972935,108.89462039182236,119.1054968086487,122.89787751603849,131.19896227919918,138.19856408507167,153.34770772697033
Liquidity & Cash Flow,OCF,402200000,265700000,365500000,310900000,316300000,332500000,217700000,230300000,289400000,78000000,180900000,-24200000,-205700000,-146900000,-238589000,-159989000,-241034000
Liquidity & Cash Flow,CapEx,-278800000,-280400000,-282700000,-334199999,-389099999,-398299999,-432899999,-382900000,-373400000,-362100000,-385800000,-352400000,-250800000,-380700000,-325037000,-286658000,-287307000
Liquidity & Cash Flow,FCF,123400000,-14700000,82800000,-23300000,-72800000,-65800000,-215200000,-152600000,-84000000,-284100000,-204900000,-376600000,-456500000,-527600000,-563626000,-446647000,-528341000
BQR,Total Debt / Adj Ebitda,3.944064901793339,3.6080974842767297,3.435702363027839,3.6360417148062987,3.9637273378439177,5.035681197951068,5.021113243761996,5.270190895741557,5.398290094339623,6.166544387380777,6.31813041839427,7.094918101637967,8.283199195171026,7.319945848375451,7.362056580706236,7.211882020503959,8.856604461734848
BQR,Adj Ebitda / Interest Expense,5.316685584562997,5.542483660130719,6.4231227532777115,5.7370203047404065,5.208469044516829,4.5963791160809375,4.06577480490524,3.945538818076477,4.07202881152461,3.441919191919192,3.5046235138705417,3.3488045007032348,3.1961414790996785,3.9784560143626573,4.0362704249150365,4.499800340472037,3.617114839163607
BQR,Net Income before extraordinary,185200000,204100000,228900000,202700000,184200000,160100000,123300000,110700000,110400000,62500000,57900000,39700000,19400000,46900000,58477000,75114000,53249000
BQR,(NCO-CAPEX) / Total Debt (%),6.6796578975857965,-0.800740821440244,4.472049689440993,-1.2606860729358293,-3.8287577574418847,-3.027514493420447,-11.751856705985146,-8.503761493452215,-4.58740647698105,-16.900654372397383,-12.224078272282544,-22.293257562303914,-27.722110888443552,-32.52573824055237,-36.41935900749548,-28.92604105951687,-36.262251201098145
BQR,Score: Operating Leverage,52,48,48,48,52,58,58,65,65,65,75,75,75,75,75,75,75
BQR,Score: ICR,48,48,48,48,48,52,55,58,55,58,58,58,58,58,55,55,58
BQR,Score: Net Income,42,35,35,35,42,42,42,42,42,45,45,48,52,48,45,42,45
BQR,Score: FCF/Debt,65,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,BQR,52.15,51.5,51.5,51.5,54.65,57.349999999999994,57.8,60.7,60.25,61.45,64.95,65.7,66.7,65.7,64.5,63.75,64.95
