Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2026-Q2,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-04-30,2021-12-31
Header,Filing Date,2026-02-03,2025-11-04,2025-08-11,2025-05-06,2025-02-04,2024-11-05,2024-08-13,2024-05-07,2024-02-06,2023-11-07,2023-08-15,2023-05-09,2023-02-07,2022-11-08,2022-08-16,2022-05-10,2022-02-08
Revenue & Margin,Segment-1,-,-,C4I Applications,-,-,-,C4I Applications,-,-,-,C4I Applications,-,-,-,-,-,-
Revenue & Margin,Segment-1 %,-,-,4365.7%,-,-,-,4651.6%,-,-,-,4252.5%,-,-,-,-,-,-
Revenue & Margin,Segment-2,-,-,Radar End User Applications,-,-,-,Other Sensor And Effector Applications,-,-,-,Radar End User Applications,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,1861.1%,-,-,-,1544.8%,-,-,-,2356.2%,-,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,Other End User Applications,-,-,-,Electronic Warfare End User Applications,-,-,-,Electronic Warfare End User Applications,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,1626.8%,-,-,-,1444.9%,-,-,-,1484.3%,-,-,-,-,-,-
Revenue & Margin,Others,-,-,"Other Sensor And Effector Applications, Electronic Warfare End User Applications",-,-,-,"Radar End User Applications, Other End User Applications",-,-,-,"Other Sensor And Effector Applications, Other End User Applications",-,-,-,-,-,-
Revenue & Margin,Others %,-,-,2146.3%,-,-,-,2358.8%,-,-,-,1907.0%,-,-,-,-,-,-
Revenue & Margin,Revenue Total,942545000,932798000,912020000,887477000,880550000,905988000,882548000,887221000,946269000,927294000,973882000,1010375000,999971000,990763000,988197000,949310000,953092000
Revenue & Margin,Rev-CoGS / Sale (%),28.158867746367548,28.47379604158671,27.904431920352625,27.3740051854865,26.98517971722219,27.594625977386013,28.184416031762577,27.379085932366344,29.739112239754235,31.18320618919135,32.522215217038614,36.5126809352963,37.83909733382268,38.822806261436895,39.96733444849559,39.83567011829645,40.2933819610279
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),10.24959020524219,10.552981460080318,10.973662858270652,9.33827017488904,9.930838680370222,10.703011518916366,10.54492220253176,11.112225702502533,13.274872155803477,14.19959581319409,16.02771177617001,19.4256587900532,21.11081221355419,22.771439789334078,24.075361491686376,24.602079405041557,25.226316032450175
