Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-03-02,2025-10-27,2025-07-28,2025-04-28,2025-03-03,2024-10-28,2024-07-29,2024-04-29,2024-02-26,2023-10-30,2023-07-31,2023-05-01,2023-03-08,2022-10-31,2022-08-04,2022-05-02,2022-02-28
Revenue & Margin,Segment-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-1 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,682389000,678522000,673879000,664347000,659667000,657528000,656802000,658313000,659511000,644947000,631283000,579326000,521027000,469190000,417508000,391456000,378316000
Revenue & Margin,Rev-CoGS / Sale (%),29.745497069853116,29.904852016588997,30.901541671427662,31.047780753130517,30.507816822730256,30.392774148021072,29.737120167112767,28.817750826734397,28.796638721719575,27.718711770114446,26.61627194142722,25.299917490324965,24.28722503824178,23.92506234148213,24.1192983128467,25.124662797351426,25.348386005350026
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),14.883592789450006,14.869819991098298,15.789778283638459,15.886276298380213,15.271947816095091,14.957842099499945,14.656928572081085,13.88412502867177,14.140476807816702,13.507466504999636,12.280704533465974,10.88333684315912,9.639039819433542,9.122956584752446,9.34952144629564,10.177899942777731,10.403207900273845
Revenue & Margin,Op. Income / Rev (%),13.974873569181215,13.4990464568577,13.949388540079152,14.01963130713317,13.861994006066697,14.014764390261709,13.72422739273023,13.424465261965052,13.197808679460996,12.056804667670367,11.293825431700204,9.807949237562271,9.055768702965489,9.144269911975957,9.34952144629564,10.177899942777731,10.403207900273845
Revenue & Margin,Net Profit / Rev (%),7.769322190129091,7.405213095522327,7.689956208755577,6.677082909985294,6.08109849363391,5.79655923397939,5.202937871687357,5.516372910758256,5.299532532436912,4.403772713106659,3.428731646504024,1.7558335030708097,2.1486410493122237,3.2632835311920543,5.238702012895561,7.654755579171095,7.890493661383605
EBITDA,Net Income,53017000,50246000,51821000,44359000,40115000,38114000,34173000,36315000,34951000,28402000,21645000,10172000,11195000,15311000,21872000,29965000,29851000
EBITDA,D & A,27709000,27744000,27745000,27795000,27897000,28273000,28427000,28517000,28496000,28193000,28115000,25269000,21158000,17167000,13164000,11865000,11914000
EBITDA,Net Int Inc,-23396000,-24819000,-26798000,-29856000,-33622000,-37013000,-39722000,-41159000,-41273000,-40509000,-37590000,-29427000,-19240000,-9878000,-2322000,0,0
EBITDA,Tax Provision,16147000,14684000,13836000,11585000,10377000,9940000,8805000,9255000,9010000,7472000,5677000,2627000,2677000,3374000,5437000,7514000,7398000
EBITDA,EBITDA,120269000,117493000,120200000,113595000,112011000,113340000,111127000,115246000,113730000,104576000,93027000,67495000,54270000,45730000,42795000,49344000,49163000
EBITDA,Stock-Based Comp,3866000,4849000,4117000,3982000,4008000,3942000,3601000,3861000,3252000,3185000,3150000,2740000,2957000,2713000,2508000,2242000,2396000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,47.75,46.41,36.72,35.1,37.92,38.95,35.87,38.93,35.53,32.9,28.83,25.0,25.62,23.79,28.3,35.88,44.55
Capital Structure,O/S Shares,26289471,26289471,26277592,26246848,26227540,26227540,26201093,26201093,26193998,26193656,26178248,26129878,26094865,26094865,26079115,26090963,26103661
Capital Structure,Market Capitalization,1255322240,1220094349,964913178,921264364,994548316,1021562683,939833205,1020008550,930672748,861771282,754718889,653246950,668550441,620796838,738038954,936143752,1162918097
Capital Structure,Cash,35083000,42937000,26985000,21840000,24213000,39701000,34245000,27772000,30518000,18189000,12173000,12231000,6783000,10288000,16828000,122686000,125194000
Capital Structure,Debt,307531000,322298000,337064000,352206000,387067000,380989000,395380000,400729000,425284000,410180000,428905000,436075000,439007000,428580000,432384000,0,1140000
Capital Structure,Enterprise Value,1527770240,1499455349,1274992178,1251630364,1357402316,1362850683,1300968205,1392965550,1325438748,1253762282,1171450889,1077090950,1100774441,1039088838,1153594954,813457752,1038864097
Capital Structure,netCommonStockIssuance,0,0,-11000,-1141000,267000,0,0,-267000,-1000,1000,-1000,-1028000,0,0,0,-918000,-1014000
Capital Structure,netDebtIssuance,-15000000,-15000000,-15375000,-14625000,-14625000,-14625000,-10121000,-4375000,-6375000,-19375000,-7375000,-1375000,7625000,-4427000,429835000,0,0
Liquidity & Cash Flow,DSO,49.85855208685955,50.04291681036135,49.86164244619582,50.33558705014097,50.86228165119674,51.303769573310944,52.8935794196729,53.45456112821712,53.73338541737743,55.432634387011646,55.465825152902895,58.63978787418483,59.98859943918453,59.9038289392357,60.21663357348841,56.78952104451075,55.44692466086552
Liquidity & Cash Flow,DIO,73.80246553054796,74.91904115119047,77.89332071273793,80.04578874524648,80.36569597113545,81.48096843476,81.15469958048746,82.67183558755617,85.54893961592354,87.54187259747391,88.55106160916463,91.69659589561809,94.39750091258455,97.8124859918865,103.16318164314032,105.46905279354768,105.91686908458709
Liquidity & Cash Flow,DPO,21.825311320164367,21.782222168490282,20.85396260209045,21.40983219161635,21.46186496137796,21.202022342780108,20.723285329195992,20.42406189047422,21.205985915492956,21.639421055566995,22.693576919174802,23.933365029335167,23.46688965838919,24.129598863661833,23.27795541779248,21.78575693269283,20.257817285664206
Liquidity & Cash Flow,CCC,101.83570629724315,103.17973579306154,106.9010005568433,108.9715436037711,109.76611266095424,111.58271566529083,113.32499367096437,115.70233482529908,118.076339117808,121.33508592891857,121.32330984289274,126.40301874046776,130.91921069337988,133.58671606746037,140.10185979883627,140.4728169053656,141.1059764597884
Liquidity & Cash Flow,OCF,106228000,100486000,85321000,80188000,69830000,87140000,93766000,90345000,98225000,72836000,44849000,26142000,13685000,16411000,24019000,37921000,45438000
Liquidity & Cash Flow,CapEx,0,-4010000,-7188000,-10413000,-14319000,-14227000,-14696000,-18291000,-20835000,-23635000,-22811000,-20963000,-17986000,-15402000,-14648000,-12360000,-9751000
Liquidity & Cash Flow,FCF,101385000,96476000,72156000,66755000,55511000,72913000,79070000,72054000,77390000,49201000,22038000,5179000,-4301000,1009000,9371000,25561000,35687000
BQR,Total Debt / Adj Ebitda,2.5570263326376708,2.743125122347714,2.8041930116472544,3.100541397068533,3.455615966289025,3.361469913534498,3.5579112186957267,3.4771618971591205,3.739417919634221,3.9223148714810283,4.61054317563718,6.460848951774206,8.089312695780357,9.371965886726437,10.103610234840518,0.0,0.023188169965217744
BQR,Adj Ebitda / Interest Expense,5.14057958625406,4.733994117410049,4.485409358907381,3.8047628617363345,3.331479388495628,3.0621673466079486,2.7976184482150948,2.800019436818193,2.7555544787148984,2.5815497790614432,2.474780526735834,2.2936418934991676,2.8206860706860706,4.6294796517513666,18.430232558139537,-999.0,-999.0
BQR,Net Income before extraordinary,53017000,50246000,51821000,44359000,40115000,38114000,34173000,36315000,34951000,28402000,21645000,10172000,11195000,15311000,21872000,29965000,29851000
BQR,(NCO-CAPEX) / Total Debt (%),32.967408163729836,29.933787985032485,21.40721050008307,18.95339659176732,14.341444762793005,19.13782287677597,19.998482472558045,17.98073011935747,18.1972517188514,11.994977814617972,5.138200767069631,1.1876397408702632,-0.979711029664675,0.23542862476083812,2.1672864860864416,999.0,3130.438596491228
BQR,Score: Operating Leverage,45,45,45,45,48,48,48,48,48,52,55,75,75,75,75,15,15
BQR,Score: ICR,48,52,55,58,58,58,58,58,58,58,65,65,58,52,25,75,75
BQR,Score: Net Income,45,45,45,48,48,48,48,48,48,48,52,55,55,52,52,48,48
BQR,Score: FCF/Debt,35,42,45,48,55,48,48,48,48,58,75,75,75,75,75,15,15
BQR,BQR,42.949999999999996,45.3,46.5,48.449999999999996,51.25,49.5,49.5,49.5,49.5,53.4,60.75,68.5,67.45,65.8,61.75,32.25,32.25
