Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-02-26,2025-11-07,2025-08-07,2025-05-07,2025-02-27,2024-11-08,2024-08-07,2024-05-08,2024-02-28,2023-11-03,2023-08-04,2023-05-05,2023-02-28,2022-11-04,2022-08-05,2022-05-06,2022-03-01
Revenue & Margin,Segment-1,Real Estate Brokerage Commissions,-,-,-,Real Estate Brokerage Commissions,-,-,-,Real Estate Brokerage Commissions,-,-,-,Real Estate Brokerage Commissions,-,-,-,Real Estate Brokerage Commissions
Revenue & Margin,Segment-1 %,8376.0%,-,-,-,8471.9%,-,-,-,8665.9%,-,-,-,8990.6%,-,-,-,9032.2%
Revenue & Margin,Segment-2,Financing Fees,-,-,-,Financing Fees,-,-,-,Financing Fees,-,-,-,Financing Fees,-,-,-,Financing Fees
Revenue & Margin,Segment-2 %,1376.1%,-,-,-,1214.1%,-,-,-,1035.7%,-,-,-,867.9%,-,-,-,846.1%
Revenue & Margin,Segment-3,Other Revenues,-,-,-,Other Revenues,-,-,-,Other Revenues,-,-,-,Other Revenues,-,-,-,Other Revenues
Revenue & Margin,Segment-3 %,247.9%,-,-,-,314.0%,-,-,-,298.4%,-,-,-,141.5%,-,-,-,121.7%
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,755156000,751284000,725903000,711994000,696060000,622225000,615740000,620239000,645927000,742133000,903947000,1137038000,1301710000,1534395000,1542938000,1431927000,1296440000
Revenue & Margin,Rev-CoGS / Sale (%),37.696846744248866,37.74258469500216,37.80326021520782,37.78725663418512,38.012383989885926,38.10438346257383,37.472959365966155,37.429603749522364,37.04474344624083,35.05988818715783,34.21362093131567,34.07845648078604,34.63259865868742,34.599825990048195,34.843072113072594,35.20102630930208,35.19106167659128
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),-0.2135982498980343,-1.1171540988494366,-2.159654940122854,-2.0368149169796372,-2.3446254633221275,-6.7817911527180685,-7.64559716763569,-7.991596787689907,-7.081450380615766,-3.0667009821689644,2.490300869409379,7.897009598623793,11.585299337025912,14.76223527839963,15.655262881593426,15.785790756093013,15.509934898645522
Revenue & Margin,Op. Income / Rev (%),-1.815651335618071,-2.985022974001842,-4.341764671037315,-4.286272075326478,-4.727897020371808,-9.13078066615774,-9.871049468931691,-10.22331714065062,-9.191131505572612,-4.892654012151461,1.070084861169958,6.779896538198371,10.555423250954513,13.909651686821189,14.812195953434292,14.903413372329736,14.605843695041806
Revenue & Margin,Net Profit / Rev (%),-0.25279544888738226,-0.8876802913412238,-1.6936147116074738,-0.954642876204013,-1.775996322156136,-5.005102655791715,-5.683892552051191,-6.157142649849494,-5.269171284061511,-2.1411256472896367,1.627529047610092,5.770167751649461,8.006775702729486,10.317747385777457,11.074780710566465,11.190584436217769,10.989324612014439
EBITDA,Net Income,-1909000,-6669000,-12294000,-6797000,-12362000,-31143000,-34998000,-38189000,-34035000,-15890000,14712000,65609000,104225000,158315000,170877000,160241000,142470000
EBITDA,D & A,12098000,14033000,15840000,16016000,16589000,14616000,13703000,13842000,13627000,13551000,12838000,12702000,13406000,13082000,13008000,12635000,11721000
EBITDA,Net Int Inc,-773000,-785000,-796000,-800000,-812000,-827000,-860000,-872000,-888000,-833000,-821000,-763000,-708000,-691000,-606000,-594000,-580000
EBITDA,Tax Provision,4929000,1968000,-229000,-5417000,-666000,-5064000,-6107000,-5479000,-6366000,-2762000,9187000,20414000,37804000,57180000,59162000,56504000,50833000
EBITDA,EBITDA,15891000,10117000,4113000,4602000,4373000,-20764000,-26542000,-28954000,-25886000,-4268000,37558000,99488000,156143000,229268000,243653000,229974000,205604000
EBITDA,Stock-Based Comp,24226000,24405000,24510000,24176000,23792000,26093000,25468000,24930000,24146000,20445000,19543000,18467000,17312000,15383000,13542000,11929000,10361000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,27.29,29.35,30.71,34.45,38.26,39.63,30.23,33.58,43.68,29.34,31.51,32.11,34.45,32.78,36.99,52.68,51.46
Capital Structure,O/S Shares,38826000,39013000,38967000,38930000,38826000,38629000,38675000,38447000,38415000,38492000,38538000,39200000,39461000,40086000,40048000,39989000,39977000
Capital Structure,Market Capitalization,1059561540,1145031550,1196676570,1341138500,1485482760,1530867270,1169145250,1291050260,1677967200,1129355280,1214332380,1258712000,1359431450,1314019080,1481375520,2106620520,2057216420
Capital Structure,Cash,161921000,106324000,75107000,139029000,153445000,172717000,161993000,90556000,170753000,224174000,171220000,228026000,235873000,270864000,211651000,315695000,382124000
Capital Structure,Debt,78255000,78555000,82421000,83941000,84223000,84838000,88448000,91470000,87743000,92196000,96545000,99679000,82093000,81520000,81998000,74583000,77307000
Capital Structure,Enterprise Value,975895540,1117262550,1203990570,1286050500,1416260760,1442988270,1095600250,1291964260,1594957200,997377280,1139657380,1130365000,1205651450,1124675080,1351722520,1865508520,1752399420
Capital Structure,netCommonStockIssuance,-17011000,-577000,-6973000,-425000,-231000,0,0,-554000,-4513000,-368000,-18229000,-16699000,-23394000,-5659000,0,0,0
Capital Structure,netDebtIssuance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liquidity & Cash Flow,DSO,15.791689068219016,19.618864171205562,20.361525575731193,17.888482908563837,20.888811668534323,19.038396480372853,15.259707831227464,10.902674211070249,7.156447245586576,6.934617851517181,5.392141353420056,4.623820839760852,4.329031619946071,3.7772770375294495,3.9737039012585083,4.332747933379285,4.383229266298479
Liquidity & Cash Flow,DIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,DPO,8.964100419566151,9.546787142154662,9.466403315259763,9.468801289533154,9.67547645148805,9.510253031443929,8.690464904260734,9.05737710198255,9.32370372191961,8.496359520440219,7.039308511890548,5.722595667017543,6.327919517589735,5.73271768625118,6.618847424380627,7.133021293839466,6.391992944612591
Liquidity & Cash Flow,CCC,6.827588648652865,10.0720770290509,10.89512226047143,8.419681619030683,11.213335217046273,9.528143448928924,6.56924292696673,1.8452971090876993,-2.1672564763330344,-1.5617416689230383,-1.6471671584704914,-1.0987748272566904,-1.9988878976436641,-1.9554406487217308,-2.645143523122119,-2.8002733604601806,-2.0087636783141116
Liquidity & Cash Flow,OCF,66657000,77044000,40063000,19894000,21714000,-20257000,-27825000,-22244000,-72430000,-61710000,-29306000,-20043000,13629000,144535000,170597000,208470000,255903000
Liquidity & Cash Flow,CapEx,-7872000,-7005000,-6801000,-6725000,-7873000,-8025000,-8197000,-9146000,-9370000,-10791000,-12113000,-12646000,-11666000,-11183000,-9109000,-7641000,-6857000
Liquidity & Cash Flow,FCF,58785000,70039000,33262000,13169000,13841000,-28282000,-36022000,-31390000,-81800000,-72501000,-41419000,-32689000,1963000,133352000,161488000,200829000,249046000
BQR,Total Debt / Adj Ebitda,4.924485557862941,7.764653553424928,20.039144176999756,18.240112994350284,19.259775897553165,999.0,999.0,999.0,999.0,999.0,2.5705575376750627,1.0019198295271792,0.5257552371864253,0.35556641136137623,0.33653597534198226,0.324310574238827,0.3759994941732651
BQR,Adj Ebitda / Interest Expense,20.55756791720569,12.887898089171975,5.167085427135678,5.7525,5.385467980295567,-999.0,-999.0,-999.0,-999.0,-999.0,45.74665042630938,130.3905635648755,220.5409604519774,331.7916063675832,402.0676567656766,387.16161616161617,354.4896551724138
BQR,Net Income before extraordinary,-1909000,-6669000,-12294000,-6797000,-12362000,-31143000,-34998000,-38189000,-34035000,-15890000,14712000,65609000,104225000,158315000,170877000,160241000,142470000
BQR,(NCO-CAPEX) / Total Debt (%),75.11980065171555,89.15918783018267,40.356219895415,15.68840018584482,16.433753250299798,-33.336476578891535,-40.72675470332851,-34.317262490434025,-93.22681011590669,-78.63790186125212,-42.9012377647729,-32.79426960543344,2.3911904790907874,163.5819430814524,196.94138881436132,269.26913639837494,322.15193966911147
BQR,Score: Operating Leverage,58,75,75,75,75,75,75,75,75,75,45,35,25,15,15,15,15
BQR,Score: ICR,25,35,48,48,48,75,75,75,75,75,15,15,15,15,15,15,15
BQR,Score: Net Income,65,65,65,65,65,75,75,75,75,65,55,45,42,42,42,42,42
BQR,Score: FCF/Debt,15,15,25,52,52,75,75,75,75,75,75,75,75,15,15,15,15
BQR,BQR,44.05,51.5,55.95,62.7,62.7,75.0,75.0,75.0,75.0,72.5,50.5,44.5,40.25,21.75,21.75,21.75,21.75
