Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3,2021-Q2
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Header,Filing Date,2026-03-05,2025-11-05,2025-08-06,2025-05-07,2025-03-05,2024-11-06,2024-08-07,2023-11-01,2023-08-02,2023-05-03,2023-03-07,2022-11-02,2022-08-03,2022-05-04,2022-03-09,2021-11-03,2021-08-04
Revenue & Margin,Segment-1,Industrial,-,-,-,Industrial,-,-,-,-,-,Industrial,-,-,-,Industrial,-,-
Revenue & Margin,Segment-1 %,5079.1%,-,-,-,4925.0%,-,-,-,-,-,3842.8%,-,-,-,3356.5%,-,-
Revenue & Margin,Segment-2,Vehicle,-,-,-,Vehicle,-,-,-,-,-,Vehicle,-,-,-,Vehicle,-,-
Revenue & Margin,Segment-2 %,1835.9%,-,-,-,2037.2%,-,-,-,-,-,2593.2%,-,-,-,3217.6%,-,-
Revenue & Margin,Segment-3,Medical,-,-,-,Medical,-,-,-,-,-,Medical,-,-,-,Medical,-,-
Revenue & Margin,Segment-3 %,1545.8%,-,-,-,1546.4%,-,-,-,-,-,1692.1%,-,-,-,2134.5%,-,-
Revenue & Margin,Others,Aerospace & Defense,-,-,-,Aerospace & Defense,-,-,-,-,-,"Aerospace & Defense, Other",-,-,-,"Aerospace & Defense, Other",-,-
Revenue & Margin,Others %,1539.2%,-,-,-,1491.4%,-,-,-,-,-,1871.8%,-,-,-,1291.4%,-,-
Revenue & Margin,Revenue Total,554478000,503455000,489925000,486379000,498895000,553333000,573669000,568713000,557799000,533752000,502988000,468705000,437809000,416624000,403516000,399721000,390865000
Revenue & Margin,Rev-CoGS / Sale (%),32.77118298652065,32.11230397950165,31.58728376792366,30.649760783257502,30.83213902725022,31.34007912052959,31.37436396249405,31.656916581825982,31.523183082077956,31.781239227206644,31.264960595481405,30.782901825241886,30.379686118832645,29.87057874726372,30.00029738597726,29.830556813377328,29.513514896447624
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),17.914506977734014,16.297186441687934,15.366025412052863,14.240540812822921,14.667014101163572,16.501094277767635,16.94409145343395,17.421792714427138,17.371311171228346,17.37773347921881,16.840361996707674,16.335648222229334,15.748876793304841,15.174113829256116,15.213275310024882,15.18984491682949,14.859094572294781
Revenue & Margin,Op. Income / Rev (%),7.932686238227666,5.442591691412341,4.457212838699801,3.092033167550408,3.632828551097926,6.393799032409056,6.999158051071262,7.639881627464116,7.759425886385597,7.26554654596142,6.293788320993741,5.865309736401361,5.587824827721677,5.683782019278774,6.449806203471485,6.701424243409779,6.2870812173000905
Revenue & Margin,Net Profit / Rev (%),3.9738276360829468,1.8009553981984487,0.9574934939021279,0.04605461995686491,0.6680764489521843,3.015543985267461,3.643215861411371,4.122641824611008,4.19308747416184,3.972069425500982,3.457338942479741,3.25471245239543,3.3388989262440925,3.5214005914205613,5.9710147800830695,6.312402901023464,5.954229721259258
EBITDA,Net Income,22034000,9067000,4691000,224000,3333000,16686000,20900000,23446000,23389000,21201000,17390000,15255000,14618000,14671000,24094000,25232000,23273000
EBITDA,D & A,0,26040000,26064000,26079000,26219000,25674000,25372000,25220000,25490000,25974000,25486000,24012000,21748000,19333000,18107000,17620000,17248000
EBITDA,Net Int Inc,-10588000,-14575000,-14609000,-14441000,-13970000,-13145000,-12693000,-12101000,-11274000,-9637000,-7692000,-5691000,-4131000,-3413000,-3236000,-3362000,-3429000
EBITDA,Tax Provision,360000,-3108000,-5565000,-7549000,-4654000,3212000,5728000,7441000,7957000,7517000,6292000,6701000,6143000,5755000,-981000,-1844000,-2425000
EBITDA,EBITDA,32982000,46574000,39799000,33195000,38868000,58717000,64693000,68208000,68110000,64329000,56860000,51659000,46640000,43172000,44456000,44370000,41525000
EBITDA,Stock-Based Comp,0,2572000,2835000,3073000,3507000,5069000,5238000,5486000,5394000,4991000,5073000,4813000,4854000,4713000,4161000,4010000,3627000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,39.94,38.65,34.81,28.62,22.84,29.84,36.49,31.28,34.53
Capital Structure,O/S Shares,16669000,16695000,16687000,16599000,16529000,16574000,16567000,16237000,15969000,15872000,15673000,15661000,15355000,15096000,14527000,14411000,14406000
Capital Structure,Market Capitalization,520906250,521718750,521468750,518718750,516531250,517937500,517718750,507406250,637801860,613452800,545577130,448217820,350708200,450464640,530090230,450776080,497439180
Capital Structure,Cash,40705000,39476000,49915000,47753000,36102000,37118000,31292000,23836000,24120000,25145000,30614000,19705000,28846000,16919000,22463000,19209000,23384000
Capital Structure,Debt,196820000,207733000,220901000,241272000,243594000,250758000,254365000,244655000,249632000,260603000,258850000,253943000,253128000,192756000,176284000,126785000,130852000
Capital Structure,Enterprise Value,677021250,689975750,692454750,712237750,724023250,731577500,740791750,728225250,863313860,848910800,773813130,682455820,574990200,626301640,683911230,558352080,604907180
