Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-02-26,2025-10-23,2025-07-24,2025-04-24,2025-02-27,2024-10-24,2024-07-25,2024-04-26,2024-02-29,2023-10-25,2023-07-27,2023-04-26,2023-02-24,2022-10-26,2022-07-27,2022-04-27,2022-02-24
Revenue & Margin,Segment-1,Renewables,-,-,-,Renewables,-,-,-,Well Intervention,-,-,-,Well Intervention,-,-,-,Well Intervention
Revenue & Margin,Segment-1 %,8498.1%,-,-,-,9114.8%,-,-,-,6794.1%,-,-,-,6876.1%,-,-,-,6600.4%
Revenue & Margin,Segment-2,"Service, Other",-,-,-,"Service, Other",-,-,-,Robotics,-,-,-,Robotics,-,-,-,Robotics
Revenue & Margin,Segment-2 %,1501.9%,-,-,-,885.2%,-,-,-,2391.0%,-,-,-,1694.1%,-,-,-,1917.0%
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,Production Facilities,-,-,-,Production Facilities,-,-,-,Production Facilities
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,814.9%,-,-,-,1429.8%,-,-,-,1482.6%
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,1291474000,1312445000,1277904000,1340413000,1358560000,1338584000,1391835000,1335855000,1289728000,1242387000,1119264000,973059000,873100000,753940000,662109000,661438000,674728000
Revenue & Margin,Rev-CoGS / Sale (%),12.322199285467612,12.752077229902966,13.069056830560042,16.975961886373828,16.16152396655282,15.686949791720206,16.155866176666056,15.325465712970345,15.53474841206828,14.68479628328371,12.60757068931012,8.67460246500983,5.797274080861299,1.8424543067087567,-3.371650287188363,-2.6971537770735883,2.2813637495405557
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),6.4421738261862025,6.413830674809231,6.3280966332369255,10.2365464972363,9.415410434577788,9.182389749167777,9.419291798237579,8.178282822611735,8.213282180428742,7.099156703989981,4.567644452068502,0.08283156519799931,-3.1753521933340965,-8.377457092076293,-13.46590969160667,-12.167126775298668,-7.122277421420186
Revenue & Margin,Op. Income / Rev (%),5.043461966714003,6.381143590779042,6.302351350336176,10.212001823318634,9.3911936167707,9.18986033002038,8.23387829735565,6.10949541679299,5.771527019650655,3.4612403381555024,1.69754410040884,-2.0739749593806747,-5.137441301110983,-8.831869910072419,-13.463644203597896,-12.26252498344516,-7.21579658766199
Revenue & Margin,Net Profit / Rev (%),2.3869624940184626,3.251793408485689,3.9211865680051083,6.341030712176024,4.095292073960664,0.5366118226424341,-0.48648007845757574,-2.392475231218957,-0.8403322250893211,1.6262243568227936,-1.2614539554564428,-5.232776224257727,-10.054289313938838,-15.439026978274134,-17.622627090101478,-15.223044336732997,-9.120415930567576
EBITDA,Net Income,30827000,42678000,50109000,84996000,55637000,7183000,-6771000,-31960000,-10838000,20204000,-14119000,-50918000,-87784000,-116401000,-116681000,-100691000,-61538000
EBITDA,D & A,156371000,127333000,114576000,124691000,128099000,168390000,168735000,163897000,164778000,160699000,153394000,147325000,143276000,138461000,139236000,141019000,142097000
EBITDA,Net Int Inc,-22777000,-22769000,-22842000,-22858000,-22629000,-21828000,-20291000,-18628000,-17338000,-16900000,-17392000,-17963000,-18950000,-19918000,-21202000,-22322000,-23201000
EBITDA,Tax Provision,11653000,17505000,7856000,28578000,26427000,31268000,30085000,18672000,18352000,12160000,10323000,8445000,12603000,4026000,-3532000,-6934000,-8958000
EBITDA,EBITDA,221628000,210285000,195383000,261123000,232792000,228669000,212340000,169237000,189630000,209963000,166990000,122815000,87045000,46004000,40225000,55716000,94802000
EBITDA,Stock-Based Comp,3278000,3393000,3393000,5371000,5431000,3089000,4685000,4301000,4165000,5565000,3969000,2375000,800000,-1100000,-1100000,-1100000,-1100000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,6.27,6.56,6.24,8.31,9.32,11.1,11.98,10.95,10.28,11.17,7.38,7.74,7.38,3.86,3.1,4.78,3.12
Capital Structure,O/S Shares,146994000,146907000,149770000,151039000,151446000,151914000,152234000,152369000,150580000,150550000,150791000,151764000,151425000,151331000,148495000,150110714,150170000
Capital Structure,Market Capitalization,921652379,963709920,934564800,1255134090,1411476720,1686245400,1823763320,1668440550,1547962400,1681643500,1112837580,1174653360,1117516500,584137660,460334500,717529212,468530400
Capital Structure,Cash,445196000,338033000,319743000,369987000,368030000,324120000,275066000,323849000,332191000,168370000,182651000,169182000,186604000,162268000,260595000,229744000,253515000
Capital Structure,Debt,629750000,622457000,643256000,655797000,661123000,667932000,679287000,687407000,540569000,417903000,634652000,460053000,469675000,526701000,553600000,609555000,410947000
Capital Structure,Enterprise Value,1106206379,1248133920,1258077800,1540944090,1704569720,2030057400,2227984320,2031998550,1756340400,1931176500,1564838580,1465524360,1400587500,948570660,753339500,1097340212,625962400
Capital Structure,netCommonStockIssuance,0,508000,-29705000,728000,-19431000,741000,-6012000,-4177000,-372000,-1929000,-5076000,-4983000,-377000,222000,180000,173000,-123000
Capital Structure,netDebtIssuance,0,-4649000,0,-4537000,0,-4427000,-21000,-65021000,-230732000,-34632000,0,-4116000,0,-4017000,-35000000,-3920000,0
Liquidity & Cash Flow,DSO,96.74609496590718,91.81379219700635,87.17278938793525,77.93507672635225,72.3207431029914,74.27018028005713,73.3399334332015,74.2766823495065,76.43367632555082,74.41220106939303,78.18859312905623,83.37934416104265,87.99045928301454,96.52633996073958,97.01627111246033,93.8983604661359,92.73033355663318
Liquidity & Cash Flow,DIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21582605701239216,0.23387341640154086,0.25742840263320765,0.2781376294250101,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,DPO,49.46176201233556,49.74845120126873,50.86855609086016,48.529734064778744,44.25504347688666,43.834646832671595,42.37901809126526,43.81121980782033,46.66224783636811,48.019274585002044,51.07200235750681,51.46966184662128,51.52391414301068,51.430026930649184,48.04499490819408,44.43184712297469,39.91010260338068
Liquidity & Cash Flow,CCC,47.284332953571614,42.06534099573762,36.30423329707509,29.405342661573506,28.06569962610474,30.435533447385538,30.960915341936236,30.465462541686172,29.77142848918271,26.608752541403383,27.350464187950955,32.167110717054584,36.74468276942887,45.09631303009039,48.97127620426625,49.46651334316121,52.820230953252505
Liquidity & Cash Flow,OCF,136749000,101563000,132655000,137517000,185559000,202319000,178561000,222333000,152457000,107432000,100148000,70555000,58398000,27551000,30727000,81490000,138908000
Liquidity & Cash Flow,CapEx,-16342000,-23169000,-24667000,-24186000,-23303000,-14203000,-19262000,-16528000,-12923000,-38014000,-32572000,-32881000,-33504000,-5926000,-3737000,-7616000,-8322000
Liquidity & Cash Flow,FCF,120407000,78394000,107988000,113331000,162256000,188116000,159299000,205805000,132869000,62753000,60911000,31009000,24894000,21625000,26990000,73874000,130586000
BQR,Total Debt / Adj Ebitda,2.841473099066905,2.9600637230425373,3.2922823377673596,2.51144862765823,2.8399730231279428,2.920955617070963,3.199053404916643,4.061800906421173,2.8506512682592415,1.9903649690659784,3.8005389544284087,3.7459023734885806,5.395772301683038,11.449026171637248,13.76258545680547,10.940394141718716,4.334792514925845
BQR,Adj Ebitda / Interest Expense,9.730342011678447,9.235583468751372,8.553673058401191,11.423702861142708,10.287330416721906,10.475948323254535,10.464738061209403,9.08508696585785,10.937247664090437,12.423846153846155,9.601540938362465,6.837109614206981,4.593403693931398,2.309669645546742,1.8972266767286106,2.496012902069707,4.086116977716478
BQR,Net Income before extraordinary,30827000,42678000,50109000,84996000,55637000,7183000,-6771000,-31960000,-10838000,20204000,-14119000,-50918000,-87784000,-116401000,-116681000,-100691000,-61538000
BQR,(NCO-CAPEX) / Total Debt (%),19.119809448193728,12.59428362119793,16.787717487283444,17.28141482806417,24.54248301753229,28.16394483270752,23.45091250090168,29.939322701107205,24.579470890857596,15.01616403806625,9.59754322053661,6.740310355545992,5.300260818651195,4.105745005230672,4.875361271676301,12.119332956008892,31.776847136005372
BQR,Score: Operating Leverage,45,45,48,45,45,45,45,52,45,42,52,48,65,75,75,75,55
BQR,Score: ICR,45,45,45,42,42,42,42,45,42,35,45,48,52,65,65,65,55
BQR,Score: Net Income,48,48,45,42,45,55,65,75,65,52,65,75,75,75,75,75,75
BQR,Score: FCF/Debt,48,55,52,48,42,42,42,42,42,52,58,65,75,75,75,55,35
BQR,BQR,46.5,48.25,47.8,44.55,43.8,46.3,48.8,54.2,48.8,45.95,55.7,59.0,68.05,73.5,73.5,68.5,55.0
