Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years),LTM (-17Q)
Header,Fiscal Period,2025.0-Q4,2025.0-Q3,2025.0-Q2,2025.0-Q1,2024.0-Q4,2024.0-Q3,2024.0-Q2,2024.0-Q1,2023.0-Q4,2023.0-Q3,2023.0-Q2,2023.0-Q1,2022.0-Q4,2022.0-Q3,2022.0-Q2,2022.0-Q1,2021.0-Q4,2021.0-Q3
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Header,Filing Date,2026-02-12,2025-10-30,2025-07-31,2025-05-01,2025-02-20,2024-10-31,2024-08-01,2024-05-01,2024-02-22,2023-11-02,2023-08-01,2023-05-02,2023-02-21,2022-10-25,2022-07-27,2022-04-27,2022-02-17,2021-10-26
Revenue & Margin,Segment-1,-,-,-,-,Manufacturing,-,-,-,Manufacturing,-,-,-,Manufacturing,-,-,-,Manufacturing,-
Revenue & Margin,Segment-1 %,-,-,-,-,10000.0%,-,-,-,7083.8%,-,-,-,6106.8%,-,-,-,5154.4%,-
Revenue & Margin,Segment-2,-,-,-,-,-,-,-,-,Leasing,-,-,-,Leasing,-,-,-,Leasing,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,-,-,-,2916.2%,-,-,-,3893.2%,-,-,-,4845.6%,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,2156900000.0,2175100000.0,2519800000.0,2855000000.0,3079200000.0,3247700000.0,3270200000.0,3151200000.0,2983300000.0,2776600000.0,2451900000.0,2146300000.0,1977300000.0,1628300000.0,1551500000.0,1428000000.0,1286000000.0,1043800000.0
Revenue & Margin,Rev-CoGS / Sale (%),26.55199592007047,26.29764148774769,23.815382173188347,22.61646234676007,21.6517277214861,20.71004095205838,19.72050639104642,18.63099771515613,17.668353836355713,16.826334365771086,17.402830458012154,18.482970693752037,18.596065341627472,18.503961186513543,18.201740251369642,19.77591036414566,22.752721617418352,24.717378808200806
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),16.616440261486392,16.817617580800885,15.025001984284467,14.332749562171628,13.896466614705119,13.757428333897836,13.164332456730477,12.147753236862147,10.900680454530217,9.580061946265218,9.24181247196052,9.593253506033639,9.209528144439387,9.27347540379537,8.656139220109571,9.320728291316527,11.14307931570762,11.621000191607587
Revenue & Margin,Op. Income / Rev (%),30.098752839723673,19.57611144315204,17.048972140646082,16.67600700525394,15.822291504286829,16.131416079071343,15.34156932297719,14.562706270627062,13.977809807930816,13.750630267233307,15.265712304743259,16.22326794949448,16.891721033732868,15.814039181968925,15.668707702223655,15.959383753501399,17.465007776049767,17.972791722552213
Revenue & Margin,Net Profit / Rev (%),3.1888358291993137,4.386005241138339,3.829669021350901,4.7915936952714535,4.49467394128345,5.305292976568033,4.975230872729497,3.976263010916476,3.553112325277377,2.6831376503637543,3.201598760145193,3.0377859572287194,3.039498305770495,9.99815758766812,10.89268449887206,12.46498599439776,14.152410575427682,4.598582103851313
