Category,Metric,GE,SLAB,THS,HOOD,OI,CNDT,UPS,SMG,USM,HBI,WDC,NWL,DLX,MN,VFC,GDOT,EMBC,FMC,FTRE,TTWO,CRK,MXL,IRWD,GEL,PII,AMCX,TRN,WHR,FUN,VRTV
Header,Fiscal Period,2025-Q4,2025-Q4,2025-Q3,2025-Q4,2025-Q4,2025-Q4,2025-Q4,2026-Q1,2025-Q3,2025.0-Q3,2026-Q2,2025-Q4,2025-Q4,2022-Q2,2026.0-Q3,2025-Q3,2026-Q1,2025-Q4,2025-Q3,2026-Q3,2025-Q4,2025-Q4,2025-Q3,2025-Q4,2025-Q4,2025.0-Q4,2025.0-Q4,2025-Q4,2025-Q3,2023-Q3
Header,Statement Date,2025-12-31,2026-01-31,2025-09-30,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-09-30,2025-09-30,2026-01-31,2025-12-31,2025-12-31,2022-06-30,2025-12-31,2025-09-30,2025-12-31,2025-12-31,2025-09-30,2025-12-31,2025-12-31,2025-12-31,2025-09-30,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-09-30,2023-09-30
Header,Filing Date,2026-01-29,2026-02-10,2025-11-10,2026-02-10,2026-02-12,2026-02-12,2026-01-27,2026-02-04,2025-11-07,2025-11-06,2026-01-30,2026-02-06,2026-02-13,2022-08-09,2026-01-28,2025-11-10,2026-02-05,2026-02-04,2025-11-05,2026-02-04,2026-02-11,2026-01-29,2025-11-10,2026-02-12,2026-01-27,2026-02-11,2026-02-12,2026-02-11,2025-11-07,2023-11-03
Revenue & Margin,Segment-1,Operating Segments,Industrial & Commercial,Snacking,Transaction-Based Revenues,Alcoholic Beverages,Commercial Industries segment,-,Other Segments,Service,Shipping and Handling,Cloud,Home And Commercial,Checks1,Investment Management Fees,Outdoor,Card Revenues And Other Fees,Safety,Insecticides,Clinical Services Segment,Mobile,Natural gas and Oil Sales,Broadband,Collaborative arrangements revenue,Product Sales,Wholegoods,Subscription and Circulation,Manufacturing,Refrigeration,Admission,Packaging
Revenue & Margin,Segment-1 %,9566.7%,10000.0%,10000.0%,8941.4%,6310.1%,4785.5%,-,6046.7%,7923.1%,10000.0%,8761.6%,5369.3%,4392.0%,8679.2%,5866.9%,7411.7%,8025.6%,5646.3%,10000.0%,5222.2%,5000.0%,4371.4%,9858.2%,9634.8%,7621.9%,6286.2%,10000.0%,3085.5%,5182.6%,5529.9%
Revenue & Margin,Segment-2,Capital Segment,-,Snacking And Beverages,Gold Subscription Revenues,Food And Other,Government services,-,Hawthorne,Product,-,Retail Products,Learning And Development,Merchant services,Distribution And shareholder Servicing,Active,Processing And Settlement Service,Manufacturing Facility,Herbicides,-,Console,"Natural Gas, Production",Infrastructure,"Collaborative arrangement, co-promotion agreements",Refinery Services,PG&A,Advertising,Leasing,Laundry,"Food, Merchandise and Gaming",Print Solutions
Revenue & Margin,Segment-2 %,433.3%,-,3673.9%,591.7%,2111.2%,2932.1%,-,3953.3%,2076.9%,-,654.4%,3583.5%,2400.3%,612.5%,3256.6%,1394.8%,1159.0%,3040.6%,-,3726.0%,4982.8%,3168.3%,63.1%,365.2%,2378.1%,2512.3%,2916.2%,2818.9%,3315.6%,3365.6%
Revenue & Margin,Segment-3,Insurance Revenue,-,-,Proxy Revenues,Nonalcoholic Beverage,Transportation Services,-,Other Segments,-,-,Client Devices,Outdoor And Recreation,Treasury management solutions,Custodial Services,Work,Interchange Revenues,"Product and Service, Other",Fungicides,-,P C And Other Products,Oil and Condensate,Connectivity,"Collaborative arrangement, collaboration and license agreements",-,-,License,-,Cooking,"Accommodations, Extra-Charge Products And Other",Facility Solutions
Revenue & Margin,Segment-3 %,925.3%,-,-,325.7%,1578.7%,1746.1%,-,687.6%,-,-,584.0%,1047.2%,1409.9%,471.2%,876.5%,1193.5%,815.4%,837.0%,-,1051.7%,17.2%,1667.7%,46.9%,-,-,1201.5%,-,2375.0%,1501.8%,1104.4%
Revenue & Margin,Others,Corporate Items And Eliminations,-,-,Other Revenue,Other Segments,Other Operating Segment,-,-,-,-,-,"Appliances and Cookware, Outdoor And Recreation","Data-driven marketing solutions, Other Payment Solutions, Other","Services, Other",-,-,-,Plant Health,-,-,-,Industrial and multi-market,"Collaborative arrangement, other agreements, Royalty",-,-,License,-,"Dishwashing, Product and Service, Other, Spare Parts and Warranties",-,Publishing
Revenue & Margin,Others %,500.8%,-,-,141.2%,359.5%,536.4%,-,-,-,-,-,2859.7%,1797.8%,237.1%,-,-,-,476.1%,-,-,-,792.6%,31.8%,-,-,924.3%,-,1720.6%,-,885.8%
Revenue & Margin,Revenue Total,45894000000,784764000,3336000000,4473000000,6426000000,3042000000,88661000000,3350800000,2825119000,3439885000.0,10734000000,7204000000,2133280000,144699000,9582944000.0,2012900000,1079700000,3467400000,2759900000,6559100000,2222782000,467641000,338987000,1630415000,7152000000,2311801000.0,2156900000.0,15526000000,3137510000,6091900000
Revenue & Margin,Rev-CoGS / Sale (%),36.88499586002528,58.23190156531135,17.66187050359712,81.75720992622401,17.242452536570184,18.14595660749507,18.080102863716853,30.980661334606662,74.8641030696406,42.00056106526817,42.7240544065586,33.75902276513048,53.01432535813395,43.78883060698415,53.81690637031793,29.324854687267127,63.73066592572011,37.00178808329007,17.18902858799232,55.26977786586574,92.54951677672393,56.51365042842693,91.90765427582768,14.658353854693438,18.520693512304252,37.83634491031019,26.55199592007047,15.219631585727168,73.84056146434594,24.31917792478537
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),24.929184642872706,36.02420600333349,7.428057553956835,66.33132126089872,10.364145658263306,14.990138067061142,15.250222758597353,14.921809717082487,33.50634079484793,13.054651536315895,38.08459101919136,6.246529705719045,12.343667966699169,35.54274735830932,5.600064030427393,2.5248149436136917,33.3425951653237,17.24923573859376,-0.9819196347693756,14.69256452867009,90.14617717796887,22.716998723379685,70.58146772590099,36.39613227307158,4.8042505592841165,28.16691402071372,16.616440261486392,4.701790544892439,60.759997577696964,6.845155041940938
Revenue & Margin,Op. Income / Rev (%),20.170392643918593,-8.988817020148733,-4.550359712230216,46.858931365973625,9.523809523809524,4.174884944115713,8.873123470296974,11.746448609287334,0.4844751672407428,13.054651536315895,29.76523197316937,6.2048861743475845,11.085886522163053,16.198453341073538,4.614218762000488,2.766655074767748,32.05520051866259,-54.40964411374517,-21.830501105112504,-59.32826149929106,29.056020788363412,-21.84731449979792,36.34003663857316,15.835845474925096,-0.3956935123042506,5.767018874029382,30.098752839723673,4.663145691098802,-41.40327839592543,6.262414025180978
Revenue & Margin,Net Profit / Rev (%),18.963263171656425,-8.270894179651462,-7.248201438848921,42.09702660406886,-2.007469654528478,-5.588428665351743,6.284612174462277,2.6799570251880147,5.802233463439947,9.593663741665782,35.448108813117194,-3.9561354802887285,3.9951155028875722,12.317984229331232,2.3313712362297014,-2.3319588653186942,12.920255626562934,-64.56999480879044,-36.7730714880974,-60.44884206674696,17.79801168085759,-29.227762321952095,8.421856885367285,-26.120159591269708,-6.508668903803132,3.867114859799784,3.1888358291993137,2.0481772510627336,-55.65285847694509,4.461662207193158
EBITDA,Net Income,8703000000,-64907000,-241800000,1883000000,-129000000,-170000000,5572000000,89800000,163920000,330011000.0,3805000000,-285000000,85227000,17824000,223414000.0,-46940000,139500000,-2238900000,-1014900000,-3964900000,395611000,-136681000,28549000,-425867000,-465500000,89400000.0,68780000.0,318000000,-1746114000,271800000
EBITDA,D & A,1220000000,29843000,162800000,86000000,489000000,195000000,3746000000,90900000,157860000,41697000.0,376000000,231000000,133830999,4740000,383776000.0,83801000,44300000,0,79500000,1392600000,641163000,40231000,1906000,0,285900000,275485000.0,300700000.0,246000000,471237000,40100000
EBITDA,Net Int Inc,-348000000,9583000,-78400000,1474000000,-344000000,-48000000,-997000000,-122400000,-129855000,-184361000.0,1405000000,-321000000,-122039000,-518000,-151032000.0,-4217000,-103500000,-1628300000,-90000000,-56000000,-166737000,-6671000,-30379000,-197199000,-132800000,-279397000.0,-203600000.0,-308000000,-349367000,-11000000
EBITDA,Tax Provision,1405000000,6995000,-1300000,225000000,52000000,10000000,1592000000,87300000,-57701000,-195893000.0,-328000000,-16000000,37814000,5362000,164002000.0,-10195000,56400000,352300000,5300000,-22100000,-54865000,-4213000,65016000,678000,-67900000,101358000.0,285120000.0,142000000,137273999,94100000
EBITDA,EBITDA,11676000000,-37652000,-1900000,720000000,756000000,83000000,11907000000,390400000,393934000,360176000.0,2448000000,251000000,378910999,28444000,922224000.0,30883000,343700000,-258300000,-840100000,-2538400000,1148646000,-93992000,125850000,-227990000,-114700000,745640000.0,858200000.0,1014000000,-788236001,417000000
EBITDA,Stock-Based Comp,0,59645000,18800000,305000000,25000000,19000000,73000000,60900000,19560000,0.0,210000000,46000000,11419000,0,78614000.0,14017000,19100000,17900000,59600000,136600000,15598000,32706000,13427000,-15251000,49100000,13800000.0,16600000.0,0,51208000,11700000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,308.03,131.93,20.21,113.1,14.76,1.92,99.19,57.93,51.29,6.59,187.7,3.72,22.33,12.47,18.5,13.43,11.88,13.87,8.42,256.03,23.18,17.43,1.31,15.6,63.25,9.52,26.44,72.14,22.4,168.9
