Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2026-Q2,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2
Header,Statement Date,2026-01-31,2025-10-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-04-30,2021-12-31
Header,Filing Date,2026-01-30,2025-10-31,2025-08-14,2025-05-02,2025-01-31,2024-10-31,2024-08-20,2024-04-30,2024-02-12,2023-11-07,2023-08-22,2023-05-10,2023-02-03,2022-11-02,2022-08-25,2022-05-04,2022-02-03
Revenue & Margin,Segment-1,-,-,Cloud,-,-,-,Cloud,-,-,-,Cloud,-,-,-,-,-,-
Revenue & Margin,Segment-1 %,-,-,8761.6%,-,-,-,4136.0%,-,-,-,4263.7%,-,-,-,-,-,-
Revenue & Margin,Segment-2,-,-,Retail Products,-,-,-,Client Devices,-,-,-,Client Devices,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,654.4%,-,-,-,3573.8%,-,-,-,3513.6%,-,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,Client Devices,-,-,-,Retail Products,-,-,-,Retail Products,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,584.0%,-,-,-,2290.2%,-,-,-,2222.8%,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,10734000000,12002000000,11396000000,10795000000,10253000000,9000000000,9538000000,10206000000,11257000000,11332000000,12318000000,14174000000,15752000000,17478000000,18793000000,19185000000,18941000000
Revenue & Margin,Rev-CoGS / Sale (%),42.7240544065586,39.343442759540075,37.74131274131275,38.67531264474294,36.8867648493124,30.644444444444446,21.5034598448312,11.777385851459925,8.607977258594653,8.868690434168727,15.319045299561617,22.858755467757867,26.250634840020314,29.694473051836596,31.256318842122067,31.248371123273387,31.17575629586611
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),38.08459101919136,34.27762039660057,31.826956826956827,31.875868457619266,29.06466400078026,22.177777777777777,13.48291046340952,3.821281599059377,0.8083858932219952,0.661842569714084,7.4443903231043995,15.76830816988853,19.622905027932962,23.555326696418355,25.312616399723304,25.26452958040136,25.083152948629955
Revenue & Margin,Op. Income / Rev (%),29.76523197316937,25.695717380436594,23.095823095823096,22.621584066697544,17.321759485028775,7.933333333333334,-2.327531977353743,-13.3450911228689,-17.127120902549525,-17.993293328626898,-10.431888293554149,-0.5150275151686187,4.589893346876587,10.13273829957661,12.722822327462351,13.051863434975242,13.183042078031784
Revenue & Margin,Net Profit / Rev (%),35.448108813117194,21.30478253624396,16.39171639171639,15.284854099119963,12.220813420462303,4.133333333333333,-8.450408890752778,-15.285126396237509,-20.058630185662256,-21.37310271796682,-13.88212372138334,-4.896288979822209,-0.622143219908583,5.246595720334135,7.9816953120842875,9.491790461297889,10.522147721873184
EBITDA,Net Income,3805000000,2557000000,1868000000,1650000000,1253000000,372000000,-806000000,-1560000000,-2258000000,-2422000000,-1710000000,-694000000,-98000000,917000000,1500000000,1821000000,1993000000
EBITDA,D & A,376000000,404000000,451000000,503000000,533000000,556000000,568000000,615000000,688000000,759000000,828000000,864000000,867000000,895000000,929000000,959000000,994000000
EBITDA,Net Int Inc,1405000000,267000000,-309000000,-349000000,-366000000,-378000000,-378000000,-364000000,-336000000,-310000000,-288000000,-281000000,-285000000,-290000000,-298000000,-304000000,-309000000
EBITDA,Tax Provision,-328000000,-301000000,-366000000,-408000000,286000000,167000000,80000000,12000000,59000000,101000000,155000000,380000000,574000000,586000000,623000000,387000000,202000000
EBITDA,EBITDA,2448000000,2393000000,2262000000,2094000000,2438000000,1473000000,220000000,-569000000,-1175000000,-1252000000,-439000000,831000000,1628000000,2688000000,3350000000,3471000000,3498000000
EBITDA,Stock-Based Comp,210000000,234000000,265000000,289000000,307000000,302000000,295000000,298000000,295000000,309000000,318000000,323000000,335000000,336000000,326000000,328000000,325000000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,187.7,131.31,63.29,40.62,45.87,52.46,57.25,51.56,39.57,34.48,28.66,28.46,23.84,24.6,33.87,36.56,49.27
