Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-01-29,2025-10-23,2025-07-23,2025-04-23,2025-01-29,2024-10-23,2024-07-24,2024-04-24,2024-01-31,2023-10-25,2023-07-27,2023-04-26,2023-02-01,2022-10-25,2022-07-27,2022-04-27,2022-02-02
Revenue & Margin,Segment-1,Broadband,-,-,-,Broadband,-,-,-,Broadband,-,-,-,Broadband,-,-,-,Broadband
Revenue & Margin,Segment-1 %,4371.4%,-,-,-,3240.2%,-,-,-,2935.7%,-,-,-,4402.9%,-,-,-,5518.6%
Revenue & Margin,Segment-2,Infrastructure,-,-,-,Infrastructure,-,-,-,Infrastructure,-,-,-,Connectivity,-,-,-,Connectivity
Revenue & Margin,Segment-2 %,3168.3%,-,-,-,3159.4%,-,-,-,2554.3%,-,-,-,2713.0%,-,-,-,1672.9%
Revenue & Margin,Segment-3,Connectivity,-,-,-,Industrial and multi-market,-,-,-,Industrial and multi-market,-,-,-,Industrial and multi-market,-,-,-,Industrial and multi-market
Revenue & Margin,Segment-3 %,1667.7%,-,-,-,2053.5%,-,-,-,2516.1%,-,-,-,1667.7%,-,-,-,1470.3%
Revenue & Margin,Others,Industrial and multi-market,-,-,-,Connectivity,-,-,-,Connectivity,-,-,-,Infrastructure,-,-,-,Infrastructure
Revenue & Margin,Others %,792.6%,-,-,-,1546.9%,-,-,-,1993.9%,-,-,-,1216.5%,-,-,-,1338.2%
Revenue & Margin,Revenue Total,467641000,423372000,378015000,361192000,360528000,393714000,448142000,540090000,693263000,858496000,1008696000,1104767000,1120252000,1077555000,1021599000,946966000,892398000
Revenue & Margin,Rev-CoGS / Sale (%),56.51365042842693,55.83269559630774,55.10839516950385,54.53553788566746,53.370611991301644,53.26404445866797,53.445113379241405,54.07969042196671,55.214254907589186,55.54586159982108,56.46042018606201,56.91471595368073,56.934511163559634,56.76100059857734,55.76209452045274,54.38083310277243,52.91394646783162
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),22.716998723379685,19.555851591508176,19.177281324815155,16.86499147267935,15.65842320152665,19.67087784533951,25.006136447822342,30.48232701957081,36.56693058767019,39.39645612792605,41.50804603170826,42.48841610946019,43.00434188021981,43.20391998552278,41.91018197942637,40.84074824228114,39.26331076492776
Revenue & Margin,Op. Income / Rev (%),-21.84731449979792,-29.617452264202637,-35.46023305953467,-42.903774169970546,-46.80246749212266,-41.07397755731318,-31.41861285039117,-18.949804662185933,-2.3074936928698055,7.017155583718503,12.945922260026807,15.528613725790144,16.542617196844994,15.731169174659298,13.803752744472146,11.150558731781288,8.062434026073568
Revenue & Margin,Net Profit / Rev (%),-29.227762321952095,-42.42651852271761,-55.532716955676364,-61.6298256882766,-68.01080637287534,-57.36651477976399,-42.375854081965095,-28.69688385269122,-10.55111840672299,-0.41549407335619504,6.4112477892249,9.141022496146247,11.161774315064825,11.334549048540445,10.080863430759035,7.577146381179473,4.7029464431789405
EBITDA,Net Income,-136681000,-179622000,-209922000,-222602000,-245198000,-225860000,-189904000,-154989000,-73147000,-3567000,64670000,100987000,125040000,122136000,102986000,71753000,41969000
EBITDA,D & A,40231000,39271000,40402000,40813000,46151000,50794000,55492000,60407000,62635000,64523000,65811000,66860000,71897000,77957000,83109000,85695000,84407000
EBITDA,Net Int Inc,-6671000,-6877000,-6104000,-5239000,-4488000,-3854000,-3831000,-3684000,-4649000,-5743000,-7413000,-9059000,-9523000,-9669000,-9641000,-11030000,-12918000
EBITDA,Tax Provision,-4213000,15709000,6899000,8954000,6481000,-14666000,-9642000,-7991000,9337000,23101000,40976000,53271000,49158000,39828000,35444000,15548000,5901000
EBITDA,EBITDA,-93992000,-117765000,-156517000,-167596000,-188078000,-185878000,-140223000,-98889000,3474000,89800000,178870000,230177000,255618000,249590000,231180000,184026000,145195000
EBITDA,Stock-Based Comp,32706000,13113000,13113000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,17.43,16.08,14.21,10.86,19.78,14.48,21.28,19.03,23.77,22.25,31.56,35.21,33.95,32.62,33.98,58.35,75.39
Capital Structure,O/S Shares,87243000,87186000,86626000,85271000,84485000,84074000,83477000,82349000,81681000,81249000,80446000,79471000,78649000,78436000,77858000,77192000,76755000
Capital Structure,Market Capitalization,1520645490,1401950879,1230955460,926043060,1671113300,1217391520,1776390560,1567101470,1941557370,1807790250,2538875760,2798173910,2670133550,2558582320,2645614839,4504153200,5786559450
Capital Structure,Cash,74225000,113239000,108618000,104040000,119578000,149469000,186114000,192910000,188339000,188133000,225621000,208814000,188335000,182467000,211525000,151216000,130676999
Capital Structure,Debt,157340000,145162000,147668000,148812000,149361000,152072000,153831000,155593000,157750000,158985000,161686000,153212000,155599000,207084000,285490000,325094000,339681000
Capital Structure,Enterprise Value,1603760490,1433873879,1270005460,970815060,1700896300,1219994520,1744107560,1529784470,1910968370,1778642250,2474940760,2742571910,2637397550,2583199320,2719579839,4678031200,5995563451
Capital Structure,netCommonStockIssuance,-18609000,27000,2150000,-10000,2512000,-58000,1579000,-2103000,1391000,92000,3073000,3000,1792000,81000,-2168000,-26210000,-12909000
Capital Structure,netDebtIssuance,0,0,0,0,0,0,0,0,18325000,-18325000,0,0,-50000000,-75000000,-40000000,-20000000,-20029000
Liquidity & Cash Flow,DSO,59.279786738117494,73.9576926438215,81.62374839622765,80.15095503222663,87.20949551768517,99.59477882422267,109.95826378692468,103.21611907274713,88.90117098417194,71.82795551755629,62.92719758975945,55.904766570688665,49.83418128242574,47.46908742477182,43.70902501862277,46.98580123256801,46.41295839972747
Liquidity & Cash Flow,DIO,150.97755827104643,170.16559531958586,192.74254995668753,204.0163825861376,204.77893457932808,191.83397552253732,177.44790468384522,160.83092584603102,144.18201238071006,131.7982762415594,125.13127530272189,119.34205301769776,115.75219922809373,114.20742706965083,109.94444432151597,104.89426166324844,97.65864063113554
Liquidity & Cash Flow,DPO,51.39632916994493,52.70474137931034,57.655210463355274,64.45579396397385,70.58044636908727,59.61059014379966,58.94913052647724,53.36674078972304,49.14926501612005,51.22942088948399,54.0001070171364,55.04595402863914,55.37602188449596,54.284000716855104,50.47043650179008,48.64745901601396,45.420325682123774
Liquidity & Cash Flow,CCC,158.86101583921902,191.41854658409702,216.7110878895599,219.71154365439037,221.40798372792597,231.81816420296033,228.45703794429267,210.68030412905512,183.93391834876198,152.39681086963168,134.05836587534495,120.20086555974729,110.21035862602349,107.39251377756756,103.18303283834865,103.2326038798025,98.65127334873924
Liquidity & Cash Flow,OCF,19619000,-18625000,-59480000,-72665000,-45295000,-52355000,-34416000,-1142000,25047000,129302000,203860000,296719000,388726000,335402000,357713000,262127000,168233000
Liquidity & Cash Flow,CapEx,-19817000,-19107000,-18316000,-16725000,-23446000,-21879000,-18530000,-22673000,-19809000,-35750000,-47504000,-48846000,-52437000,-48272000,-49045000,-48930000,-46757000
Liquidity & Cash Flow,FCF,7021000,-29708000,-68966000,-83992000,-62975000,-69116000,-48972000,-17722000,11593000,100494000,167860000,255050000,347473000,298535000,320341000,224303000,129057000
BQR,Total Debt / Adj Ebitda,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,45.40875071963155,1.77043429844098,0.9039302286576844,0.6656268871346833,0.6087169135193922,0.8296967025922513,1.2349251665368977,1.7665655939921532,2.339481387100107
BQR,Adj Ebitda / Interest Expense,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.7472574747257474,15.63642695455337,24.129232429515717,25.40865437686279,26.84217158458469,25.813424345847555,23.9788403692563,16.684134179510426,11.239742994271559
BQR,Net Income before extraordinary,-136681000,-179622000,-209922000,-222602000,-245198000,-225860000,-189904000,-154989000,-73147000,-3567000,64670000,100987000,125040000,122136000,102986000,71753000,41969000
BQR,(NCO-CAPEX) / Total Debt (%),4.462310919028854,-20.465411057990384,-46.70341577051223,-56.441684810364755,-42.162947489639194,-45.44952390972697,-31.834935741170504,-11.389972556606017,7.348969889064977,63.20973676761959,103.8185124253182,166.46868391509804,223.31313183246678,144.16130652295686,112.2074328347753,68.9963518243954,37.993588101777846
BQR,Score: Operating Leverage,75,75,75,75,75,75,75,75,75,42,25,25,25,25,35,42,42
BQR,Score: ICR,75,75,75,75,75,75,75,75,75,25,25,25,25,25,25,25,42
BQR,Score: Net Income,75,75,75,75,75,75,75,75,75,65,45,42,42,42,42,45,48
BQR,Score: FCF/Debt,75,75,75,75,75,75,75,75,58,15,15,15,15,15,15,15,35
BQR,BQR,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,70.75,38.45,27.5,26.75,26.75,26.75,30.25,33.45,41.75
