Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3
Header,Statement Date,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Header,Filing Date,2025-11-10,2025-07-31,2025-05-06,2025-02-14,2024-11-12,2024-08-05,2024-05-06,2024-02-16,2023-11-06,2023-08-07,2023-05-08,2023-02-13,2022-11-07,2022-08-08,2022-05-09,2022-02-15,2021-11-08
Revenue & Margin,Segment-1,-,-,-,Snacking,-,-,-,Snacking,-,-,-,Snacking,-,-,-,Meal Preparation,-
Revenue & Margin,Segment-1 %,-,-,-,10000.0%,-,-,-,10000.0%,-,-,-,10000.0%,-,-,-,6326.1%,-
Revenue & Margin,Segment-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Snacking And Beverages,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3673.9%,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,3336000000,3334800000,3325300000,3354000000,3359100000,3383300000,3398300000,3431600000,3517000000,3486600000,3493300000,3411900000,3581600000,3500400000,3693400000,3978100000,3989400000
Revenue & Margin,Rev-CoGS / Sale (%),17.66187050359712,16.86757826556315,16.587977024629357,16.35062611806798,15.578577595189188,15.653356190701388,15.728452461524881,16.788087189649143,17.06568097810634,17.082544599323125,16.414278762201928,15.196811160936722,14.345543890998435,14.47834533196206,15.21362430281042,16.196174052939845,17.57156464631273
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),7.428057553956835,6.633081444164568,6.2219950079692055,5.8765652951699465,4.789973504807835,4.646351195578282,4.655268810876026,5.839841473365194,6.2354279215240265,5.833763551884357,4.691838662582659,2.728684896978223,1.4155684610230064,1.6798080219403495,2.8591541668922944,4.273396847741385,5.677545495563242
Revenue & Margin,Op. Income / Rev (%),-4.550359712230216,4.021230658510255,3.091450395453042,3.0739415623136552,1.9261111607275758,1.965536606271983,2.966188976841362,4.280801958270194,4.970145009951663,3.8863075775827456,2.27578507428506,-0.5187725314340983,-2.9958677685950414,-2.6454119529196665,-1.7003303189473116,0.11311932832256605,1.9526745876572917
Revenue & Margin,Net Profit / Rev (%),-7.248201438848921,0.6177281995921794,0.20449282771479266,0.8020274299344066,-0.7234080557292132,-0.4078857919782461,0.7709737221551952,1.5473831448886817,0.6312197895934035,-2.162565249813572,-3.6670197234706436,-4.287933409537208,-4.243913334822426,-1.5655353673865846,-0.4602805003519792,-0.31422035645157237,1.2783877274778164
EBITDA,Net Income,-241800000,20600000,6800000,26900000,-24300000,-13800000,26200000,53100000,22200000,-75400000,-128100000,-146300000,-152000000,-54800000,-17000000,-12500000,51000000
EBITDA,D & A,162800000,157800000,151900000,147100000,145700000,145000000,143400000,141900000,141700000,139900000,140600000,142000000,159200000,162300000,180800000,197800000,197300000
EBITDA,Net Int Inc,-78400000,-70600000,-64100000,-59200000,-56000000,-50200000,-43100000,-34700000,-31000000,-38300000,-46800000,-56200000,-65700000,-64800000,-66400000,-78900000,-87000000
EBITDA,Tax Provision,-1300000,-500000,-2000000,6200000,-4300000,300000,13500000,24400000,33100000,32200000,18700000,9100000,-8300000,-11500000,-8400000,-6300000,-18700000
EBITDA,EBITDA,-1900000,248500000,220800000,239400000,173100000,181700000,226200000,254100000,228000000,135000000,78000000,61000000,64600000,160800000,221800000,257900000,316600000
EBITDA,Stock-Based Comp,18800000,18500000,19000000,19100000,21200000,16700000,17300000,18800000,13100000,13100000,12500000,9100000,13600000,13600000,12800000,13900000,14800000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,20.21,19.42,27.09,35.13,41.98,36.28,38.7,41.45,43.58,50.38,50.43,49.38,42.42,41.82,32.26,40.53,39.88
Capital Structure,O/S Shares,50500000,50300000,50300000,50800000,51900000,52300000,53800000,54800000,55900000,56400000,56100000,56100000,56100000,56000000,55800000,55800000,55800000
Capital Structure,Market Capitalization,1020605000,976826000,1362627000,1784604000,2178762000,1897444000,2082060000,2271460000,2436122000,2841432000,2829123000,2770218000,2379762000,2341920000,1800108000,2261574000,2225304000
Capital Structure,Cash,21000000,17100000,16400000,289600000,102000000,105800000,191800000,320300000,19700000,16900000,14600000,43000000,74700000,199100000,192800000,304500000,67400000
Capital Structure,Debt,1632900000,1647400000,1576600000,1568300000,1535900000,1542600000,1550000000,1601600000,1721600000,1767400000,1590800000,1592300000,2087400000,2058500000,2061700000,2057500000,2042500000
Capital Structure,Enterprise Value,2632505000,2607126000,2922827000,3063304000,3612662000,3334244000,3440260000,3552760000,4138022000,4591932000,4405323000,4319518000,4392462000,4201320000,3669008000,4014574000,4200404000
Capital Structure,netCommonStockIssuance,0,0,0,-61000000,0,-44800000,-43900000,-50000000,-50000000,0,0,0,0,0,0,0,0
Capital Structure,netDebtIssuance,-11500000,78100000,18900000,-300000,-300000,-200000,-100000,-155500000,-44300000,161400000,37800000,-500100000,-1399999,-300000,-16300000,-3900000,-24800000
Liquidity & Cash Flow,DSO,19.773568645083934,19.59735216504738,18.94535831353562,19.885099880739418,20.63726146884582,18.892981704253245,18.200055910308095,17.629895675486654,16.765922661359113,16.639921413411344,18.03684911115564,21.29942260910343,20.09915261335716,23.182671980345102,22.996561433909136,20.81631306402554,24.359866145285007
Liquidity & Cash Flow,DIO,80.77558431629532,78.35723045846409,76.92279265962432,74.52278478756772,73.558607800268,73.14197357816168,75.46494168587192,78.4229119243565,77.4004474081185,79.04440505015566,83.9091236001233,88.26026474044377,80.49440967468544,84.70862840726885,76.88719463515888,69.79647849301098,74.56171694441065
Liquidity & Cash Flow,DPO,73.1215869375273,72.1988511344371,70.82344882287198,69.13026625320786,66.21883595458071,65.67557031222623,66.48587541029401,70.27735948170198,71.4220207076248,77.70295745416811,89.08430083222028,97.65207022879656,92.31485103331377,91.95412713789419,78.47529139390069,67.40697552342672,68.38755169687386
Liquidity & Cash Flow,CCC,27.427566023851966,25.755731489074364,25.04470215028796,25.27761841509927,27.977033314533116,26.3593849701887,27.179122185886,25.77544811814117,22.744349361852812,17.98136900939889,12.861671879058648,11.907617120750643,8.278711254728833,15.937173249719763,21.408464675167323,23.205816033609793,30.534031392821802
Liquidity & Cash Flow,OCF,233700000,236900000,264700000,265800000,116600000,135300000,135800000,157300000,-26300000,-173900000,-111000000,-150700000,156600000,349100000,262900000,324900000,348000000
Liquidity & Cash Flow,CapEx,-132900000,-142600000,-137300000,-139700000,-154300000,-136200000,-135400000,-137700000,-108100000,-102700000,-104700000,-93500000,-81500000,-73200000,-76300000,-84900000,-347100000
Liquidity & Cash Flow,FCF,100800000,94300000,127400000,126100000,-38700000,-1200000,-500000,17600000,-133900000,-275000000,-211600000,-236500000,78000000,281900000,187400000,235000000,2500000
BQR,Total Debt / Adj Ebitda,999.0,6.629376257545272,7.140398550724638,6.5509607351712615,8.872905834777585,8.489818381948266,6.852343059239611,6.303030303030303,7.5508771929824565,13.091851851851851,20.394871794871793,26.10327868852459,32.31269349845201,12.801616915422885,9.295311091073039,7.977898410236525,6.451358180669614
BQR,Adj Ebitda / Interest Expense,-999.0,3.5198300283286117,3.4446177847113884,4.043918918918919,3.0910714285714285,3.6195219123505975,5.248259860788863,7.322766570605188,7.354838709677419,3.524804177545692,1.6666666666666667,1.085409252669039,0.9832572298325722,2.4814814814814814,3.3403614457831323,3.2686945500633713,3.6390804597701147
BQR,Net Income before extraordinary,-241800000,20600000,6800000,26900000,-24300000,-13800000,26200000,53100000,22200000,-75400000,-128100000,-146300000,-152000000,-54800000,-17000000,-12500000,51000000
BQR,(NCO-CAPEX) / Total Debt (%),6.173066323718538,5.72417142163409,8.080679944183686,8.04055346553593,-2.519695292662283,-0.07779074290159471,-0.03225806451612903,1.098901098901099,-7.777648698884758,-15.559579042661536,-13.30148353029922,-14.852728757143755,3.736705949985628,13.694437697352441,9.089586263762914,11.421628189550425,0.12239902080783353
BQR,Score: Operating Leverage,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: ICR,75,58,58,55,58,58,48,48,48,58,65,75,75,65,58,58,58
BQR,Score: Net Income,75,52,55,48,75,65,48,45,52,75,75,75,75,75,65,65,45
BQR,Score: FCF/Debt,65,65,58,58,75,75,75,75,75,75,75,75,75,55,58,58,75
BQR,BQR,72.5,64.2,63.2,61.0,72.45,69.95,64.2,63.45,65.2,72.45,73.5,75.0,75.0,68.5,65.7,65.7,64.95
