Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-02-10,2025-11-06,2025-07-31,2025-05-01,2025-02-18,2024-10-31,2024-08-08,2024-05-08,2024-02-27,2023-11-07,2023-08-03,2023-05-10,2023-02-27,2022-11-03,2022-08-03,2022-05-06,2022-02-24
Revenue & Margin,Segment-1,-,-,-,-,Transaction-Based Revenues,-,-,-,Transaction-Based Revenues,-,-,-,Transaction-Based Revenues,-,-,-,Transaction-Based Revenues
Revenue & Margin,Segment-1 %,-,-,-,-,8941.4%,-,-,-,8386.8%,-,-,-,8715.2%,-,-,-,8999.9%
Revenue & Margin,Segment-2,-,-,-,-,Gold Subscription Revenues,-,-,-,Gold Subscription Revenues,-,-,-,Gold Subscription Revenues,-,-,-,Gold Subscription Revenues
Revenue & Margin,Segment-2 %,-,-,-,-,591.7%,-,-,-,1613.2%,-,-,-,1284.8%,-,-,-,1000.1%
Revenue & Margin,Segment-3,-,-,-,-,Proxy Revenues,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,325.7%,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,Other Revenue,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,141.2%,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,4473000000,4204000000,3567000000,3260000000,2951000000,2408000000,2238000000,2042000000,1865000000,1774000000,1668000000,1500000000,1358000000,1340713000,1344713000,1591713000,1814713000
Revenue & Margin,Rev-CoGS / Sale (%),81.75720992622401,84.5861084681256,86.65545276142417,83.9877300613497,82.92104371399526,80.77242524916943,80.6970509383378,78.89324191968659,76.99731903485255,72.88613303269447,68.34532374100719,63.46666666666667,57.2901325478645,58.36506396223502,58.34018113902372,66.12423219512563,72.98718860778536
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),66.33132126089872,66.36536631779258,69.6103167928231,68.31288343558283,67.26533378515758,59.800664451827245,54.78105451295799,51.02840352595494,20.37533512064343,8.680947012401354,3.9568345323741005,-11.933333333333334,2.72459499263623,-10.235001823656518,-61.44225570809533,-33.374232666316104,-13.457885627093653
Revenue & Margin,Op. Income / Rev (%),46.858931365973625,47.66888677450047,42.61283992150267,38.95705521472393,35.85225347339885,22.00996677740864,13.672922252010725,6.709108716944172,-28.09651474530831,-41.37542277339346,-47.24220623501199,-73.33333333333333,-72.01767304860088,-95.58235058509912,-185.72624790568696,-134.53964376743798,-93.92587147389146
Revenue & Margin,Net Profit / Rev (%),42.09702660406886,52.188392007611796,50.12615643397813,48.77300613496933,47.814300237207725,21.802325581395348,12.957998212689903,6.219392752203722,-29.008042895442358,-41.5445321307779,-49.58033573141487,-76.46666666666667,-75.69955817378498,-95.86443929461413,-180.50446452142577,-165.4988682004859,-203.1873359589092
EBITDA,Net Income,1883000000,2194000000,1788000000,1590000000,1411000000,525000000,290000000,127000000,-541000000,-737000000,-827000000,-1147000000,-1028000000,-1285267000,-2427267000,-2634267000,-3687267000
EBITDA,D & A,86000000,85000000,83000000,80000000,77000000,72000000,71000000,68000000,71000000,71000000,67000000,69000000,61000000,53761000,45801000,33674000,25495000
EBITDA,Net Int Inc,1474000000,1359000000,1190000000,1125000000,1093000000,1027000000,1004000000,959000000,919000000,856000000,737000000,571000000,418000000,314351000,249756000,249465000,256962000
EBITDA,Tax Provision,225000000,-189000000,-264000000,-317000000,-347000000,10000000,17000000,11000000,8000000,7000000,-2000000,2000000,1000000,5958000,-45042000,-8042000,2958000
EBITDA,EBITDA,720000000,731000000,417000000,228000000,48000000,-420000000,-626000000,-753000000,-1381000000,-1515000000,-1499000000,-1647000000,-1384000000,-1539899000,-2676264000,-2858100000,-3915776000
EBITDA,Stock-Based Comp,305000000,306000000,307000000,315000000,304000000,308000000,312000000,335000000,871000000,950000000,977000000,1032000000,654000000,811802000,1944252000,1781390000,1570386000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,113.1,143.18,93.63,41.62,37.26,23.42,22.79,19.41,12.74,9.81,9.98,9.71,8.14,10.1,8.22,13.51,17.76
Capital Structure,O/S Shares,897877147,889261220,882149402,884577603,883884676,884108545,881076624,875319407,867298537,895108790,904984863,896492800,889239632,882356575,874873301,867769168,863912613
Capital Structure,Market Capitalization,101549905325,127324421479,82595648509,36816119836,32933543027,20705822123,20079736260,16989949689,11049383361,8781017229,9031748932,8704945088,7238410604,8911801407,7191458534,11723561459,15343088006
Capital Structure,Cash,4261000000,4331000000,4162000000,4416000000,4332000000,4611000000,4524000000,4717000000,4835000000,4889000000,5829000000,5459000000,6339000000,6187000000,5962000000,6191000000,6253000000
Capital Structure,Debt,0,15666000000,12640000000,9098000000,7463000000,7306000000,5091000000,4215000000,3547000000,3245000000,2982000000,2609000000,1834000000,1583000000,1521000000,2334000000,3651000000
Capital Structure,Enterprise Value,97288905325,138659421479,91073648509,41498119836,36064543027,23400822123,20646736260,16487949689,9761383361,7137017229,6184748932,5854945088,2733410604,4307801407,2750458534,7866561459,12741088006
Capital Structure,netCommonStockIssuance,0,-107000000,-124000000,-322000000,-160000000,0,-59000000,0,0,0,0,0,0,0,0,-3000000,-5148000
Capital Structure,netDebtIssuance,0,141000000,80000000,24000000,37000000,78000000,0,17000000,0,0,0,0,0,0,0,0,0
Liquidity & Cash Flow,DSO,1068.1329644533869,934.9652117031399,866.9133725820018,812.236963190184,745.0279566248729,718.7832225913621,695.1798480786416,683.3025220372184,687.1883378016086,707.5218432919955,771.8502697841726,907.2683333333333,1141.5657216494844,1389.937667494833,1528.5403902170947,1371.513160664014,1213.2099655703132
Liquidity & Cash Flow,DIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,DPO,121.5548406862745,208.97376543209876,292.9201680672269,270.07902298850576,285.5183531746032,308.2397408207343,315.5729166666667,284.5475638051044,254.3939393939394,189.13981288981287,142.92376893939394,138.87317518248176,138.44827586206895,154.80647790686217,159.81589552038986,174.47643753303473,188.60747034403974
Liquidity & Cash Flow,CCC,946.5781237671124,725.9914462710411,573.9932045147749,542.1579402016782,459.5096034502697,410.5434817706278,379.6069314119749,398.754958232114,432.7943984076692,518.3820304021826,628.9265008447787,768.3951581508516,1003.1174457874155,1235.1311895879708,1368.7244946967048,1197.0367231309795,1024.6024952262735
Liquidity & Cash Flow,OCF,1638000000,1175000000,4563000000,1108000000,-157000000,2203000000,-586000000,-270000000,1181000000,402000000,1172000000,-461000000,-852000000,-1308632000,-2109894000,1434423000,-884773000
Liquidity & Cash Flow,CapEx,-15000000,-17000000,-21000000,-20000000,-20000000,-17000000,-11000000,-8000000,-11000000,-20000000,-25000000,-33000000,-49000000,-63927000,-88791000,-93291000,-83653000
Liquidity & Cash Flow,FCF,1595000000,1119000000,4500000000,1056000000,-207000000,2162000000,-614000000,-295000000,1160000000,377000000,1139000000,-502000000,-909000000,-1380559000,-2198685000,1341132000,-968426000
BQR,Total Debt / Adj Ebitda,0.0,21.43091655266758,30.311750599520384,39.90350877192982,155.47916666666666,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
BQR,Adj Ebitda / Interest Expense,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
BQR,Net Income before extraordinary,1883000000,2194000000,1788000000,1590000000,1411000000,525000000,290000000,127000000,-541000000,-737000000,-827000000,-1147000000,-1028000000,-1285267000,-2427267000,-2634267000,-3687267000
BQR,(NCO-CAPEX) / Total Debt (%),999.0,7.142857142857143,35.60126582278481,11.6069465816663,-2.7736835052927775,29.592116068984396,-12.060498919662148,-6.998813760379597,32.703693261911475,11.617873651771957,38.19584171696848,-19.241088539670372,-49.56379498364231,-87.21156032849021,-144.5552268244576,57.46066838046273,-26.524952067926595
BQR,Score: Operating Leverage,15,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: ICR,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: Net Income,25,25,25,25,25,35,35,42,75,75,75,75,75,75,75,75,75
BQR,Score: FCF/Debt,15,58,35,58,75,42,75,75,35,58,35,75,75,75,75,15,75
BQR,BQR,26.5,58.25,52.5,58.25,62.5,56.75,65.0,66.75,65.0,70.75,65.0,75.0,75.0,75.0,75.0,60.0,75.0
