Category,Metric,BGI,BNED,BWEN,CENX,CLF,CLMT,DBI,DK,DXLG,FARM,FET,FOSL,GME,HY,ICD,JAKK,KLXE,LXU,NINE,SALM,SUMR,VREX,X
Header,Fiscal Period,2026-Q2,2026-Q2,2025-Q3,2025-Q3,2025-Q4,2025.0-Q4,2025-Q3,2025-Q3,2025-Q3,2026-Q2,2025-Q3,2025-Q3,2025-Q3,2025-Q3,2024-Q3,2025-Q3,2025-Q3,2025-Q3,2025-Q3,2025-Q3,2022-Q1,2026-Q1,2025-Q1
Header,Statement Date,2025-09-30,2025-11-30,2025-09-30,2025-09-30,2025-12-31,2025-12-31,2025-11-30,2025-09-30,2025-11-30,2025-12-31,2025-09-30,2025-10-31,2025-11-30,2025-09-30,2024-09-30,2025-09-30,2025-09-30,2025-09-30,2025-09-30,2025-09-30,2022-04-30,2026-01-31,2025-03-31
Header,Filing Date,2025-12-05,2026-01-20,2025-11-13,2025-11-06,2026-02-09,2026-01-06,2025-12-09,2025-11-07,2025-12-11,2026-02-13,2025-10-31,2025-11-13,2025-12-09,2025-11-04,2024-11-19,2025-10-31,2025-11-06,2025-10-30,2025-10-30,2025-09-30,2022-05-16,2026-02-10,2025-05-02
Revenue & Margin,Segment-1,Timepieces,Course Materials Product,Heavy Fabrications,Aluminum,Steelmaking,Specialty Products and Solutions,U.S. Retail Segment,Refining,Wholesale Segment,-,Drilling And Downhole,Watches,New Video Game Hardware,Other revenue,Dayrate drilling,ToysConsumerProductsMember,Rocky Mountains,Chemical,Service Revenue,Broadcast,United States,Medical Segment,Flat Rolled Products
Revenue & Margin,Segment-1 %,6123.5%,6980.8%,5728.1%,8476.8%,9647.0%,6675.8%,8419.8%,9260.7%,10000.0%,-,4447.3%,4394.2%,5297.6%,10000.0%,9010.5%,8267.7%,10000.0%,10000.0%,3805.6%,7690.7%,9198.7%,7172.6%,6280.8%
Revenue & Margin,Segment-2,Jewelry And Other,General Merchandise Product,Gearing,Alumina,Other businesses,Montana/Renewables,Brand Portfolio,Logistics,-,-,Completions,Traditional Watches,Software,Bolzoni,Reimbursables,HalloweenMember,-,-,Cement,Digital Media,All Other,Industrial Segment,Us Steel Europe
Revenue & Margin,Segment-2 %,3876.5%,2428.0%,2466.2%,1523.2%,353.0%,2527.6%,988.5%,739.3%,-,-,3584.4%,4272.4%,3075.0%,896.3%,442.9%,1732.3%,-,-,1805.0%,1560.5%,801.3%,2827.4%,1924.2%
Revenue & Margin,Segment-3,-,Service and Other,Industrial Solutions,-,-,Performance Brands,Canada Retail Segment,Retail Segment,-,-,Production and Infrastructure,Jewelry,Collectibles,JAPIC,Early termination,-,-,-,Tool Revenue,Publishing,-,-,Mini Mill
Revenue & Margin,Segment-3 %,-,591.3%,1805.7%,-,-,796.6%,854.3%,482.1%,-,-,1968.3%,560.3%,1627.4%,629.9%,279.1%,-,-,-,1194.4%,748.8%,-,-,1546.7%
Revenue & Margin,Others,-,-,Corporate Segment,-,-,-,Corporate Segment,-,-,-,-,"Leathers, Smartwatches, Products Other",-,Nuvera,"Mobilization, Capital modification, Other",-,-,-,"Tools, Wireline, Coiled Tubing",-,-,-,"Tubular Products, Total Reportable Segments"
