Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q)
Header,Fiscal Period,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4
Header,Statement Date,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Header,Filing Date,2025-11-05,2025-08-06,2025-05-12,2025-03-03,2024-11-08,2024-08-12,2024-05-24,2024-03-13,2023-11-13,2023-08-14,2023-03-31,2022-12-31
Revenue & Margin,Segment-1,-,-,-,Clinical Services Segment,-,-,-,Clinical Services Segment,-,-,-,-
Revenue & Margin,Segment-1 %,-,-,-,10000.0%,-,-,-,10000.0%,-,-,-,-
Revenue & Margin,Segment-2,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,2759900000,2733500000,2685600000,2696400000,2774800000,2813700000,2876400000,2908200000,2635400000,2683900000,2751900000,2837000000
Revenue & Margin,Rev-CoGS / Sale (%),17.18902858799232,19.00859703676605,20.21149836163241,19.81160065272215,18.487818941905722,18.292639584888228,18.564872757613685,19.892029434014166,28.193063671548913,28.335630984760986,27.599113339874272,25.534014804370813
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),-0.9819196347693756,-0.41704774099140296,-0.729818290140006,-0.982791870642338,0.054057950122531354,1.1621708071222945,3.838130997079683,5.439790935974142,8.438946649464976,10.283542605909311,10.959700570514917,10.867113147691224
Revenue & Margin,Op. Income / Rev (%),-21.830501105112504,-22.118163526614232,-24.002085195114688,-6.004302032339416,-4.216520109557446,-3.152432739808793,-0.21554721179251843,1.5576645347637714,1.8099719207710405,3.9606542717686946,5.77419237617646,6.594994712724709
Revenue & Margin,Net Profit / Rev (%),-36.7730714880974,-37.56722151088348,-29.431039618707178,-12.18291054739653,-10.93051751477584,-10.285389344990582,-4.1788346544291475,-0.23038305481053573,2.1249146239660015,4.866053131636797,6.0394636433009925,6.5632710609799085
EBITDA,Net Income,-1014900000,-1026900000,-790400000,-328500000,-303300000,-289400000,-120200000,-6700000,56000000,130600000,166200000,186200000
EBITDA,D & A,79500000,81100000,82900000,86900000,90000000,93800000,97900000,97500000,96600000,94300000,92200000,92700000
EBITDA,Net Int Inc,-90000000,-89800000,-111800000,-123800000,-136400000,-148600000,-104100000,-69700000,-35400000,-800000,-100000,-200000
EBITDA,Tax Provision,5300000,800000,7300000,-3500000,-7500000,4000000,4900000,2300000,12600000,32000000,37600000,41100000
EBITDA,EBITDA,-840100000,-855200000,-588400000,-121300000,-84400000,-43000000,86700000,162800000,200600000,257700000,296100000,320200000
EBITDA,Stock-Based Comp,59600000,50300000,42600000,43100000,58600000,56700000,51100000,42700000,33000000,28300000,25900000,25400000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,8.42,4.94,7.55,18.65,20.0,23.86,40.01,34.9,28.59,34.01,32.0,32.0
