Category,Metric,AGL,BLUE,CLGX,CUDA,DAL,EBS,FTRE,FUN,HE,IOVA,IRWD,LUV,LYLT,LYV,MPW,NFE,OSCR,QVCC,QVCD,ROOT,SNAP,UAL,VIA,WDC
Header,Fiscal Period,2025-Q3,2025-Q1,2021-Q1,2017-Q3,2025-Q4,2025-Q3,2025-Q3,2025.0-Q4,2025-Q3,2025-Q3,2025-Q3,2025-Q4,2022-Q3,0.0-0,2025.0-Q4,2025-Q3,2025-Q4,2025-Q3,2025-Q3,2025-Q3,2025-Q4,2025-Q4,2025-Q3,2026-Q2
Header,Statement Date,2025-09-30,2025-03-31,2021-03-31,2017-11-30,2025-12-31,2025-09-30,2025-09-30,2025-12-31,2025-09-30,2025-09-30,2025-09-30,2025-12-31,2022-09-30,2025-12-31,2025-12-31,2025-09-30,2025-12-31,2025-09-30,2025-09-30,2025-09-30,2025-12-31,2025-12-31,2025-09-30,2026-01-31
Header,Filing Date,2025-11-04,2025-05-14,2021-05-07,2017-11-30,2026-02-11,2025-10-30,2025-11-05,2026-01-14,2025-11-07,2025-11-06,2025-11-10,2026-02-05,2022-11-08,0,2026-02-19,2025-11-21,2026-02-13,2025-11-05,2025-11-05,2025-11-05,2026-02-05,2026-02-12,2025-11-06,2026-01-30
Revenue & Margin,Segment-1,Medical Services,Product,Property Tax Solutions,North America,Airline,Product,Clinical Services Segment,Admission,"Electric Energy Sales, Large Light And Power",UNITED STATES,Collaborative arrangements revenue,Passenger,Campaign-based loyalty programs,Concerts,-,Cargo Sales,-,Home,Home,-,Advertising Revenue,Passenger,-,Cloud
Revenue & Margin,Segment-1 %,9978.9%,7614.7%,3611.9%,4286.8%,9198.8%,8707.4%,10000.0%,5182.6%,3490.5%,9815.5%,9858.2%,9099.2%,6029.5%,6330.8%,-,9487.9%,-,4002.4%,4002.4%,-,8743.4%,9677.8%,-,8761.6%
Revenue & Margin,Segment-2,Other Operating,Other Revenue,Property Insights,UNITED STATES,Refinery,Contract Development And Manufacturing,-,"Food, Merchandise and Gaming","Electric Energy Sales, Commercial",Non-US,"Collaborative arrangement, co-promotion agreements","Product and Service, Other",Coalition loyalty program,Sponsorship and Advertising,-,Incentive Fees,-,Apparel,Apparel,-,Other Revenue,Cargo and Freight,-,Retail Products
Revenue & Margin,Segment-2 %,21.1%,2385.3%,2981.8%,4039.3%,1098.6%,1005.2%,-,3315.6%,3146.7%,184.5%,63.1%,839.9%,3674.5%,3274.0%,-,512.1%,-,1772.8%,1772.8%,-,1256.6%,322.2%,-,654.4%
Revenue & Margin,Segment-3,-,-,Valuations Solutions,EMEA,Intersegment Eliminations,Contracts and Grants,-,"Accommodations, Extra-Charge Products And Other","Electric Energy Sales, Residential",-,"Collaborative arrangement, collaboration and license agreements",Cargo and Freight,Other Revenue,Ticketing,-,Interest Income and Other Revenue,-,Beauty,Beauty,-,-,-,-,Client Devices
Revenue & Margin,Segment-3 %,-,-,1474.7%,1009.9%,-297.3%,287.5%,-,1501.8%,3144.9%,-,46.9%,60.9%,296.0%,395.2%,-,565.2%,-,1751.7%,1751.7%,-,-,-,-,584.0%
Revenue & Margin,Others,-,-,"Insurance And Spatial Solutions, Flood Data Services, Other Solutions","Asia Pacific, Other Geographic Region, Latin America",-,-,-,-,"Product and Service, Other, Electric Energy Sales, Other, Other Sales, Regulatory Revenue",-,"Collaborative arrangement, other agreements, Royalty",-,-,"Corporate Segment, Other Segments",-,-,-,"Accessories, Electronics, Jewelry, Other revenue","Accessories, Electronics, Jewelry, Other revenue",-,-,-,-,-
