Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q)
Header,Fiscal Period,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3,2021-Q2,2021-Q1
Header,Statement Date,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Header,Filing Date,2022-11-08,2022-08-11,2022-05-06,2022-02-28,2021-11-24,2021-06-30,2021-03-31
Revenue & Margin,Segment-1,-,-,-,Campaign-based loyalty programs,-,-,-
Revenue & Margin,Segment-1 %,-,-,-,6029.5%,-,-,-
Revenue & Margin,Segment-2,-,-,-,Coalition loyalty program,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,3674.5%,-,-,-
Revenue & Margin,Segment-3,-,-,-,Other Revenue,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,296.0%,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,727708000,734596000,713698000,735307000,727590000,743089000,743255000
Revenue & Margin,Rev-CoGS / Sale (%),16.406580661474106,19.099341678963675,20.795910875468334,22.03990986077924,22.90768152393518,20.952671887216738,22.0792325648667
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),13.06595502591699,15.935970247591873,17.6384128861227,19.318461540553812,20.828351131818746,18.968925660317943,20.138175996125153
Revenue & Margin,Op. Income / Rev (%),73.23088381603611,75.3420927965848,19.451084352204994,21.12940581281016,14.143817259720448,10.919957098005757,10.889129571950406
Revenue & Margin,Net Profit / Rev (%),-68.26735448833873,-64.34843097430424,-2.2833187146384044,0.23445989226268757,9.897469728830798,7.944135897584273,8.671855554284868
EBITDA,Net Income,-496787000,-472701000,-16296000,1724000,72013000,59032000,64454000
EBITDA,D & A,35097000.0,36528000.0,37063000.0,36684000.0,48636000.0,59811000.0,50391000.0
EBITDA,Net Int Inc,-67000,69000,182000,182000,249000,280000,249000
EBITDA,Tax Provision,48025000,60263000,44566000,52175000,35558000,22550000,16901000
EBITDA,EBITDA,-413598000.0,-375979000.0,65151000.0,90401000.0,155958000.0,141113000.0,131497000.0
EBITDA,Stock-Based Comp,5185000.0,5989000.0,6734000.0,6259000.0,8155000.0,7838000.0,5512000.0
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,1.21,3.57,16.53,30.07,49.08,49.08,49.08
Capital Structure,O/S Shares,24612000,24612000,24598000,24585000,24600000,24600000,24600000
Capital Structure,Market Capitalization,29780520,87864840,406604940,739270950,1207368000,1207368000,1207368000
Capital Structure,Cash,73307000.0,97403000.0,139724000.0,167601000.0,198865000.0,205715000.0,0.0
Capital Structure,Debt,714821000.0,735297000.0,752175000.0,767410000.0,116301000.0,121615000.0,0.0
Capital Structure,Enterprise Value,671294520,725758840,1019055940,1339079950,1124804000,1123268000,1207368000
Capital Structure,netCommonStockIssuance,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capital Structure,netDebtIssuance,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,DSO,132.94215193456716,137.2592060806212,142.65009149528234,104.81699480625099,103.70988468780494,65.85520711516386,33.216740889735014
Liquidity & Cash Flow,DIO,129.0927782599833,125.30631986242477,122.08427313640368,86.45259626757098,84.40457439260068,50.730347025495746,25.887805404472072
Liquidity & Cash Flow,DPO,59.169785933626606,54.089178233632225,52.47054988872732,38.82382301839001,35.01417547368946,21.849499567580082,11.788211171544505
Liquidity & Cash Flow,CCC,202.8651442609239,208.47634770941372,212.26381474295874,152.44576805543196,153.10028360671618,94.73605457307953,47.31633512266258
Liquidity & Cash Flow,OCF,14297000.0,39680000.0,54001000.0,179576000.0,208363000.0,186499000.0,185510000.0
Liquidity & Cash Flow,CapEx,-21012000.0,-19095000.0,-17363000.0,-18213000.0,-18851000.0,-19540000.0,-15229000.0
Liquidity & Cash Flow,FCF,-6715000.0,20585000.0,36638000.0,161363000.0,189512000.0,166959000.0,170281000.0
BQR,Total Debt / Adj Ebitda,999.0,999.0,11.545102914767233,8.488954768199466,0.7457200015388759,0.8618270464096149,0.0
BQR,Adj Ebitda / Interest Expense,-999,-999,-999,-999,-999,-999,-999
BQR,Net Income before extraordinary,-496787000,-472701000,-16296000,1724000,72013000,59032000,64454000
BQR,(NCO-CAPEX) / Total Debt (%),-0.9393960166251412,2.799549025767819,4.870940937946622,21.026960816252068,162.94958770775833,137.28487439871725,999.0
BQR,Score: Operating Leverage,75,75,75,75,25,25,15
BQR,Score: ICR,75,75,75,75,75,75,75
BQR,Score: Net Income,75,75,65,58,45,45,45
BQR,Score: FCF/Debt,75,75,75,45,15,15,15
BQR,BQR,75.0,75.0,72.5,63.25,35.0,35.0,31.5
