Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years),LTM (-17Q)
Header,Fiscal Period,2025.0-Q4,2025.0-Q3,2025.0-Q2,2025.0-Q1,2024.0-Q4,2024.0-Q3,2024.0-Q2,2024.0-Q1,2023.0-Q4,2023.0-Q3,2023.0-Q2,2023.0-Q1,2022.0-Q4,2022.0-Q3,2022.0-Q2,2022.0-Q1,2021.0-Q4,2021.0-Q3
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Header,Filing Date,2026-02-19,2025-11-07,2025-08-08,2025-05-09,2025-03-03,2024-11-12,2024-08-09,2024-05-29,2024-02-29,2023-11-09,2023-08-09,2023-05-10,2023-03-01,2022-11-09,2022-08-09,2022-05-10,2022-03-01,2021-11-09
Revenue & Margin,Segment-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-1 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,972022000.0,936947000.0,925252000.0,951453000.0,998970000.0,641320000.0,722069000.0,805128000.0,895375000.0,1405438000.0,1462684000.0,1528076000.0,1583651000.0,1612159000.0,1646309000.0,1620429000.0,1573157000.0,1156969000.0
Revenue & Margin,Rev-CoGS / Sale (%),55.66530387172307,81.81530011836315,89.25816966620985,96.90242187475366,97.27168984053574,96.76089939499781,96.91691514245868,95.12189366162896,95.35758760295965,96.72927585564072,96.73545345406116,97.1068847360995,97.11445261613828,97.15716625965553,97.28519980149535,97.39309775374298,97.5146790816174,97.29768040457436
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),70.05952540168843,67.47820314276048,74.85971389416073,81.94088410042325,83.87899536522619,75.64039792927088,77.95266103377932,78.07963454258204,79.09758481083345,85.46367751547916,85.96484271380558,86.58424057442168,86.98002274491033,87.4852294345657,87.85185527139802,88.07525661414354,88.25698897185723,88.02241028065575
Revenue & Margin,Op. Income / Rev (%),38.13339615770013,60.586457931985485,45.73824212214618,42.875685924580615,45.5694365196152,3.9139587101602946,6.338452419367124,26.551927146987808,41.205305039787795,66.82301175861191,85.96484271380558,86.58424057442168,86.98002274491033,87.4852294345657,87.85185527139802,88.07525661414354,88.25698897185723,88.02241028065575
Revenue & Margin,Net Profit / Rev (%),-20.442027032309966,-75.50416405623798,-154.64619368561213,-173.72597490364737,-241.27561388229876,-414.98253601945987,-241.45794930955353,-181.94560368040857,-62.150048973893625,-2.3485206035413873,4.927653478126513,19.875320272028354,56.994691380866115,77.51139930986956,72.82660788466806,69.35934866630997,41.70092368403154,38.850219841672505
