Category,Metric,BE,BJRI,BYD,CZR,FNKO,MCS,MEC,MG,MMI,MRCY,MSGS,NTNX,PLAN,PLTR,RP,RUTH,SCHL,SP,WLFC,WWW
Header,Fiscal Period,2025-Q4,2025-Q4,2025-Q4,2025-Q4,2025-Q3,2025-Q4,2025-Q4,2025-Q4,2025-Q4,2026-Q2,2026-Q2,2026-Q2,2022-Q1,2025-Q4,2020-Q4,2023-Q1,2026-Q2,2024-Q1,2025-Q3,2025-Q4
Header,Statement Date,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-09-30,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2026-01-31,2022-04-30,2025-12-31,2020-12-31,2023-03-31,2025-11-30,2024-03-31,2025-09-30,2026-01-31
Header,Filing Date,2026-02-09,2026-03-02,2026-02-20,2026-02-17,2025-11-06,2026-02-27,2026-03-04,2026-03-04,2026-02-26,2026-02-03,2026-02-06,2026-03-02,2022-06-02,2026-02-17,2021-03-01,2023-05-05,2025-12-19,2024-05-02,2025-11-04,2026-02-27
Revenue & Margin,Segment-1,Product,-,Casino,Casino,UNITED STATES,Admission,Fabrication,Oil & Gas,Real Estate Brokerage Commissions,C4I Applications,Event-related,Subscription and Circulation,Subscription and Circulation,Government Operating Segment,On Demand,Franchisor Owned Outlet,Childrens Book Publishing And Distribution,Reimbursed Management Type Contract,Spare Parts And Equipment Sales,Active Group
Revenue & Margin,Segment-1 %,7558.6%,-,7796.7%,6439.3%,6496.0%,3070.5%,5017.0%,5741.5%,8376.0%,4365.7%,4450.8%,9385.5%,9059.4%,5367.7%,4928.5%,9963.5%,5971.0%,3373.1%,4491.6%,7511.1%
Revenue & Margin,Segment-2,Service,-,Food and Beverage,"Hotel, Owned",Europe,Concessions,Performance Structures,Aerospace and Defense,Financing Fees,Radar End User Applications,Local Media Rights,Professional Services,Technology Service,Commercial,Resident Services,Opening Closing And Development Fee Income,Education Solutions,Lease And Management Type Contracts,Maintenance Services,Work Group
Revenue & Margin,Segment-2 %,1126.9%,-,916.9%,1892.8%,2703.2%,2756.6%,2992.4%,1192.6%,1376.1%,1861.1%,2747.9%,469.3%,940.6%,4632.3%,2279.6%,36.5%,1919.1%,3313.4%,4004.1%,2252.6%
Revenue & Margin,Segment-3,Installation,-,Occupancy,Food and Beverage,Non-US,Occupancy,Tubes,Industrials,Other Revenues,Other End User Applications,"Sponsorship, signage and suite licenses",Other Non Subscription Product,-,-,Property Management,-,International Segment,Management Type Contracts,Managed Services And Other Revenue,Other Segments
Revenue & Margin,Segment-3 %,1016.6%,-,565.3%,1668.0%,800.8%,1595.9%,1266.9%,982.2%,247.9%,1626.8%,2215.0%,145.1%,-,-,1093.5%,-,1732.0%,2213.5%,1504.3%,236.4%
Revenue & Margin,Others,Electricity,-,"Product and Service, Other, Management Fee",-,-,"Product and Service, Other, Food and Beverage","Tank, Outdoor Sports","Other Process Industries, Power Generation And Transmission, Infrastructure, Research and Engineering, Other Products and Services, Petrochemical",-,"Other Sensor And Effector Applications, Electronic Warfare End User Applications",League Distribution,Hardware,-,-,"Leasing And Marketing, Asset Optimization, Technology Service",-,Entertainment Segment,Lease Type Contracts,"Other Revenue, Asset Transition Fees",Other Segments
Revenue & Margin,Others %,297.9%,-,721.1%,-,-,2577.1%,723.7%,2083.7%,-,2146.3%,586.4%,35.3%,-,-,1698.4%,-,377.9%,1100.0%,192.0%,285.3%
Revenue & Margin,Revenue Total,2023994000,1399126000,4091989000,11486000000,928842000,758458000,546487000,724024000,755156000,942545000,1071032000,2685651000,631510000,4475446000,1158484000,516583000,1620400000,1808400000,686060000,1874300000
Revenue & Margin,Rev-CoGS / Sale (%),30.88818445113968,74.7490218893795,42.14314847864938,43.940449242556156,37.63148091925214,102.57047852353062,8.263142581616762,28.246439344552115,37.696846744248866,28.158867746367548,25.859544812853397,87.13678731897778,73.06725150828966,82.36651721415028,56.729829673953205,26.050218454730413,51.993334979017526,13.171864631718647,76.88292569163046,47.30832844261858
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),14.652711421081289,68.24460413143633,28.145310263541763,26.467003308375414,0.32244450617004833,87.33522489050152,-0.205494366746144,8.592947195120605,-0.2135982498980343,10.24959020524219,0.4221162392907028,36.611272276256294,-7.472407404474988,44.05576561531521,25.41951377835171,15.54038750791257,2.0982473463342384,5.90577305905773,48.00163251027607,8.365789894894093
Revenue & Margin,Op. Income / Rev (%),5.463306709407241,3.309923480801586,21.427257013642997,17.77816472227059,-4.962307905973244,2.2498279403737587,0.3478582290155118,7.5921516413820544,-1.815651335618071,-1.401418499912471,0.4221162392907028,8.015710157425518,-34.94687336700923,31.59495165398041,8.870817378574067,10.44672395336277,2.0982473463342384,4.921477549214775,17.431565752266565,8.01365843248146
Revenue & Margin,Net Profit / Rev (%),-4.369331134380833,3.488463512221201,45.01964692475957,-4.370538046317256,-7.393830167025178,1.6732633843930713,-1.4840243226279857,2.325475398605571,-0.25279544888738226,-3.2263711546928793,-1.5463590256873743,9.946601401298977,-32.36084939272537,36.30996776634105,3.997810932218313,7.656078500453944,-0.20982473463342383,1.6755142667551428,17.874675684342478,5.111241530171264
EBITDA,Net Income,-88435000,48808000,1842199000,-502000000,-68677000,12691000,-8110000,16837000,-1909000,-30410000,-16562000,267131000,-204362000,1625033000,46314000,39550000,-3400000,30300000,122631000,95800000
EBITDA,D & A,50566000,77243000,302710000,1417000000,60493000,16835000,38161000,23360000,12098000,77098000,3246000,72696000,28722000,26145000,152351000,23853000,61600000,18900769.400000002,106890000,25900000
EBITDA,Net Int Inc,-19818000,-4745000,-152816000,-2304000000,-18194000,-11472000,-10215000,-14643000,-773000,-25497000,-18257000,36811000,-31000,229181000,0,-1434000,-18100000,-21900000,-125866000,-32799999
EBITDA,Tax Provision,2736000,-1575000,490769000,-11000000,4625000,-3984000,-5950000,5557000,4929000,-6586000,9678000,5690000,-10667000,25655000,4993000,7103000,2800000,13800000,50527000,20500000
EBITDA,EBITDA,-15315000,129221000,2788494000,3208000000,14635000,37014000,34316000,60397000,15891000,65599000,14619000,308706000,-186276000,1447652000,203658000,71940000,79100000,84900769.4,405914000,174999999
EBITDA,Stock-Based Comp,96593000,8115000,29531000,0,11978000,6216000,2433000,4602000,24226000,18005000,-1639000,349737000,154003000,684033000,59274000,8387000,9400000,10500000,34554000,24400000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,86.89,39.29,85.24,23.39,3.44,15.51,18.72,12.65,27.29,74.22,258.65,39.33,64.99,177.75,87.24,16.22,29.71,52.3,137.09,18.21
