Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2020-Q4,2020-Q3,2020-Q2,2020-Q1,2019-Q4,2019-Q3,2019-Q2,2019-Q1,2018-Q4,2018-Q3,2018-Q2,2018-Q1,2017-Q4,2017-Q3,2017-Q2,2017-Q1,2016-Q4
Header,Statement Date,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
Header,Filing Date,2021-02-24,2020-10-28,2020-07-29,2020-04-29,2020-02-26,2019-10-23,2019-08-07,2019-04-24,2019-02-20,2018-11-07,2018-07-25,2018-04-25,2018-02-28,2017-10-25,2017-07-26,2017-04-26,2017-02-22
Revenue & Margin,Segment-1,"Oil and Gas, Exploration and Production",-,-,-,"Oil and Gas, Exploration and Production",-,-,-,Exploration and Production,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-1 %,9864.7%,-,-,-,9844.1%,-,-,-,10000.0%,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2,"Oil and Gas, Purchased",-,-,-,"Oil and Gas, Purchased",-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,102.2%,-,-,-,90.4%,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3,"Product and Service, Other",-,-,-,"Product and Service, Other",-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,33.1%,-,-,-,65.5%,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,724400000,846100000,975800000,1151400000,1206200000,1294800000,1548100000,1784300000,1932600000,1951100000,1780400000,1631700000,1622900000,1593600000,1585900000,1535900000,1377100000
Revenue & Margin,Rev-CoGS / Sale (%),-9.469906129210381,2.9074577473111924,13.865546218487395,26.49817613340281,30.111092687779806,30.72289156626506,32.426845810994124,32.44970016252872,31.82758977543206,30.62375070473066,27.600539204673108,24.59398173683888,23.889333908435518,18.247991967871485,10.353742354499023,2.2267074679341103,-15.481809599883814
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),-29.845389287686363,-13.958160973880156,-2.223816355810617,12.619419836720514,13.148731553639529,11.777880753784368,14.727730766746333,14.532309589194641,14.255407223429579,12.905540464353441,5.453830599865199,-0.5760862903720047,-2.0395588144679277,-5.120481927710843,-9.489879563654707,-14.395468454977536,-30.012344782513978
Revenue & Margin,Op. Income / Rev (%),-29.845389287686363,-13.958160973880156,-2.223816355810617,12.619419836720514,13.148731553639529,11.777880753784368,14.727730766746333,14.532309589194641,14.255407223429579,12.905540464353441,5.453830599865199,-0.5760862903720047,-2.0395588144679277,-5.120481927710843,-9.489879563654707,-14.395468454977536,-30.012344782513978
Revenue & Margin,Net Profit / Rev (%),0.44174489232468256,2.7656305401252808,15.740930518548883,33.59388570435991,-8.066655612667882,-47.59036144578313,-44.56430463148375,-60.230902875077064,-52.34399254889786,-11.89072830710881,-13.626151426645697,8.506465649322791,16.593751925565346,-0.8973393574297189,-3.903146478340375,-19.812487792173968,-90.4073778229613
EBITDA,Net Income,3200000,23400000,153600000,386800000,-97300000,-616200000,-689900000,-1074700000,-1011600000,-232000000,-242600000,138800000,269300000,-14300000,-61900000,-304300000,-1245000000
EBITDA,D & A,133000000,133000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EBITDA,Net Int Inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EBITDA,Tax Provision,-79900000,-29800000,52000000,135300000,-43000000,-255500000,-279600000,-415500000,-317400000,-499500000,-505200000,-371700000,-312200000,2700000,-23100000,-163700000,-708200000
EBITDA,EBITDA,56300000,126600000,205600000,522100000,-140300000,-871700000,-969500000,-1490200000,-1329000000,-731500000,-747800000,-232900000,-42900000,-11600000,-85000000,-468000000,-1953200000
EBITDA,Stock-Based Comp,12400000,13900000,16000000,16100000,20800000,27000000,26900000,35900000,39100000,37200000,38100000,27600000,22400000,20100000,24200000,33600000,35600000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,2.39,0.9028,1.29,0.3345,4.5,3.7,7.05,8.11,5.63,11.46,12.26,9.79,9.57,8.57,10.1,12.71,18.41
Capital Structure,O/S Shares,242300000,242300000,242300000,239100000,237800000,237900000,238000000,237100000,236700000,236900000,237000000,240900000,241000000,240700000,240500000,240200000,240200000
Capital Structure,Market Capitalization,579097000,218748440,312567000,79978950,1070100000,880230000,1677900000,1922880999,1332621000,2714874000,2905620000,2358411000,2306370000,2062799000,2429050000,3052942000,4422082000
Capital Structure,Cash,60400000,9500000,3400000,70300000,166300000,92400000,97100000,89900000,0,0,0,0,0,782600000,178800000,338400000,443800000
