Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q)
Header,Fiscal Period,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4
Header,Statement Date,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Header,Filing Date,2025-11-12,2025-08-12,2025-05-13,2025-03-17,2024-11-13,2024-08-14,2024-05-14,2024-03-27,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Revenue & Margin,Segment-1,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-1 %,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,30913000,33768000,45263000,52295000,55080000,55929000,47258000,44756000,37952000,30502000,22511000,17200000
Revenue & Margin,Rev-CoGS / Sale (%),22.90945556885453,33.34814025112532,100.0,39.88144182044173,-2.0225127087872186,-48.45786622324733,-123.691226882221,-110.92814371257485,-85.41051854974705,-44.32496229755426,-32.23979387854827,-5.034883720930233
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),-64.71063953676448,-51.08682776593224,33.5660473234209,-21.342384549192083,-61.543209876543216,-107.57567630388529,-189.5679038469677,-175.37760300294934,-155.4727023608769,-118.87745065897317,-121.25405357380836,-106.72093023255813
Revenue & Margin,Op. Income / Rev (%),-298.47960405007603,-271.89350864724,-193.73218743786316,-169.99904388564872,-160.62817719680464,-158.21130361708595,-189.5679038469677,-175.37760300294934,-195.14650084317032,-205.04884925578654,-238.01474834525345,-259.5348837209302
Revenue & Margin,Net Profit / Rev (%),-287.05722511564716,-257.9898128405591,-172.21350772153855,-149.26474806386844,-134.26652142338418,-134.10037726403118,-163.50670785898686,-152.50469210832068,-167.54848229342326,-177.5260638646646,-224.03935853582695,-253.44767441860463
EBITDA,Net Income,-88738000,-87118000,-77949000,-78058000,-73954000,-75001000,-77270000,-68255000,-63588000,-54149000,-50433500,-43593000
EBITDA,D & A,5478000,5518000,5492000,5407000,5147000,4937000,4639000,4207000,3725000,3063000,2313000,1733000
EBITDA,Net Int Inc,10782000,12184000,13675000,14722000,15158000,15408000,15399000,15468000,13766000,10978000,7167500,3321000
EBITDA,Tax Provision,-1300000,-3172000,-5415000,-5513000,-1579000,1733000,5830000,8027000,6147000,5572000,4220000,2569000
EBITDA,EBITDA,-95342000,-96956000,-91547000,-92886000,-85544000,-83739000,-82200000,-71489000,-67482000,-56492000,-51068000,-42612000
EBITDA,Stock-Based Comp,12571000,12784000,14075000,16204000,15261000,15306000,11450000,6922000,5024000,2251000,2043000,1962000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,2.37,1.48,1.36,3.61,2.17,4.42,10.82,10.31,10.31,10.31,10.31,10.31
