Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3
Header,Statement Date,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Header,Filing Date,2025-11-12,2025-08-11,2025-05-12,2025-03-06,2024-11-07,2024-08-05,2024-05-08,2024-03-14,2023-09-30,2023-08-07,2023-05-09,2023-03-29,2022-11-09,2022-08-09,2022-05-09,2022-03-01,2021-11-09
Revenue & Margin,Segment-1,-,-,-,Collaboration Revenue,-,-,-,Collaboration Revenue,-,-,-,Collaboration Revenue,-,-,-,-,-
Revenue & Margin,Segment-1 %,-,-,-,9086.0%,-,-,-,10000.0%,-,-,-,9988.2%,-,-,-,-,-
Revenue & Margin,Segment-2,-,-,-,Grant,-,-,-,-,-,-,-,Grant,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,914.0%,-,-,-,-,-,-,-,11.8%,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,92043000,113707000,135173000,138389000,142467000,147028000,111571000,159258000,294473000,264466000,281040000,205999000,51500000,40568000,15476000,12359000,8803000
Revenue & Margin,Rev-CoGS / Sale (%),96.36908836087481,100.0,100.0,100.0,100.0,100.0,96.6469781574065,65.14523603209886,71.98724501057822,54.55824189120718,44.98078565328779,28.27586541682241,-194.18058252427184,-292.4595740485112,-977.1711036443526,-1290.565579739461,-1757.4690446438715
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),48.09708505807068,58.393942325450496,63.53783669815718,61.83005874744379,62.83349828381309,63.917757161901136,48.28315601724463,31.94690376621583,54.252512114862824,35.14742915913577,27.508895530885287,5.9111937436589495,-285.28155339805824,-404.0968250838099,-1263.6663220470405,-1641.330204709119,-2229.7966602294673
Revenue & Margin,Op. Income / Rev (%),-85.12108471040709,-63.82456664937075,-60.72440502171291,-69.130494475717,-56.53730337551855,-60.61702532850886,-110.57712129496015,-49.10585339511987,20.89121922892761,16.64713044398902,27.508895530885287,5.9111937436589495,-285.28155339805824,-404.0968250838099,-1263.6663220470405,-1641.330204709119,-2229.7966602294673
Revenue & Margin,Net Profit / Rev (%),-72.47590799952197,-52.911430254953515,-50.453862827635696,-58.48803011800071,-43.970182568594836,-48.94441875017004,-96.16835916143084,-18.66468246493112,33.731106077636994,30.35739943886927,39.59294050668944,4.538371545492939,-284.77864077669904,-407.90524551370544,-1282.6117859912122,-1647.9812282547134,-2227.8200613427243
EBITDA,Net Income,-66709000,-60164000,-68200000,-80941000,-62643000,-71962000,-107296000,-29725000,99329000,80285000,111272000,9349000,-146661000,-165479000,-198497000,-203674000,-196115000
EBITDA,D & A,3162000,3311000,3441000,3544000,3540000,3455000,3283000,2957000,2693000,2283000,1881000,1527000,1286000,1158000,1110000,1193000,1152000
EBITDA,Net Int Inc,11786000,16188000,17769000,19014000,22682000,19027000,18131000,16592000,10735000,6433000,2621000,-420000,-1969000,-2167000,-2127000,-1921000,-1419000
EBITDA,Tax Provision,0,-217000,-371000,-3000,263000,1373000,2100000,1835000,2868000,1975000,1398000,1295000,0,0,0,0,0
EBITDA,EBITDA,-75333000,-73258000,-82899000,-96414000,-81522000,-86161000,-120044000,-41525000,94155000,78110000,111930000,12591000,-143406000,-162154000,-195260000,-200560000,-193544000
EBITDA,Stock-Based Comp,27574000,31338000,34562000,37988000,37820000,37596000,36555000,34649000,32364000,32531000,31422000,30611000,31599000,29033000,29299000,28915000,24223000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,18.43,13.01,10.59,16.97,23.21,23.66,33.08,31.53,25.55,28.68,23.97,16.96,14.82,15.74,26.96,37.01,47.78
Capital Structure,O/S Shares,27188000,27129000,27107000,27000000,27062000,26967000,26879000,26628000,26574000,26563000,26555000,26508000,26467000,26425000,26375773,26345664,26338000
Capital Structure,Market Capitalization,501074840,352948290,287063130,458189999,628109020,638039220,889157320,839580840,678965700,761826840,636523350,449575680,392240940,415929500,711090840,975053024,1258429640
Capital Structure,Cash,180360000,196467000,216948000,237028000,237178000,315329000,288396000,292005000,311918000,323471000,327935000,391883000,237676000,283491000,319678000,370492000,413880000
Capital Structure,Debt,21865000,26963999,42658000,28550000,29422000,30881000,31922000,30216000,51218000,32203000,33174000,94755000,94741000,98399000,69205000,69146000,67245000
Capital Structure,Enterprise Value,342579840,183445289,112773130,249711999,420353020,353591220,632683320,577791840,418265700,470558840,341762350,152447680,249305940,230837500,460617840,673707024,911794640
Capital Structure,netCommonStockIssuance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515000
Capital Structure,netDebtIssuance,0,0,15000000,0,0,0,0,-20000000,0,0,-27364000,-3000000,-2000000,0,0,0,0
Liquidity & Cash Flow,DSO,43.32449235683322,52.92414934876481,49.16468155622794,56.25442592980656,72.63581215298981,75.36062858775199,81.90098681557035,94.86429253161538,42.22550963925386,34.53454319269774,32.318682393965275,4.7600837868145,20.10866504854369,25.462186945375667,66.25,70.52512339186018,86.13966829489947
Liquidity & Cash Flow,DIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,DPO,805.113330341113,0.0,0.0,0.0,0.0,0.0,1131.8805132317561,93.05004593849645,65.0154867256637,44.32281698813427,29.8117797136316,25.43680753429757,26.378256536174202,19.543214121962404,21.030912761018097,18.054608402187828,19.375829444753627
Liquidity & Cash Flow,CCC,-761.7888379842798,52.92414934876481,49.16468155622794,56.25442592980656,72.63581215298981,75.36062858775199,-1049.9795264161858,1.8142465931189236,-22.78997708640985,-9.788273795436531,2.506902680333674,-20.676723747483074,-6.269591487630514,5.918972823413263,45.2190872389819,52.47051498967235,66.76383885014585
Liquidity & Cash Flow,OCF,-58328000,-64941000,-89328000,-59747000,-60092000,-68734000,12215000,-18099000,142789000,132789000,45161000,31993000,-170763000,-145010000,-141132000,-135043000,-99178000
Liquidity & Cash Flow,CapEx,-318000,-217000,-545000,-648000,-1523000,-2424000,-2450000,-2901000,-5833000,-7038000,-6306000,-7726000,-5037000,-4617000,-5399000,-3406000,-2985000
Liquidity & Cash Flow,FCF,-58646000,-65158000,-89873000,-60395000,-61615000,-71158000,9765000,-21000000,136956000,125751000,38855000,24267000,-175800000,-149627000,-146531000,-138449000,-102163000
BQR,Total Debt / Adj Ebitda,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.5439753597790876,0.41227755729099985,0.29638166711337444,7.525613533476292,999.0,999.0,999.0,999.0,999.0
BQR,Adj Ebitda / Interest Expense,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,29.978571428571428,-999.0,-999.0,-999.0,-999.0,-999.0
BQR,Net Income before extraordinary,-66709000,-60164000,-68200000,-80941000,-62643000,-71962000,-107296000,-29725000,99329000,80285000,111272000,9349000,-146661000,-165479000,-198497000,-203674000,-196115000
BQR,(NCO-CAPEX) / Total Debt (%),-268.2186142236451,-241.64813238570437,-210.682638660978,-211.54115586690017,-209.4181224933723,-230.42647582656002,30.590188584675147,-69.49960285941224,267.3981803272287,390.49467440921654,117.12485681557847,25.61025803387684,-185.5585227092811,-152.06150469008833,-211.73470124990968,-200.22705579498452,-151.92653728901777
BQR,Score: Operating Leverage,75,75,75,75,75,75,75,75,25,15,15,75,75,75,75,75,75
BQR,Score: ICR,75,75,75,75,75,75,75,75,75,75,75,25,75,75,75,75,75
BQR,Score: Net Income,75,75,75,75,75,75,75,75,42,42,42,55,75,75,75,75,75
BQR,Score: FCF/Debt,75,75,75,75,75,75,35,75,15,15,15,42,75,75,75,75,75
BQR,BQR,75.0,75.0,75.0,75.0,75.0,75.0,65.0,75.0,34.25,30.75,30.75,54.25,75.0,75.0,75.0,75.0,75.0
