Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2022-Q2,2022-Q1,2021-Q4,2021-Q3,2021-Q2,2021-Q1,2020-Q4,2020-Q3,2020-Q2,2020-Q1,2019-Q4,2019-Q3,2019-Q2,2019-Q1,2018-Q4,2018-Q3,2018-Q2
Header,Statement Date,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30
Header,Filing Date,2022-07-26,2022-04-28,2022-02-25,2021-11-04,2021-08-03,2021-04-29,2021-02-25,2020-11-02,2020-08-05,2020-05-07,2020-02-28,2019-11-04,2019-08-07,2019-05-07,2019-03-08,2018-11-05,2018-08-06
Revenue & Margin,Segment-1,-,-,High Speed,-,-,-,High Speed,-,-,-,High Speed,-,-,-,High Speed,-,-
Revenue & Margin,Segment-1 %,-,-,9346.3%,-,-,-,9160.8%,-,-,-,9075.1%,-,-,-,8551.0%,-,-
Revenue & Margin,Segment-2,-,-,Network Products and Solution,-,-,-,Network Products and Solution,-,-,-,Network Products and Solution,-,-,-,Network Products and Solution,-,-
Revenue & Margin,Segment-2 %,-,-,653.7%,-,-,-,839.2%,-,-,-,924.9%,-,-,-,1449.0%,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,348628000,318632000,290290000,277871000,296527000,334688000,371163000,406326000,396320000,374839000,356804000,344552000,333908000,333320000,322540000,308307000,297680000
Revenue & Margin,Rev-CoGS / Sale (%),30.04176371375793,25.59002234552713,23.282923972579145,22.470139021344437,21.26888951090457,25.903229276221435,27.772703636946574,29.245974906848193,30.437272910779168,27.42564140871147,24.89125682447506,23.275731964986417,21.84164500401308,21.819272770910835,20.51621504309543,19.225317621721207,17.08310937919914
