Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3,2021-Q2
Header,Statement Date,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Header,Filing Date,2025-08-07,2025-05-09,2025-03-13,2024-11-07,2024-08-08,2024-05-08,2024-03-13,2023-11-09,2023-08-09,2023-05-10,2023-03-17,2022-11-09,2022-08-09,2022-05-10,2022-03-16,2021-11-12,2021-08-12
Revenue & Margin,Segment-1,-,-,Health Care,-,-,-,Health Care,-,-,-,Health Care,-,-,-,Health Care,-,-
Revenue & Margin,Segment-1 %,-,-,4902.8%,-,-,-,4834.3%,-,-,-,4643.9%,-,-,-,3837.3%,-,-
Revenue & Margin,Segment-2,-,-,Eligibility-based,-,-,-,Eligibility-based,-,-,-,Eligibility-based,-,-,-,Eligibility-based,-,-
Revenue & Margin,Segment-2 %,-,-,2563.9%,-,-,-,2778.5%,-,-,-,2613.9%,-,-,-,2391.7%,-,-
Revenue & Margin,Segment-3,-,-,Claims-based,-,-,-,Claims-based,-,-,-,Claims-based,-,-,-,Recovery,-,-
Revenue & Margin,Segment-3 %,-,-,2338.9%,-,-,-,2055.8%,-,-,-,2030.0%,-,-,-,1655.0%,-,-
Revenue & Margin,Others,-,-,Customer Care And Outsourced Services,-,-,-,"Customer Care And Outsourced Services, Recovery",-,-,-,"Customer Care And Outsourced Services, Recovery",-,-,-,"Claims-based, Customer Care And Outsourced Services",-,-
Revenue & Margin,Others %,-,-,194.4%,-,-,-,331.5%,-,-,-,712.2%,-,-,-,2116.1%,-,-
Revenue & Margin,Revenue Total,137357000,128916000,122981000,120782000,119225000,115348000,113743000,110418000,107634000,107830000,109184000,111521000,112925000,120086000,124393000,132850000,140496000
Revenue & Margin,Rev-CoGS / Sale (%),35.01969320820926,26.670079741847402,18.33616574918077,-5.713599708565846,-4.530928915915286,-5.428789402503728,-5.389342640865811,-7.096669021355213,-8.826207332255608,-1.0052860984883611,1.1155480656506447,-13.263869585100563,-10.947974319238432,-6.35461252768849,0.9293127426784465,23.211893112532934,30.910488554834302
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),-37.555421274489106,-69.68801390052437,-101.55389856969776,-86.04758987266314,-83.40951981547494,-84.51035128480771,-84.90808225561133,-88.01644659385245,-90.7046100674508,-81.98646016878419,-77.02044255568582,-88.1107594085419,-83.02855877794997,-76.12877437836218,-69.36403173812032,-46.96650357546105,-38.179022890331396
Revenue & Margin,Op. Income / Rev (%),-0.034945434160617954,-4.211269353687673,-7.724770493002985,-5.713599708565846,-4.530928915915286,-5.428789402503728,-5.389342640865811,-8.460577079823942,-10.225393463032127,-9.930446072521562,-7.698930246189918,-3.8261852027869194,-1.627628957272526,0.21068234431990407,-1.0579373437412074,-0.3394806172374859,0.9445108757544699
Revenue & Margin,Net Profit / Rev (%),-0.6443064423363936,-4.62238977318564,-8.045958318764686,-6.741070689341128,-5.315999161249738,-6.341679092832125,-6.610516691137038,-8.158995815899582,-9.187617295650073,-8.425299081888157,-5.987140973036342,-8.01463401511823,-8.119548372813815,-6.263844244957781,-8.270561848335516,-2.959729017689123,-0.19004099760847284
EBITDA,Net Income,-885000,-5959000,-9895000,-8142000,-6338000,-7315000,-7519000,-9009000,-9889000,-9085000,-6537000,-8938000,-9169000,-7522000,-10288000,-3932000,-267000
EBITDA,D & A,6605000,7023000,6931000,7053000,6287000,5709000,6713000,6722000,6821000,6635000,5702000,5896000,5789000,7050000,6996000,6345000,6992000
EBITDA,Net Int Inc,-74000,-111000,0,-1171000,-1288000,-1400000,-1734000,-1461000,-1401000,-1266000,-1007000,-6095000,-8212000,-10122000,-11313000,-7263000,-6432000
EBITDA,Tax Provision,17000,-327000,-351000,71000,-351000,-346000,-341000,-285000,111000,122000,132000,53000,55000,56000,62000,-1354000,-2989000
EBITDA,EBITDA,5811000,848000,-3315000,153000,886000,-552000,587000,-1111000,-1556000,-1062000,304000,3106000,4887000,9706000,8083000,8322000,10168000
EBITDA,Stock-Based Comp,7399000,6638000,5881000,5243000,4512000,4095000,3936000,3639000,3441000,3276000,3036000,2889000,2498000,2549000,2640000,2576000,2693000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,2.5,2.5,3.02,3.74,2.66,2.66,3.13,2.26,2.7,3.4,3.61,1.85,2.63,3.11,2.41,3.96,3.75
Capital Structure,O/S Shares,78584000,78309000,77500000,77748000,76975000,76920000,76896000,76454000,75752000,75505000,74291000,73000000,73502000,69873000,69210000,62127000,55516000
Capital Structure,Market Capitalization,196460000,195772500,234050000,290777520,204753500,204607200,240684480,172786039,204530400,256717000,268190510,135050000,193310260,217305030,166796100,246022920,208185000
Capital Structure,Cash,9076000,9981000,9292000,7775000,10424000,3788000,7333000,17308000,14982000,12335000,23384000,25591000,15973000,17432000,17347000,51323000,9949000
Capital Structure,Debt,8536000,8163000,8383000,8865000,8952000,5806000,5545000,11741000,12094000,12643000,22699000,23239000,23735000,24127000,25100000,52059000,51994000
Capital Structure,Enterprise Value,195920000,193954500,233141000,291867520,203281500,206625200,238896480,167219039,201642400,257025000,267505510,132698000,201072260,224000030,174549100,246758920,250230000
Capital Structure,netCommonStockIssuance,0,0,0,0,0,0,0,-139000,0,0,0,0,0,0,-4000,0,0
Capital Structure,netDebtIssuance,0,0,-3000000,15000,3000000,0,-7406000,-250000,-250000,-7750000,-125000,-125000,-125000,-125000,-32425000,-788000,-6787000
Liquidity & Cash Flow,DSO,49.31699876962951,57.046468242886846,68.29448248103365,80.59301054792932,76.96379744181169,78.60847175503693,80.9611800286611,84.70404508322919,93.08459687459352,100.88020495223964,103.04320001099062,102.27730651626152,99.23604162054461,91.9452829638759,87.47802328105278,78.88849266089575,76.14688318528641
Liquidity & Cash Flow,DIO,0.0,0.0,0.0,0.0,0.05930697200446131,0.12155661540991694,0.18497701734335506,0.25001268456035314,0.2524032304881588,0.20358952935343483,0.13691810384750755,0.05851535471408327,1.6044932475576272,1.573978013890085,1.6311963939401317,3.985864546675424,2.11796112003956
Liquidity & Cash Flow,DPO,3.6988684107332923,3.316637400300421,3.8523961724965394,3.2052524611733744,3.3958732858850813,3.7104781679138226,2.8660019353816124,3.318069579041724,3.282021018662387,3.33534945002479,3.5505737917492546,2.9351590889298804,2.9912182331907284,2.8507363937455468,2.7129839252821797,2.6360733435934636,3.280818601392838
Liquidity & Cash Flow,CCC,45.61813035889622,53.72983084258642,64.44208630853711,77.38775808675595,73.62723112793107,75.01955020253303,78.28015511062284,81.63598818874782,90.05497908641928,97.74844503156828,99.62954432308887,99.40066278204573,97.84931663491152,90.66852458402043,86.39623574971074,80.23828386397771,74.98402570393313
Liquidity & Cash Flow,OCF,4806000,8961000,6178000,287000,5080000,4909000,2639000,5052000,4866000,-375000,-2877000,-2552000,-6026000,-8557000,916000,4103000,6519000
Liquidity & Cash Flow,CapEx,-5247000,-4808000,-7010000,-6931000,-6314000,-6886000,-4143000,-4343000,-4335000,-3794000,-3585000,-2919000,-3401000,-3290000,-3416000,-3625000,-3453000
Liquidity & Cash Flow,FCF,-441000,4153000,-832000,-6644000,-1234000,-1977000,-1504000,709000,531000,-4169000,-6462000,-5471000,-9427000,-11847000,-2500000,478000,3066000
BQR,Total Debt / Adj Ebitda,1.468938220616073,9.62617924528302,999.0,57.94117647058823,10.103837471783295,999.0,9.44633730834753,999.0,999.0,999.0,74.66776315789474,7.481970379909852,4.856762840188255,2.485781990521327,3.105282692069776,6.255587599134824,5.113493312352478
BQR,Adj Ebitda / Interest Expense,78.52702702702703,7.63963963963964,-999.0,0.13065755764304013,0.687888198757764,-999.0,0.33852364475201846,-999.0,-999.0,-999.0,0.3018867924528302,0.5095980311730927,0.5951047247929859,0.9589014028848054,0.7144877574471846,1.1458075175547295,1.5808457711442787
BQR,Net Income before extraordinary,-885000,-5959000,-9895000,-8142000,-6338000,-7315000,-7519000,-9009000,-9889000,-9085000,-6537000,-8938000,-9169000,-7522000,-10288000,-3932000,-267000
BQR,(NCO-CAPEX) / Total Debt (%),-5.1663542642924085,50.875903466862674,-9.924847906477394,-74.94641849971799,-13.784629133154603,-34.05098174302446,-27.123534715960325,6.038667915850438,4.390606912518605,-32.97476864668196,-28.46821445878673,-23.542321098153966,-39.71771645249631,-49.102665064036145,-9.9601593625498,0.9181889778904704,5.8968342501057815
BQR,Score: Operating Leverage,35,75,75,75,75,75,75,75,75,75,75,75,58,42,45,75,58
BQR,Score: ICR,15,48,75,75,75,75,75,75,75,75,75,75,75,75,75,75,65
BQR,Score: Net Income,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
BQR,Score: FCF/Debt,75,15,75,75,75,75,75,65,75,75,75,75,75,75,75,75,65
BQR,BQR,49.5,53.45,72.5,72.5,72.5,72.5,72.5,70.0,72.5,72.5,72.5,72.5,66.55,60.95,62.0,72.5,62.55
