Category,Metric,BBBY,BGI,BIG,CLF,CLMT,CSPR,DK,FARM,FOSL,GAP,GPRO,GPS,GT,HOME,HY,ICD,KRO,LCI,MIK,NINE,NLS,PLCE,SALM,SUMR,TCS,TITN,UFI
Header,Fiscal Period,2025-Q3,2026-Q2,2024-Q2,2025-Q4,2025.0-Q4,2021-Q3,2025-Q3,2026-Q2,2025-Q3,2025-Q3,2025-Q3,2025.0-Q3,2025-Q4,2021-Q2,2025-Q3,2024-Q3,2025-Q3,2023-Q3,2020.0-Q4,2025-Q3,2023-Q1,2025-Q3,2025-Q3,2022-Q1,2024-Q2,2026-Q3,2026-Q2
Header,Statement Date,2025-09-30,2025-09-30,2024-08-31,2025-12-31,2025-12-31,2021-09-30,2025-09-30,2025-12-31,2025-10-31,2025-11-30,2025-09-30,2025-11-30,2025-12-31,2021-05-31,2025-09-30,2024-09-30,2025-09-30,2023-03-31,2021-01-31,2025-09-30,2023-06-30,2025-11-30,2025-09-30,2022-04-30,2024-09-30,2025-10-31,2025-12-31
Header,Filing Date,2025-10-27,2025-12-05,2024-09-12,2026-02-09,2026-01-06,2021-11-15,2025-11-07,2026-02-13,2025-11-13,2025-11-25,2025-11-06,2025-11-25,2026-02-10,2021-06-02,2025-11-04,2024-11-19,2025-11-06,2023-05-15,2021-03-09,2025-10-30,2023-08-09,2025-12-16,2025-09-30,2022-05-16,2024-10-30,2025-12-04,2026-02-04
Revenue & Margin,Segment-1,-,Timepieces,-,Steelmaking,Specialty Products and Solutions,North America,Refining,-,Watches,-,Subscription and Service Revenue,-,-,Gift Card Redemption,Other revenue,Dayrate drilling,-,Central Nervous System,General Crafts Product,Service Revenue,Product Sales,The Childrens Place US Member,Broadcast,United States,TCS,Sales of Equipment,Third Party Manufacturer
Revenue & Margin,Segment-1 %,-,6123.5%,-,9647.0%,6675.8%,9759.1%,9260.7%,-,4394.2%,-,10000.0%,-,-,8393.8%,10000.0%,9010.5%,-,2299.8%,4711.6%,3805.6%,9208.6%,8978.3%,7690.7%,9198.7%,9253.8%,7488.9%,4963.4%
Revenue & Margin,Segment-2,-,Jewelry And Other,-,Other businesses,Montana/Renewables,European Union,Logistics,-,Traditional Watches,-,-,-,-,Credit Card Program,Bolzoni,Reimbursables,-,Gastrointestinal,Home Decor And Seasonal Product,Cement,Other Products And Services,The Children's Place International,Digital Media,All Other,Elfa,Sales of Parts,All Other Products And Services
Revenue & Margin,Segment-2 %,-,3876.5%,-,353.0%,2527.6%,240.9%,739.3%,-,4272.4%,-,-,-,-,1606.2%,896.3%,442.9%,-,1498.2%,2301.7%,1805.0%,503.2%,1021.7%,1560.5%,801.3%,746.2%,1565.0%,3469.8%
Revenue & Margin,Segment-3,-,-,-,-,Performance Brands,-,Retail Segment,-,Jewelry,-,-,-,-,-,JAPIC,Early termination,-,Cardiovascular,Custom And Ready Made Framing,Tool Revenue,Extended Warranties And Services,-,Publishing,-,-,Service Sales,R E P R E V E Fiber
Revenue & Margin,Segment-3 %,-,-,-,-,796.6%,-,482.1%,-,560.3%,-,-,-,-,-,629.9%,279.1%,-,1332.3%,1610.5%,1194.4%,170.7%,-,748.8%,-,-,657.9%,1530.2%
Revenue & Margin,Others,-,-,-,-,-,-,-,-,"Leathers, Smartwatches, Products Other",-,-,-,-,-,Nuvera,"Mobilization, Capital modification, Other",-,"Other, Infectious Disease, Endocrinology, Migraine, Analgesic, Anti-Psychosis, Contract manufacturing revenue, Respiratory/Allergy/Cough/Cold, Urinary",Papercrafting,"Tools, Wireline, Coiled Tubing",Royalty Income,-,-,-,-,"Other Revenue, Rental Revenue",Service
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,773.0%,-,-,-,-,-,8.6%,267.6%,-,4869.7%,1376.2%,3195.0%,117.5%,-,-,-,-,288.3%,36.6%
Revenue & Margin,Revenue Total,1074337000,369338000,4514825000,18610000000,0.0,586264000,10667200000,337719000,1066179000,15279000000,650751000,15279000000.0,18280000000,2084295000,3913600000,173785000,1864200000,310669000,7219170000.0,571171000,273706000,1288160000,216775000,141847000,799372000,2545194000,571888000
Revenue & Margin,Rev-CoGS / Sale (%),22.856515227531027,37.068484694236716,35.2185079155892,-4.497581945190757,0.0,47.49634976734031,3.083283335833208,40.70158919101383,55.7391394878346,41.01053733883108,34.52626273336499,41.01053733883108,18.440919037199123,37.68842702208661,18.144419460343418,8.536985355467962,16.253620856131317,16.06500809543276,35.54301948838994,11.503385150856749,19.599862626321674,28.614768351757547,-0.21174074501210932,25.373113284031383,55.03094929519673,13.617822452826777,1.713097669473743
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),-0.12742742733425358,2.943915871099102,-10.515446335129267,-7.420741536808167,0.0,-11.31606238827559,0.7068396580170991,-1.452390893020529,2.872031807041782,41.01053733883108,8.417658981699605,41.01053733883108,3.0743982494529543,18.96396623318676,2.238348323793949,-1.4299277843312137,3.5403926617315737,-10.076962941265464,7.730140722548437,2.0354674869697513,-10.914996382980279,-0.515308657309651,-8.615845461884444,-2.984201287302516,1.7547524806973473,13.617822452826777,-7.14685392944073
Revenue & Margin,Op. Income / Rev (%),-9.007322655740237,-1.3545497620066171,-7.451252263376765,-8.242880171950565,0.0,-15.15733526192978,-2.5029998500074995,-1.7988327574107468,-3.3968966749485783,7.493945938870344,-17.548954976634686,7.493945938870344,3.0743982494529543,18.537970872645186,1.2545993458708093,-9.634893690479615,2.961055680720953,-18.20651561629902,7.288026185835768,2.034417013468821,-18.326233257582956,-0.5153862874177121,-8.61584592319225,-4.563367572102336,-2.8825127725264332,-1.5843585989908826,-8.03479002881683
Revenue & Margin,Net Profit / Rev (%),-13.497161505188782,-5.023109996805094,-10.398121743367684,-7.909725953788286,0.0,-16.243194192377494,-4.826946152692366,-5.511682789538048,-6.3120733010123065,5.569736239282676,-18.682107288348384,5.569736239282676,-9.414660831509847,12.739847286492555,0.06899018806214227,-40.364243174036886,-2.2154275292350607,-83.39808606587718,3.0983201669998075,-7.168081012516392,-19.087268821289996,-4.013321326543286,-0.6149233075769808,-5.27681234005654,-12.339061163012966,-2.42680911553304,-9.485248859916627
EBITDA,Net Income,-145005000,-18552254,-469457000,-1472000000,-69000000.0,-95228000,-514900000,-18614000,-67298000,851000000,-121574000,851000000.0,-1721000000,265536000,2700000,-70147000,-41300000,-259092000,223673000.0,-40942000,-52243000,-51698000,-1333000,-7485000,-98635000,-61767000,-54245000
EBITDA,D & A,19126000,15232000,134480000,1235000000,85000000.0,17187000,393000000,10839000,9903000,497000000,6996000,493000000.0,1056000000,71616000,46500000,48447000,62900000,26941000,194393000.0,45302000,11947000,32340000,10922000,5381000,44657000,38089000,24521000
EBITDA,Net Int Inc,3022000,-12443913,-52718000,-594000000,0.0,-8450000,-332000000,-6291000,-17859000,23000000,-6005000,16000000.0,-418000000,-29641000,-34000000,-29886000,-48900000,-60201000,0.0,-53426000,-5864000,-33418000,-4355000,-1462000,-21979000,-47021000,-7395000
EBITDA,Tax Provision,763000,0,-2016000,-579000000,-90000000.0,58000,-62200000,64000,3510000,317000000,1329000,317000000.0,1567000000,82662000,18700000,-3057000,47700000,582000,-334826000.0,-454000,1769000,8743000,-16574000,1522000,-28018000,-19737000,-906000
EBITDA,EBITDA,-128138000,9123659,-284275000,-222000000,-74000000.0,-69533000,147900000,-1420000,-36026000,1642000000,-107244000,1645000000.0,1320000000,449455000,101900000,5129000,118200000,-171368000,83240000.0,57332000,-32663000,22803000,-2630000,880000,-60017000,3606000,-23235000
EBITDA,Stock-Based Comp,10873000,-997000,8264000,0,0.0,15278000,29800000,1963000,1805000,149000000,15685000,160000000.0,-17000000,14208000,10000000,1834000,0,5970000,38198000.0,2477000,2921000,4347000,0,366000,1295000,1089000,2808000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,9.79,1.53,0.9667,13.28,19.87,4.27,32.27,1.46,2.59,22.85,2.12,20.16,8.76,31.58,36.86,0.27,5.74,1.74,15.5,0.6319,1.22,7.17,0.83348,11.71,9.34,16.4,3.44
Capital Structure,O/S Shares,60333000,19595000,29642000,492156862,86710696.0,41249097,60190054,21669663,52363000,372000000,158933000,372000000.0,288000000,65405610,17717000,14528000,115000000,10311428,147402000.0,41297925,32355000,22170000,31863215,2164746,3322940,22737000,17884615
Capital Structure,Market Capitalization,590660070,30002570,28654921,6535843127,1722941529.0,176133644,1942333042,31637707,135620170,8500200000,336937960,7499520000.0,2522880000,2065509163,653048620,3922560,660100000,17941884,2284731000.0,26096158,39473100,158958900,26557352.0,25349175.0,31036259,372886799,61523075
Capital Structure,Cash,167366000,2172000,53480000,57000000,0.0,43102000.0,630900000,4364000,83546000,2262000000,58431000,2262000000.0,801000000,150547000,71100000,6077000,27700000,46540000,1194389000.0,14389000,17326000,7253000,0,598000,66123000,48790000,30192000
Capital Structure,Debt,24772000,166973000,2344207000,8171000000,0.0,66796000.0,3656700000,75079000,339687000,8912000000,204924000,5516000000.0,7256000000,387698000,467800000,183927000,647100000,639628000,340938000.0,375907000,35956000,577698000,55947000,52006000,668579000,1051648000,112976000
Capital Structure,Enterprise Value,448066070,194803570,2319381921,14649843127,1722941529.0,199827644,4968133042,102352707,391761170,15150200000,483430960,10753520000.0,8977880000,2302660163,1049748620,181772560,1279500000,611029884,1431280000.0,387614158,58103100,729403900,82504352,76757175,633492259,1375744799,144307075
Capital Structure,netCommonStockIssuance,72561000,0,-14000,951000000,0.0,0,-15000000,0,-30000,6000000,-538000,6000000.0,-1000000,0,-100000,0,0,0,0.0,0,0,0,0,0,0,0,0
Capital Structure,netDebtIssuance,-500000,14598000,-5627000,-802000000,0.0,0,73700000,2951000,-3317000,0,0,0.0,-1856000000,0,7500000,0,33300000,0,0.0,12081000,0.0,2797000,3082000,0,14952000,-112600000,-14939000
Liquidity & Cash Flow,DSO,6.522922974820751,6.878499504518896,0.0,33.44035464803869,0.0,18.1213113887259,23.056296403929803,26.617994545761416,48.90350025652353,1.958897833627855,46.76423854899954,0.0,57.18599562363238,0.9729183009122989,47.2664554374489,58.08001985211612,65.0233344061796,81.99778944793333,0.7787224847177723,56.26394503572485,41.15261448415453,15.586794342317726,49.00286010840733,75.90217805099861,12.880239112703473,18.577048056061738,47.816386250454634
Liquidity & Cash Flow,DIO,7.13446465350919,174.47225819497567,122.23222177052494,89.34025813750192,0.0,64.25623355316591,29.797053190563247,93.71781715952103,137.80915713074802,90.27807056473982,82.57048707844467,90.27807056473982,48.816822053793004,97.4073306245895,86.70387857031372,3.5845774430792265,157.75869523443504,131.17694911029298,64.48341125005076,38.44881564968633,109.02023879850948,164.2144746643757,0.0,80.55577860489721,160.40068016802516,180.90675222437613,78.46375631347948
Liquidity & Cash Flow,DPO,39.82546052576012,79.82397312727757,40.52952863660095,36.47747724584769,0.0,65.34538757675189,64.50158633431029,70.38792307077728,102.98081691036235,60.55322866969932,59.90506570501161,60.55322866969932,97.77441478301697,30.339381231438985,52.667785234899334,45.970311231904574,45.917243146297714,37.80702082374597,43.10064542936467,29.56331966280687,50.34507066254658,47.303770573810155,40.16807912205272,83.94093154851875,59.57891131387877,7.231040610499256,20.89465273416582
Liquidity & Cash Flow,CCC,-26.16807289743018,101.52678457221698,81.70269313392399,86.30313553969293,0.0,17.032157365139923,-11.648236739817236,49.947888634505176,83.7318404769092,31.683739728668357,69.4296599224326,29.7248418950405,8.228402894408418,68.04086769406283,81.3025487728633,15.694286063290775,176.86478649431692,175.36771773448032,22.16148830540387,65.14944102260432,99.82778262011743,132.49749843288328,8.834780986354616,72.51702510737708,113.70200796684986,192.2527596699386,105.38548982976829
Liquidity & Cash Flow,OCF,-71891000,-6850856,-265941000,-462000000,-7600000.0,-38994000,-130500000,5251000,-42589000,1223000000,-61371000,814000000.0,796000000,555719000.0,110300000,36563000,-40300000,-57459000,1522185000.0,9855000,22461000,54128000,-4633000,-7633000,30800000,210370000,9202000
Liquidity & Cash Flow,CapEx,-23460000,-11033107,-57747000,-561000000,-39600000.0,-13982000,-600000000,-7991000,-1677000,-444000000,-3133000,-460000000.0,-826000000,-72322000,-56800000,-27876000,-33000000,-7059000,-208453000.0,-16559000,-10415000,-14395000,-6852000,-1100000,-33127000,-39436000,-8981000
Liquidity & Cash Flow,FCF,-95351000,-17722324,-323688000,-1023000000,-47200000.0,-52976000,-738900000,-2733000,-46048000,779000000,-64504000,354000000.0,-30000000,483397000,53500000,8687000,-62100000,-64518000,1313732000.0,-6704000,12046000,39733000,-11485000,-8733000,-2327000,170934000,221000
BQR,Total Debt / Adj Ebitda,999.0,18.30110046857297,999.0,999.0,999.0,999,24.724137931034484,999.0,999.0,5.427527405602923,999.0,3.353191489361702,5.496969696969697,0.8625958104815833,4.590775269872424,35.860206667966466,5.474619289340102,999.0,4.095843344545892,6.556669922556338,999.0,25.334298118668595,999.0,59.097727272727276,999.0,291.63838047698283,999.0
BQR,Adj Ebitda / Interest Expense,-999.0,0.7331824804625362,-999.0,-999.0,-999.0,-999,0.4454819277108434,-999.0,-999.0,-999.0,-999.0,-999.0,3.1578947368421053,15.163287338483856,2.9970588235294118,0.17161881817573446,2.4171779141104293,-999.0,-999,1.0731104705574066,-999.0,0.6823568136932192,-999.0,0.6019151846785226,-999.0,0.07668913889538717,-999.0
BQR,Net Income before extraordinary,-145005000,-18552254,-469457000,-1472000000,-69000000.0,-95228000,-514900000,-18614000,-67298000,851000000,-121574000,851000000.0,-1721000000,265536000,2700000,-70147000,-41300000,-259092000,223673000.0,-40942000,-52243000,-51698000,-1333000,-7485000,-98635000,-61767000,-54245000
