Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3,2021-Q2,2021-Q1,2020-Q4,2020-Q3,2020-Q2,2020-Q1,2019-Q4,2019-Q3
Header,Statement Date,2023-10-31,2023-07-31,2023-04-30,2023-01-31,2022-10-31,2022-07-31,2022-04-30,2022-01-31,2021-10-31,2021-07-31,2021-05-31,2021-01-31,2020-10-31,2020-08-31,2020-05-31,2020-02-29,2019-11-30
Header,Filing Date,2023-11-30,2023-08-30,2023-06-07,2023-03-14,2022-11-23,2022-09-01,2022-06-08,2022-03-15,2021-12-01,2021-09-01,2021-06-09,2021-03-09,2020-11-25,2020-08-27,2020-06-11,2020-03-16,2019-11-27
Revenue & Margin,Segment-1,-,-,-,Chico's Brand,-,-,-,Chico's Brand,-,-,-,Chico's Brand,-,-,-,Chico's Brand,-
Revenue & Margin,Segment-1 %,-,-,-,4876.5%,-,-,-,4506.5%,-,-,-,4501.1%,-,-,-,5129.0%,-
Revenue & Margin,Segment-2,-,-,-,White House Black Market,-,-,-,White House Black Market,-,-,-,White House Black Market,-,-,-,White House Black Market,-
Revenue & Margin,Segment-2 %,-,-,-,2976.6%,-,-,-,2851.8%,-,-,-,2841.6%,-,-,-,3078.3%,-
Revenue & Margin,Segment-3,-,-,-,Soma,-,-,-,Soma,-,-,-,Soma,-,-,-,Soma,-
Revenue & Margin,Segment-3 %,-,-,-,2146.9%,-,-,-,2641.6%,-,-,-,2657.4%,-,-,-,1792.7%,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,2109048000,2122254000,2135848000,2142020000,2114230000,2049542000,1962881000,1809927000,1699861000,1597633000,1431748000,1324051000,1464939000,1598229000,1800411000,2037875000,2035518000
Revenue & Margin,Rev-CoGS / Sale (%),38.94088707321976,39.216465135652946,39.65108940336578,39.14263172145918,39.107665674973866,39.21973787314434,38.40115625960004,36.68650724587235,33.298605003585585,28.71466726087906,22.494391471124807,13.90981163112297,19.265102505974653,23.53204703456138,27.768770575163117,34.441661043979636,33.85831026795145
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),5.908258133527545,6.52141543849134,7.026436338166386,6.63602580741543,7.177506704568566,6.934232135764966,6.08860139763949,3.6786566530031326,-0.7534733722345534,-6.929626516227444,-14.587553116889286,-25.875060703855063,-19.476783674951655,-13.698850415053162,-8.818097645482059,-0.5924308409495185,-1.4065707107478294
