Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2022-Q2,2022-Q1,2021-Q4,2021-Q3,2021-Q2,2021-Q1,2020-Q4,2020-Q3,2020-Q2,2020-Q1,2019-Q4,2019-Q3,2019-Q2,2019-Q1,2018-Q4,2018-Q3,2018-Q2
Header,Statement Date,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30
Header,Filing Date,2022-08-09,2022-05-06,2022-02-24,2021-11-05,2021-08-06,2021-05-07,2021-02-25,2020-11-06,2020-08-04,2020-05-08,2020-02-28,2019-11-06,2019-08-08,2019-05-08,2019-02-28,2018-11-08,2018-08-10
Revenue & Margin,Segment-1,-,-,Subscription And Circulation,-,-,-,Subscription And Circulation,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-1 %,-,-,8466.2%,-,-,-,8688.8%,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2,-,-,Professional Services,-,-,-,Professional Services,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,1533.8%,-,-,-,1311.2%,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,789432000,749906000,698977000,648595000,595307000,542727000,500569000,463436000,434082000,408894000,382421000,352279000,323281000,295691000,272098000,252648000,238389000
Revenue & Margin,Rev-CoGS / Sale (%),70.39846370555031,70.62471829802669,70.69545922111887,71.17384500343049,71.63530749680417,71.71469265394941,71.41353140126536,70.78453119740374,69.99622191198898,69.61412982337721,69.85024357971973,70.28150982601858,70.56740111543827,70.76441284990074,71.09534064932488,71.59486716696748,72.23529609168207
