Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-10-31,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-02-27,2025-11-06,2025-08-07,2025-05-08,2024-12-31,2024-09-30,2024-06-29,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-10-01,2022-07-02,2022-03-31,2021-12-31
Revenue & Margin,Segment-1,"Product and Service, Other",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-1 %,10000.0%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,6664000000,6507100000,5252400000,4836700000,4358800000,4047600000,4006200000,3142400000,2419100000,1738200000,1852800000,1973600000,2087200000,2200100000,2166300000,2121000000,2073300000
Revenue & Margin,Rev-CoGS / Sale (%),30.130552220888358,31.070676645510286,34.73459751732541,35.422912316248684,35.28035239056621,35.089929834963925,34.76611252558534,39.8994399185336,48.253482700177756,63.38741226556207,61.89011226252159,60.20470206728821,58.8731314679954,57.60647243307122,56.668051516410465,56.22347949080623,55.824048618144985
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),9.254201680672269,9.781623150097586,9.896428299444064,10.978559761821076,10.658896944113058,11.564877952366835,11.434776097049573,10.463340122199591,9.358852465793063,8.888505350362443,7.928540587219343,7.265910012160519,6.721924108853967,6.263351665833371,6.116419701795688,6.110325318246111,5.951864177880673
Revenue & Margin,Op. Income / Rev (%),8.563925570228092,9.188424951207143,9.900236082552738,10.951681931895713,10.720840598329815,11.409230161083112,11.277519844241425,10.304226069246436,8.995080815179199,8.888505350362443,7.928540587219343,7.265910012160519,6.721924108853967,6.263351665833371,6.116419701795688,6.110325318246111,5.951864177880673
Revenue & Margin,Net Profit / Rev (%),0.9018607442977191,-1.3001183322831982,-1.347955220470642,-0.9076436413256972,-0.8970358814352575,3.229074019171855,3.332334880934552,3.191827902240326,3.0011161175643832,6.788631918076171,4.636226252158894,2.1331576813944064,1.4181678804139517,-1.3953911185855188,-0.6416470479619627,0.014144271570014143,-0.15434331741667873
