Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3,2021-Q2,2021-Q1,2020-Q4,2020-Q3,2020-Q2,2020-Q1
Header,Statement Date,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Header,Filing Date,2024-04-29,2024-02-22,2023-11-03,2023-08-04,2023-05-05,2023-02-23,2022-11-08,2022-08-05,2022-05-06,2022-02-24,2021-11-05,2021-08-06,2021-05-07,2021-02-25,2020-11-06,2020-08-07,2020-05-08
Revenue & Margin,Segment-1,-,Product and Service,-,-,-,Product and Service,-,-,-,Service,-,-,-,Product,-,-,-
Revenue & Margin,Segment-1 %,-,5000.0%,-,-,-,5000.0%,-,-,-,7151.1%,-,-,-,10000.0%,-,-,-
Revenue & Margin,Segment-2,-,Service,-,-,-,Service,-,-,-,Product,-,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,3535.6%,-,-,-,3327.7%,-,-,-,2848.9%,-,-,-,-,-,-,-
Revenue & Margin,Segment-3,-,Product,-,-,-,Product,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,1464.4%,-,-,-,1672.3%,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,1631147000,1634187000,1612461000,1615404000,1667227000,1683223000,1670679000,1669781000,1666717000,1618500000,1587726000,1537972000,1450419000,1481564000,1494616000,1510081000,1542986000
Revenue & Margin,Rev-CoGS / Sale (%),36.75824435198054,36.87870482386655,37.32555392037389,36.64049364740956,35.697358548056144,34.42259284717474,32.998319844805614,32.8685019173173,33.30115430513999,33.7609514983009,34.39000180131836,35.08490401645803,35.38101748529218,36.81535188490001,37.17811130082911,36.624260552910734,35.933832192903886
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),27.969459527559444,28.93310251519563,29.27028932792793,29.058427489346318,28.573553571289334,27.464750659894737,26.023371335846086,25.908427512350425,26.35420410303609,26.766388631448873,27.46676693585669,28.061759251793923,28.194335567860048,29.88240804987162,30.379040502711064,29.739398085268277,29.120095710524918
Revenue & Margin,Op. Income / Rev (%),27.839673554866607,28.984320643843088,29.212055361338972,28.947371679158895,28.4188055975581,27.245706599779112,25.792207838848757,14.363440475128176,14.782593565674318,14.609453197405003,15.060848030453617,27.526769017901497,27.60926325427342,14.113598872542799,15.304399257066697,14.811788241822791,14.533638023935408
Revenue & Margin,Net Profit / Rev (%),12.65569565465283,16.499886487898877,18.162671841365466,18.613919490108977,18.82155219415233,13.08281790351011,11.037548206447797,0.026949641899147253,0.27989154727527227,2.140562248995984,-0.34817090606313683,1.4475556121958006,-0.7770168482348894,-13.571874046615603,-9.258833038051245,0.39481325836163755,1.426260510464774
EBITDA,Net Income,206433000,269639000,292866000,300690000,313798000,220213000,184402000,450000,4665000,34645000,-5528000,22263000,-11270000,-201076000,-138384000,5962000,22007000
