Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-02-18,2025-11-05,2025-08-06,2025-05-07,2025-02-19,2024-10-30,2024-07-31,2024-05-01,2024-02-21,2023-11-01,2023-08-03,2023-05-08,2023-02-28,2022-11-09,2022-08-10,2022-05-13,2022-03-29
Revenue & Margin,Segment-1,Reportable Segment,-,-,-,Reportable Segment,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-1 %,10000.0%,-,-,-,10000.0%,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,1635147000,1544865000,1461898000,1356469000,1263963000,1176826000,1081928000,1009538000,944285000,870559000,798189000,721411000,653560000,597783000,549768000,503563000,458605000
Revenue & Margin,Rev-CoGS / Sale (%),59.363775856238,59.45898185278325,59.60463725923423,59.49129688920277,59.21383774683277,58.858828747835275,58.061349738614766,57.640326565220924,56.407864151183176,54.77572456318297,53.045456652497094,51.373488898838524,49.976589754574945,48.9197585076859,49.633299864670185,48.859824887849186,48.29297543637771
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),24.62488082111272,23.384761775300756,22.99066008709226,21.624821503477044,19.68293375676345,17.659535054460047,14.592653115549279,14.011953982910995,12.58751330371657,12.521609678379065,11.010299565641722,6.490890768230592,3.7344696737866454,1.086180102144089,1.976106284832875,5.407069224704754,6.460243564723454
Revenue & Margin,Op. Income / Rev (%),4.752294442028759,2.2600033012593332,1.6078413131422304,-0.5086736224712839,-3.09233735481181,-5.6378767974195,-9.577254678684719,-10.507776824646522,-12.093276923810079,-12.183206422540001,-13.126715602445035,-17.456068731971094,-18.519493237040212,-19.18873571178839,-16.690131109849972,-10.787925244706223,-8.661484283860839
Revenue & Margin,Net Profit / Rev (%),4.1545500190502755,1.3588889644078932,0.9631998949311101,-0.33513482431224006,-2.925560320990409,-5.631673671383875,-9.598328169711849,-10.956100711414528,-12.479283267233939,-11.741191579203706,-12.481755574181053,-16.49863947181288,-17.445835118428302,-18.602067974499107,-16.569352890673883,-10.782364867950982,-8.450845498849773
EBITDA,Net Income,67933000,20993000,14081000,-4546000,-36978000,-66275000,-103847000,-110606000,-117840000,-102214000,-99628000,-119023000,-114019000,-111200000,-91093000,-54296000,-38756000
EBITDA,D & A,46761000,23970000,22191000,19771999,18053999,15723999,14486999,13767000,13118000,11488000,9913000,8236000,6724000,6236000,5712000,5528000,5256000
EBITDA,Net Int Inc,87000,1726000,3081000,3867000,4836000,5420000,5338000,4917000,5095000,5581000,5428000,4759000,2847000,740000,-760000,-1139000,-1116000
EBITDA,Tax Provision,3695000,9351000,7607000,9319000,6727000,11555000,9963000,6530000,5902000,51000,80000,885000,1043000,1435000,1409000,1201000,1043000
EBITDA,EBITDA,118302000,52588000,40798000,20677999,-17033001,-44416001,-84735001,-95226000,-103915000,-96256000,-95063000,-114661000,-109099000,-104269000,-83212000,-46428000,-31341000
EBITDA,Stock-Based Comp,155114000,115472000,154750000,153841000,152137000,146483000,143778000,141821000,136967000,128420000,117592000,114932999,95292999,75930999,54925999,25088000,17016000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,13.8,16.3,18.77,20.8,22.57,13.39,12.07,20.5,19.42,25.22,18.82,16.95,11.45,11.12,7.66,9.87,20.62
Capital Structure,O/S Shares,209643777,207150067,204693035,201745000,199050000,196169000,193453000,189849000,186343000,182598000,179076000,175114000,171506000,168604000,166498000,164392000,163617000
Capital Structure,Market Capitalization,2893084122,3376546092,3842088266,4196296000,4492558500,2626702910,2334977710,3891904500,3618781060,4605121560,3370210320,2968182300,1963743699,1874876479,1275374680,1622549039,3373782540
Capital Structure,Cash,542426000,476896000,515896000,493905000,368097000,324434000,185187000,285997000,323710000,223273000,227507000,244159000,300635000,376451000,429709000,444605000,403262000
Capital Structure,Debt,220257000,35491000,32365000,21247000,16286000,13684000,29818000,163536000,142990000,13498000,49308000,16797000,9195000,9835000,10659000,7952000,6147000
Capital Structure,Enterprise Value,2570915122,2935141092,3358557266,3723638000,4140747500,2315952910,2179608710,3769443500,3438061060,4395346560,3192011320,2740820300,1672303699,1508260479,856324680,1185896039,2976667540
Capital Structure,netCommonStockIssuance,2674000,-4860000,2186000,0,0,0,-1202000,0,8162000,0,-698000,0,0,-25000,-30000,0,-1077000
Capital Structure,netDebtIssuance,3077999,-450000,-2627999,0,0,-15000000,-135000000,20000000,112932000,-34000000,34000000,-17068000,-384000,0,0,0,-385000
Liquidity & Cash Flow,DSO,62.7835081494202,62.11502056814026,64.75900079896135,82.2244186929447,104.0323045453071,126.06519995309418,134.24847817969402,113.15396622019182,88.82642025447825,74.71175704346288,64.87630592503781,66.25832916326476,67.34455520533693,54.671417136318695,53.67249685321808,52.138637568685546,53.30665005832906
Liquidity & Cash Flow,DIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,DPO,16.260045721200008,15.459950359569794,14.022831260932808,15.413532688611944,11.715610584999283,16.035091705221415,17.318246331648105,17.667595413867367,16.277557854793336,10.46965486761628,8.641074506518386,6.071766577251231,7.3910900704425675,6.244825593009965,6.454396894185627,7.603723745063548,10.828123484487477
Liquidity & Cash Flow,CCC,46.52346242822019,46.655070208570464,50.73616953802855,66.81088600433276,92.31669396030782,110.03010824787276,116.9302318480459,95.48637080632446,72.54886239968491,64.2421021758466,56.235231418519426,60.18656258601353,59.953465134894365,48.42659154330873,47.21809995903245,44.534913823622,42.478526573841584
Liquidity & Cash Flow,OCF,325082000,231099000,376488000,384196000,194485000,104382000,-7303000,-108102000,-53590000,-96473000,-185366000,-147686000,-105140000,-65605000,-52637000,-41057000,-18391000
Liquidity & Cash Flow,CapEx,-29431000,-32265000,-33538000,-19016000,-5998000,-3781000,-3367000,-2938000,-2857000,-3750000,-3753000,-3671000,-3679000,-2806000,-2777000,-2563000,-1956000
Liquidity & Cash Flow,FCF,295651000,193469000,334791000,357021000,179908000,92440000,-17942000,-118312000,-61646000,-104362000,-191353000,-153591000,-110510000,-69801000,-57164000,-46018000,-22925000
BQR,Total Debt / Adj Ebitda,1.8618197494547852,0.6748878071042823,0.7932986911123094,1.0275172176959675,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
BQR,Adj Ebitda / Interest Expense,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
BQR,Net Income before extraordinary,67933000,20993000,14081000,-4546000,-36978000,-66275000,-103847000,-110606000,-117840000,-102214000,-99628000,-119023000,-114019000,-111200000,-91093000,-54296000,-38756000
BQR,(NCO-CAPEX) / Total Debt (%),134.23001312103588,545.12129835733,1034.422987795458,1680.336047441992,1104.6788652830653,675.5334697456884,-60.17170836407539,-72.34615008316212,-43.11210574166026,-773.1663950214846,-388.07698547902976,-914.3954277549562,-1201.8488308863514,-709.7203863751906,-536.2979641617412,-578.6971830985915,-372.94615259476166
BQR,Score: Operating Leverage,42,25,25,35,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: ICR,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: Net Income,45,52,55,65,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: FCF/Debt,15,15,15,15,15,15,75,75,75,75,75,75,75,75,75,75,75
BQR,BQR,40.95,36.75,37.5,43.5,60.0,60.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
