Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-02-03,2025-11-18,2025-08-05,2025-05-06,2025-02-04,2024-11-19,2024-08-06,2024-05-07,2024-02-06,2023-11-21,2023-08-08,2023-05-09,2023-02-07,2022-11-17,2022-08-05,2022-05-06,2022-02-04
Revenue & Margin,Segment-1,-,Shakes and other beverages,-,-,-,Shakes and other beverages,-,-,-,Shakes and other beverages,-,-,-,Shakes and other beverages,-,-,-
Revenue & Margin,Segment-1 %,-,8171.0%,-,-,-,8111.4%,-,-,-,7961.4%,-,-,-,7903.8%,-,-,-
Revenue & Margin,Segment-2,-,Powders,-,-,-,Powders,-,-,-,Powders,-,-,-,Powders,-,-,-
Revenue & Margin,Segment-2 %,-,1582.1%,-,-,-,1636.6%,-,-,-,1738.1%,-,-,-,1765.9%,-,-,-
Revenue & Margin,Segment-3,-,Other Products,-,-,-,Other Products,-,-,-,Other Products,-,-,-,Nutrition Bars,-,-,-
Revenue & Margin,Segment-3 %,-,246.9%,-,-,-,252.0%,-,-,-,300.6%,-,-,-,262.5%,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,Other Products,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,67.8%,-,-,-
Revenue & Margin,Revenue Total,2321000000,2316600000,2224200000,2192100000,2098700000,1996200000,1913000000,1843500000,1734500000,1666800000,1573400000,1498100000,1427700000,1371500000,1332300000,1304300000,1271200000
Revenue & Margin,Rev-CoGS / Sale (%),31.413183972425678,33.255633255633256,35.43296466145131,35.7830390949318,35.96035641111164,35.22192165113716,34.15054887611082,32.51423921887714,32.07840876333237,31.809455243580516,31.600355917122158,32.13403644616514,31.610282272186037,30.754648195406485,29.685506267357205,29.640420148738787,30.412208936438013
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),14.442050840155105,16.161616161616163,17.27812247100081,20.57844076456366,21.09877543241054,20.96483318304779,20.50182958703607,19.376186601573096,18.968002306140097,18.83249340052796,18.425066734460405,18.783792804218677,17.979967780346012,16.923076923076923,16.813030098326205,16.890285977152494,17.38514789175582
Revenue & Margin,Op. Income / Rev (%),13.890564411891425,15.42778209444876,16.513802715583132,19.80292869850828,20.488874064897317,19.421901613064822,18.489283847360166,17.25522104692162,16.437013548573077,17.236621070314374,17.17935680691496,17.475468927307926,16.600126076906914,15.486693401385345,15.341889964722661,14.4445296327532,13.43612334801762
Revenue & Margin,Net Profit / Rev (%),7.884532529082292,9.332642665976,10.26436471540329,12.818758268327175,13.317768142183256,12.348462077948101,11.547307893361213,10.38784919989151,9.52435860478524,9.929205663546917,9.730519893224864,9.872505173219412,8.286054493240878,6.000729128691214,4.375891315769722,2.2004140151805567,2.2026431718061676
EBITDA,Net Income,183000000,216200000,228300000,281000000,279500000,246500000,220900000,191500000,165200000,165500000,153100000,147900000,118300000,82300000,58300000,28700000,28000000
EBITDA,D & A,18900000,18600000,18500000,18500000,18500000,36500000,44300000,45000000,45600000,28300000,21200000,21200000,21300000,21300000,21300000,33700000,52300000
EBITDA,Net Int Inc,-74000000,-68400000,-63800000,-59800000,-57800000,-58300000,-59900000,-62800000,-65100000,-66900000,-67200000,-65800000,-57500000,-49200000,-42400000,-36000000,-38800000
EBITDA,Tax Provision,63600000,72800000,75200000,93300000,92700000,82900000,72900000,63800000,54800000,54900000,50000000,48100000,41000000,29600000,21600000,12500000,9600000
EBITDA,EBITDA,339500000,376000000,385800000,452600000,448500000,424200000,398000000,363100000,330700000,315600000,291500000,283000000,238100000,182400000,143600000,110900000,128700000
EBITDA,Stock-Based Comp,21400000,22100000,22400000,22700000,22500000,21000000,19100000,17200000,15300000,14200000,13600000,13500000,11800000,9800000,8000000,5700000,5000000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,26.73,36.35,57.93,74.46,75.34,60.72,57.96,59.61,55.43,41.23,36.6,34.0,25.64,20.61,24.89,23.08,28.53
Capital Structure,O/S Shares,119300000,124000000,127900000,128200000,128900000,130300000,130000000,131000000,131199999,131400000,132400000,133400000,134900000,135700000,136300000,62700000,39400000
Capital Structure,Market Capitalization,3188889000,4507400000,7409247000,9545772000,9711326000,7911816000,7534800000,7808910000,7272415944,5417622000,4845840000,4535600000,3458836000,2796777000,3392507000,1447116000,1124082000
Capital Structure,Cash,64099999,89100000,43700000,28100000,49600000,71100000,72600000,79300000,85000000,48400000,26100000,25500000,43900000,35800000,34700000,69500000,30400000
Capital Structure,Debt,1184600000,1113800000,1009000000,953700000,833400000,839600000,839000000,839300000,839500000,865000000,918800000,977300000,952600000,938000000,914200000,938800000,508400000
Capital Structure,Enterprise Value,4309389001,5532100000,8374547000,10471372000,10495126000,8680316000,8301200000,8568910000,8026915944,6234222000,5738540000,5487400000,4367536000,3698977000,4272007000,2316416000,1602082000
Capital Structure,netCommonStockIssuance,-96900000,-207000000,-83000000,-173100000,-11800000,-40500000,-75300000,-21400000,-9400000,-7900000,-49100000,-27300000,-41200000,-22300000,-2400000,0,-18100000
Capital Structure,netDebtIssuance,100000000,75000000,55000000,120000000,0,0,0,0,-25000000,-54000000,-60000000,25000000,15000000,15000000,-25000000,-410800000,-90100000
