Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-02-19,2025-11-06,2025-08-07,2025-05-08,2025-02-14,2024-11-07,2024-08-08,2024-05-09,2024-02-16,2023-11-02,2023-08-03,2023-05-04,2023-02-17,2022-11-03,2022-08-04,2022-05-05,2022-02-18
Revenue & Margin,Segment-1,Sales revenue,-,-,-,Sales revenue,-,-,-,Motor Fuel Sales,-,-,-,Fuel Distribution and Marketing,-,-,-,Fuel Distribution and Marketing
Revenue & Margin,Segment-1 %,9405.2%,-,-,-,9513.1%,-,-,-,9957.6%,-,-,-,9638.7%,-,-,-,9572.0%
Revenue & Margin,Segment-2,Service revenue,-,-,-,Service revenue,-,-,-,Non Motor Fuel Sales,-,-,-,All Other,-,-,-,All Other
Revenue & Margin,Segment-2 %,543.2%,-,-,-,431.9%,-,-,-,173.3%,-,-,-,361.3%,-,-,-,428.0%
Revenue & Margin,Segment-3,Lease revenue,-,-,-,Lease revenue,-,-,-,Lease Income,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,51.6%,-,-,-,55.1%,-,-,-,66.8%,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,Intersegment Sales,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-197.6%,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,25201000000,21870000000,21589000000,22373000000,22693000000,23065000000,23634000000,23205000000,23068000000,23345000000,23619000000,25689000000,25729000000,24765000000,22950000000,19527000000,17596000000
Revenue & Margin,Rev-CoGS / Sale (%),8.904408555216063,9.19981710105167,7.939228310713789,7.982836454655165,7.6234962323183355,5.896379796228051,6.4060252179064054,5.567765567765568,5.106641234610716,5.585778539301778,4.653033574664465,4.398769901514267,4.609584515527226,5.0635978195033315,5.394335511982571,6.411635171813386,6.666287792680155
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),7.590968612356653,8.074988568815728,6.697855389318634,6.418450811245697,6.08557705019169,4.469976154346413,5.11974274350512,4.692954104718811,4.265649384428646,4.759049046905119,3.8485964689444936,3.6786173070185684,3.898324847448405,4.344841510195841,4.627450980392156,5.530803502842218,5.711525346669697
Revenue & Margin,Op. Income / Rev (%),3.670489266298956,4.5176040237768635,3.904766316179536,3.5310418808385107,3.4856563698056666,2.215477996965099,3.1395447237031395,3.158801982331394,2.752731056008323,3.315485114585565,2.4810533892205426,2.4056989372883337,2.6351587702592405,3.060771249747628,3.3159041394335507,4.117375941004762,4.256649238463287
Revenue & Margin,Net Profit / Rev (%),1.5713662156263641,1.8381344307270235,1.2923247950345083,3.0796048808832075,3.1551579782311725,2.111424235855192,3.270711686553271,1.6548157724628314,1.3481879660135252,1.7733990147783252,0.9568567678563868,1.0198917824749894,1.3136927202767306,1.546537452049263,1.8474945533769063,2.4018026322527786,2.3130256876562854
EBITDA,Net Income,396000000,402000000,279000000,689000000,716000000,487000000,773000000,384000000,311000000,414000000,226000000,262000000,338000000,383000000,424000000,469000000,407000000
EBITDA,D & A,688000000,621000000,557000000,481000000,368000000,262000000,211000000,182000000,187000000,183000000,194000000,194000000,193000000,193000000,183000000,177000000,177000000
EBITDA,Net Int Inc,-541000000,-492000000,-477000000,-449000000,-391000000,-329000000,-269000000,-227000000,-217000000,-209000000,-202000000,-194000000,-182000000,-174000000,-165000000,-163000000,-163000000
EBITDA,Tax Provision,62000000,20000000,24000000,166000000,175000000,180000000,176000000,36000000,36000000,23000000,31000000,30000000,26000000,39000000,30000000,30000000,30000000
EBITDA,EBITDA,1687000000,1535000000,1337000000,1785000000,1650000000,1258000000,1429000000,829000000,751000000,829000000,653000000,680000000,739000000,789000000,802000000,839000000,777000000
EBITDA,Stock-Based Comp,14000000,19000000,18000000,17000000,17000000,16000000,16000000,16000000,17000000,15000000,15000000,14000000,14000000,16000000,17000000,17000000,16000000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,52.41,50.01,53.59,58.06,51.44,53.68,56.35,59.99,59.93,48.95,43.56,43.89,43.1,38.97,37.25,40.84,40.83
Capital Structure,O/S Shares,136658561,136436142,136351000,136268000,127264000,135998435,117271408,84424748,84139599,84064445,84060866,84058716,83836166,83763064,83737613,83682902,83431830
Capital Structure,Market Capitalization,7162275182,6823171461,7307050090,7911720080,6546460160,7300395990,6608243840,5064640632,5042486168,4114954582,3661691322,3689337045,3613338754,3264246604,3119226084,3417609717,3406521618
Capital Structure,Cash,891000000,3239000000,116000000,172000000,94000000,116000000,226000000,215000000,29000000,256000000,239000000,189000000,82000000,196000000,168000000,104000000,25000000
Capital Structure,Debt,16110000000,10073000000,8344000000,8204000000,7999000000,7851000000,7900000000,4249000000,4113000000,4351000000,4212000000,4021000000,4120000000,3912000000,4078000000,4221000000,3795000000
Capital Structure,Enterprise Value,22381275182,13657171461,15535050090,15943720080,14451460160,15035395990,14282243840,9098640632,9126486168,8209954582,7634691322,7521337045,7651338754,6980246604,7029226084,7534609717,7176521618
Capital Structure,netCommonStockIssuance,0,1473000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capital Structure,netDebtIssuance,-358000000,1659000000,114000000,194000000,128000000,-45000000,100000000,214000000,-236000000,157000000,190000000,-100000000,197000000,-165000000,-142000000,429000000,321000000
Liquidity & Cash Flow,DSO,19.404339113527243,18.980166895290353,17.464681087590904,16.909779645107943,16.220971224606707,14.827877736830695,15.447713040534824,13.778926955397543,12.559335443037975,12.523666738059541,10.775064566662433,11.203336058235042,11.710812701620739,10.814405410862102,10.910239651416122,10.874110206380909,10.423533757672198
Liquidity & Cash Flow,DIO,23.117567626432024,20.682659381609426,19.503396226415095,18.212767766065966,17.198337547106807,15.857866850956,15.63873191681736,15.33256514397846,14.577489721333942,14.196100449162923,13.355239786856128,11.599922635286454,11.369535101658313,10.75469992769342,10.456429624170966,11.079822161422708,10.806871460756255
Liquidity & Cash Flow,DPO,25.466687720520973,23.18240759391681,22.427987421383648,21.962585612279597,21.829831131040404,19.166493895415805,18.617145117540687,17.26891571213435,15.88225216994061,16.092225851821606,15.235346358792183,15.13711877519443,14.875575520515016,13.584067032452895,13.431973102431835,12.912311901504788,12.740440236254033
Liquidity & Cash Flow,CCC,17.05521901943829,16.480418682982968,14.540089892622348,13.159961798894315,11.589477640673113,11.519250692370889,12.469299839811498,11.84257638724165,11.254572994431307,10.62754133540086,8.894957994726377,7.666139918327065,8.204772282764038,7.985038306102629,7.934696173155251,9.041620466298829,8.489964982174419
Liquidity & Cash Flow,OCF,1205000000,923000000,728000000,415000000,546000000,609000000,402000000,563000000,602000000,337000000,641000000,864000000,561000000,671000000,605000000,414000000,543000000
Liquidity & Cash Flow,CapEx,-577000000,-550000000,-494000000,-404000000,-344000000,-295000000,-239000000,-219000000,-215000000,-221000000,-218000000,-197000000,-186000000,-179000000,-181000000,-182000000,-174000000
Liquidity & Cash Flow,FCF,628000000,373000000,234000000,11000000,202000000,314000000,163000000,344000000,387000000,116000000,423000000,667000000,375000000,492000000,424000000,232000000,369000000
BQR,Total Debt / Adj Ebitda,9.54949614700652,6.562214983713355,6.2408376963350785,4.596078431372549,4.847878787878788,6.240858505564388,5.528341497550735,5.125452352231604,5.4766977363515315,5.248492159227985,6.450229709035222,5.913235294117647,5.57510148849797,4.9581749049429655,5.084788029925187,5.030989272943981,4.884169884169884
BQR,Adj Ebitda / Interest Expense,3.1182994454713495,3.119918699186992,2.80293501048218,3.975501113585746,4.219948849104859,3.82370820668693,5.312267657992565,3.6519823788546257,3.4608294930875574,3.9665071770334928,3.232673267326733,3.5051546391752577,4.06043956043956,4.5344827586206895,4.86060606060606,5.147239263803681,4.766871165644171
BQR,Net Income before extraordinary,396000000,402000000,279000000,689000000,716000000,487000000,773000000,384000000,311000000,414000000,226000000,262000000,338000000,383000000,424000000,469000000,407000000
BQR,(NCO-CAPEX) / Total Debt (%),3.898199875853507,3.702968331182369,2.8044103547459254,0.1340809361287177,2.5253156644580574,3.99949051076296,2.0632911392405062,8.096022593551425,9.409190371991247,2.66605378074006,10.042735042735043,16.587913454364585,9.101941747572816,12.576687116564417,10.397253555664541,5.496327884387586,9.723320158102768
BQR,Score: Operating Leverage,75,75,65,55,58,65,65,58,65,58,75,65,65,58,58,58,58
BQR,Score: ICR,58,58,58,58,55,58,48,58,58,58,58,58,55,52,52,48,52
BQR,Score: Net Income,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
BQR,Score: FCF/Debt,75,75,75,75,75,75,75,58,58,75,58,52,58,55,58,75,58
BQR,BQR,62.45,62.45,58.95,55.45,56.05,58.95,57.45,52.25,54.7,56.5,58.2,53.2,54.25,50.599999999999994,51.349999999999994,55.0,51.349999999999994
