Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-02-25,2025-11-03,2025-08-06,2025-05-01,2025-02-25,2024-11-06,2024-08-01,2024-05-02,2024-02-27,2023-11-02,2023-08-03,2023-05-04,2023-02-27,2022-11-03,2022-08-03,2022-05-04,2022-02-25
Revenue & Margin,Segment-1,Electric Service,-,-,-,Electric Service,-,-,-,Electric Service,-,-,-,Electric Service,-,-,-,Electric Service
Revenue & Margin,Segment-1 %,9143.1%,-,-,-,9223.0%,-,-,-,8681.7%,-,-,-,8037.0%,-,-,-,9506.7%
Revenue & Margin,Segment-2,Electric and Transmission Service,-,-,-,Electric and Transmission Service,-,-,-,Wholesale Energy,-,-,-,Wholesale Energy,-,-,-,Electric and Transmission Service
Revenue & Margin,Segment-2 %,466.2%,-,-,-,428.4%,-,-,-,792.6%,-,-,-,1504.9%,-,-,-,493.3%
Revenue & Margin,Segment-3,Wholesale Energy,-,-,-,Wholesale Energy,-,-,-,Electric and Transmission Service,-,-,-,Electric and Transmission Service,-,-,-,-
Revenue & Margin,Segment-3 %,390.7%,-,-,-,348.6%,-,-,-,525.8%,-,-,-,458.1%,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,5339939000,5307180000,5255240000,5205483000,5124915000,5021081000,4890039000,4702748000,4695991000,4713731000,4545843000,4485809000,4324385000,4113928000,3952311000,3890891000,3803835000
Revenue & Margin,Rev-CoGS / Sale (%),34.85582887744598,38.19759269517898,40.88500239760696,41.360676809433436,41.70201847250149,41.813525812469464,41.786026655411135,39.98742862683691,39.280505435380945,38.02974756090239,36.979653718793195,38.08501431960211,39.49625206821317,41.45760450839198,42.81836626722947,44.43568324067675,44.618575726865124
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),34.9112227686496,38.25332850967934,40.94128907528486,41.664875286308686,42.17900199320379,42.30037316665475,42.2859204190396,40.45613330758952,39.71361955335945,38.46123166553204,37.4270734823002,38.304930058323926,39.49625206821317,41.45760450839198,42.81836626722947,44.43568324067675,44.618575726865124
Revenue & Margin,Op. Income / Rev (%),21.703731072583412,20.69886455707174,18.958182690038893,19.258405031771307,19.747898257824765,19.953970071385026,19.860414201195535,17.877100792983168,17.560510656856028,16.696137306095746,15.141767984508045,16.231988477440748,16.925204393225858,18.113515841794023,19.1527691014194,20.876143793285394,21.171002422555134
Revenue & Margin,Net Profit / Rev (%),11.545656233151727,11.1980562181799,10.9616116485641,11.282334415461543,11.879338486589534,12.260507249335353,12.65548188879475,11.09385406149766,10.68053580170831,10.131846726085982,8.924637300496299,10.32921820790854,11.183139336576184,13.008929665273675,13.881751714376728,15.421531983291231,16.265689757836498
EBITDA,Net Income,616531000,594301000,576059000,587300000,608806000,615610000,618858000,521716000,501557000,477588000,405700000,463349000,483602000,535178000,548650000,600035000,618720000
EBITDA,D & A,969615000,976240000,982863000,980422000,956184000,929499000,903030000,871777000,854136000,841080000,829339000,822947000,817814000,799758000,773732000,746371000,719141000
EBITDA,Net Int Inc,-403931000,-382985000,-368171000,-362922000,-353150000,-344486000,-331132000,-313782000,-304080000,-289483000,-272889000,-258319000,-248213000,-239968000,-235452000,-230804000,-226535000
EBITDA,Tax Provision,106726000,106719000,103052000,100455000,110529000,113326000,96144000,79620000,76912000,65375000,61058000,71849000,74827000,79590000,98725000,118597000,110086000
EBITDA,EBITDA,2096803000,2060245000,2030145000,2031099000,2028669000,2002921000,1949164000,1786895000,1736685000,1673526000,1568986000,1616464000,1624456000,1654494000,1656559000,1695807000,1674482000
EBITDA,Stock-Based Comp,0,6592000,12910000,17597000,23532000,21977000,20738000,19641000,17341000,15422000,15295000,14239000,15942000,14576000,12848000,12461000,18460000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,88.7,89.66,89.47,95.25,84.77,88.59,75.72,74.05,71.84,73.68,81.46,79.24,76.04,64.51,73.12,78.1,70.59
Capital Structure,O/S Shares,119687000,119623000,119517000,119594000,114337000,113729000,113695000,113621000,113534000,113464000,113411000,113358000,113298000,113211000,113172000,113102000,113005000
Capital Structure,Market Capitalization,10616236900,10725398180,10693185990,11391328500,9692347490,10075252110,8608985400,8413635050,8156282560,8360027520,9238460060,8982487920,8615179920,7303241610,8275136640,8833266200,7977022950
Capital Structure,Cash,6604000,30885000,18841000,10047000,3838000,49171000,4007000,9634000,4955000,15108000,7658000,6951000,4832000,7032000,29189000,13968000,9969000
Capital Structure,Debt,17847997000,14246594000,14004524000,12132355000,11048342000,11315956000,11210076000,10504941000,10303194000,10133589000,10100768000,9780639000,8877148000,8609844000,8618126000,8326241000,8184579000
Capital Structure,Enterprise Value,28457629900,24941107180,24678868990,23513636500,20736851490,21342037110,19815054400,18908942050,18454521560,18478508520,19331570060,18756175920,17487495920,15906053610,16864073640,17145539200,16151632950
Capital Structure,netCommonStockIssuance,75194000,15585000,215000,-6381000,345233000,423000,273000,-4500000,-2449000,387000,104000,-2135000,-2715000,510000,557000,-1005000,-2827000
Capital Structure,netDebtIssuance,81305000,218051000,530206000,301747000,-255050000,92050000,376179000,184000000,185500000,59132000,311911000,341966000,293809000,55646000,291800000,133002000,317000000
Liquidity & Cash Flow,DSO,53.94920545908858,53.31343293425134,55.0294848570189,56.23488276688254,56.91445028844381,57.75851903205704,55.363340660473256,53.92872927700995,54.180976656471444,52.988573170594584,53.519049986988115,53.33907579435505,52.328946196973675,52.78303788982209,50.21206422014866,49.28365058286135,48.61300338999983
Liquidity & Cash Flow,DIO,56.00390157529094,57.62404400656714,60.526183877410766,62.26123642897859,63.150997649714405,64.3338751330611,64.93004584980571,63.67366568753897,62.25021235316769,59.423796716386335,58.87046016379468,57.72344735413273,58.27658790749939,60.14768048556879,61.72504121688711,63.01608515379887,62.940217448061304
Liquidity & Cash Flow,DPO,65.18574758261732,63.71579765332862,64.11475398622625,61.67065211337741,59.26221925935546,59.26154337193104,60.03530728362735,56.93305627799195,52.66394155535807,51.031021244998904,54.27608579778177,55.96799267873268,58.778208923278605,62.44030456835931,61.62361625861284,61.921775834467724,62.07060796024718
Liquidity & Cash Flow,CCC,44.76735945176219,47.22167928748985,51.440914748203426,56.82546708248372,60.80322867880275,62.830850793187096,60.25807922665162,60.66933868655697,63.767247454281055,61.38134864198201,58.11342435300103,55.09453046975509,51.82732518119446,50.49041380703157,50.31348917842293,50.37795990219249,49.482612877813956
Liquidity & Cash Flow,OCF,1805094999,1767806999,1736010999,1664365000,1609823000,1544129000,1307222000,1343445000,1207697000,1043426000,1090768000,1112438000,1241441000,1231415000,1135950000,998610000,860014000
Liquidity & Cash Flow,CapEx,-2624618000,-2486726000,-2529538000,-2353991000,-2249195000,-2249412000,-1979900000,-1918955000,-1846370000,-1745158000,-1782466000,-1761078000,-1707490000,-1743905000,-1635546000,-1501283000,-1473475000
Liquidity & Cash Flow,FCF,-819523000,-718919000,-793527000,-689626000,-639372000,-705283000,-672678000,-575510000,-638673000,-701732000,-691698000,-648640000,-466049000,-512490000,-499596000,-502673000,-613461000
BQR,Total Debt / Adj Ebitda,8.512004704304601,6.914999915058646,6.8982875607407355,5.973295737923164,5.446103824724487,5.649726574338179,5.751222575422078,5.878879844646719,5.932678637749506,6.055232485183977,6.437768087159477,6.050638306822793,5.464689717665483,5.20391370412948,5.202426234139563,4.909898944868137,4.887827399757059
BQR,Adj Ebitda / Interest Expense,5.190993016133944,5.379440448059324,5.514136094369192,5.5965166068742045,5.744496672801925,5.814230476710229,5.886365558145997,5.6947020542924705,5.711276637726914,5.781085590518269,5.74953918992704,6.257627197379984,6.544604835363176,6.894644285904787,7.035654825612014,7.347389993241018,7.391714304632838
BQR,Net Income before extraordinary,616531000,594301000,576059000,587300000,608806000,615610000,618858000,521716000,501557000,477588000,405700000,463349000,483602000,535178000,548650000,600035000,618720000
BQR,(NCO-CAPEX) / Total Debt (%),-4.59168051182438,-5.04625175673568,-5.666219001802561,-5.684189096016396,-5.787040263597922,-6.232641767076506,-6.000655124907271,-5.478469607777902,-6.198786512221356,-6.924812127272973,-6.847974332248795,-6.631877528656359,-5.249985693603396,-5.952372656229311,-5.797037546213643,-6.037214152220672,-7.495327493326169
BQR,Score: Operating Leverage,75,75,75,65,65,65,65,65,65,65,75,65,65,58,58,58,58
BQR,Score: ICR,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
BQR,Score: Net Income,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
BQR,Score: FCF/Debt,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,BQR,60.95,60.95,60.95,57.45,57.45,57.45,57.45,57.45,57.45,57.45,60.95,57.45,57.45,55.0,55.0,55.0,55.0
