Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3
Header,Statement Date,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Header,Filing Date,2025-11-04,2025-08-05,2025-05-06,2025-03-11,2024-11-04,2024-08-02,2024-05-03,2024-03-15,2023-11-03,2023-08-04,2023-05-05,2023-05-01,2022-11-04,2022-08-05,2022-05-10,2022-03-14,2021-11-03
Revenue & Margin,Segment-1,-,-,-,Spare Parts And Equipment Sales,-,-,-,Managed Services,-,-,-,Spare Parts And Equipment Sales,-,-,-,Spare Parts And Equipment Sales,-
Revenue & Margin,Segment-1 %,-,-,-,4491.6%,-,-,-,5576.3%,-,-,-,3498.6%,-,-,-,3586.6%,-
Revenue & Margin,Segment-2,-,-,-,Maintenance Services,-,-,-,Spare Parts And Equipment Sales,-,-,-,Managed Services And Other Revenue,-,-,-,Other Revenue,-
Revenue & Margin,Segment-2 %,-,-,-,4004.1%,-,-,-,3881.8%,-,-,-,3250.7%,-,-,-,2770.5%,-
Revenue & Margin,Segment-3,-,-,-,Managed Services And Other Revenue,-,-,-,Other Revenue,-,-,-,Managed Services,-,-,-,Managed Services,-
Revenue & Margin,Segment-3 %,-,-,-,1504.3%,-,-,-,541.9%,-,-,-,3058.7%,-,-,-,2354.6%,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,"Other Revenue, Asset Transition Fees",-,-,-,Asset Transition Fees,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,192.0%,-,-,-,1288.3%,-
Revenue & Margin,Revenue Total,686060000,652254000,607872000,569223000,530706000,490228000,448104000,418556000,392420000,363566000,332645000,311927000,299597000,293497000,281894000,274202000,259875000
Revenue & Margin,Rev-CoGS / Sale (%),76.88292569163046,71.53087600842618,74.55171483470204,75.44336753785423,75.24561621688845,74.87862790375091,73.1598021887776,71.21484341402345,69.52372458080627,68.3232205431751,65.91050519322401,65.02611187874085,64.2092544317867,63.8292725308947,63.05277870405188,61.549879286073775,59.04607984607985
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),48.00163251027607,43.83645021724665,47.42495130553801,49.66138051343674,48.205786254536406,48.35831490653328,44.80700908717619,41.27858637792792,41.030528515366186,38.60206950044834,36.82364081828977,35.3621199832012,34.88386065281027,35.30019046191273,33.67861678503267,34.07013807339115,31.73833573833574
Revenue & Margin,Op. Income / Rev (%),17.431565752266565,17.672563142579424,23.20932696357128,25.367562449163156,24.831827791658657,24.086343497311454,18.621123667719992,15.343705501772762,16.352377554660823,14.554441284388528,12.914067549489697,3.159393063120538,-0.7596871797781687,-1.6811074729895026,-5.531511844877862,3.041553307415701,-1.2552188552188552
Revenue & Margin,Net Profit / Rev (%),17.874675684342478,18.76615551610262,17.209544114550432,19.080746912897055,18.56093581003418,18.16012141289359,13.44687840322782,10.460010130066227,12.020539218184597,10.71112260222353,9.329465345939365,1.7436772065258856,-2.390544631621812,-3.6344494151558617,-5.859294628477371,1.2224564372251114,-0.4940836940836941
EBITDA,Net Income,122631000,122403000,104612000,108612000,98504000,89026000,60256000,43781000,47171000,38942000,31034000,5439000,-7162000,-10667000,-16517000,3352000,-1284000
EBITDA,D & A,106890000,101878000,98531000,95076000,93713000,93151000,90862000,90925000,90911000,89882000,89000000,88260000,87229000,86444000,88172000,90504000,92120000
EBITDA,Net Int Inc,-125866000,-122862000,-113855000,-104764000,-97647000,-88886000,-83409000,-78795000,-74060000,-71312000,-68250000,-66744000,-66864000,-68885000,-69849000,-67985000,-66219000
EBITDA,Tax Provision,50527000,41998000,43395000,44033000,44732000,40094000,29929000,23349000,17179000,13423000,13317000,4354000,5338000,6590000,-373000,5788000,-3131000
EBITDA,EBITDA,405914000,389141000,360393000,352485000,334596000,311157000,264456000,236850000,229321000,213559000,201601000,164797000,152269000,151252000,141131000,167629000,153924000
EBITDA,Stock-Based Comp,34554000,44943000,32341000,29247000,22483000,15965000,15678000,14802000,13405000,12680000,11859000,13551000,15519000,16950000,18445000,16578000,15008000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,137.09,142.78,157.97,207.55,148.81,69.02,48.78,48.88,42.3,39.13,54.78,59.01,32.74,37.48,32.19,37.65,37.19
Capital Structure,O/S Shares,7484307,6789000,6606000,6603000,6582000,6570000,6387000,6375000,6365000,6354000,6123000,6110000,6093000,6129000,5951000,6044000,6189000
Capital Structure,Market Capitalization,1026023646,969333420,1043549820,1370452650,979467420,453461400,311557860,311610000,269239500,248632020,335417940,360551100,199484820,229714919,191562690,227556600,230168910
Capital Structure,Cash,170967000,782535000,32356000,9110000,5791000,5044000,7622000,7071000,55632000,55012000,64504999,12146000,81387000,73840000,82980000,14329000,15092000
Capital Structure,Debt,2239451000,2800643000,2231593000,2264552000,1990455000,1946761000,1735570000,1802881000,1788024000,1827021000,1836888000,1847278000,1851650000,1731807000,1759126000,1790264000,1817164000
Capital Structure,Enterprise Value,3094507646,2987441420,3242786820,3625894650,2964131420,2395178400,2039505860,2107420000,2001631500,2020641020,2107800941,2195683100,1969747820,1887681919,1867708690,2003491600,2032240910
Capital Structure,netCommonStockIssuance,118000,-2000,134000,-1004000,-1121000,-2000,178000,-173000,0,-5620000,0,-159000,-65000,-6908000,-1768000,-4976000,-5118000
Capital Structure,netDebtIssuance,-566317000,575790000,-34380000,277991000,41716000,214766000,-68868000,22297000,-39667000,-10925000,-11458000,-2900000,118745000,-28428000,-32257000,-25075000,-98092000
Liquidity & Cash Flow,DSO,69.51418243302335,96.91928681157954,123.80143558183302,122.42106784160163,119.13019637991657,98.04514939987108,83.37051778158643,64.99640729078068,64.04381784822385,69.93952611080245,73.20738324640382,76.35404678017613,87.62432951598313,87.2850148383118,92.37972429352877,94.26735125929059,54.93750360750361
Liquidity & Cash Flow,DIO,147.74552009180502,136.20152565283186,174.29125752296486,204.53403335193372,195.957626376805,187.837834545927,161.8748233171478,125.23566798359921,124.35087169196036,126.3005031867044,129.58406086580774,143.47327509556067,156.50564684597308,168.09821260361718,181.31022447960672,187.95261830012046,193.4564474908155
Liquidity & Cash Flow,DPO,94.16763873213239,41.43550306692301,0.0,0.0,0.0,31.841027754319864,64.41337135825462,96.16914767351139,96.88240520088632,89.92759364743067,78.66135127031579,73.63536073579422,74.91608916281194,90.86234135974001,97.12966298054766,86.0336618262181,105.03579851356304
Liquidity & Cash Flow,CCC,123.09206379269597,191.6853093974884,298.0926931047979,326.95510119353537,315.08782275672155,254.0419561914782,180.83196974047962,94.0629276008685,91.5122843392979,106.31243565007618,124.13009284189577,146.19196113994258,169.21388719914427,164.52088608218895,176.56028579258782,196.186307733193,143.35815258475606
Liquidity & Cash Flow,OCF,277039000,299944000,265592000,284406000,277197000,260903000,237693000,229737000,231111000,185146000,167975000,144424000,104368000,105605000,96351000,90658000,78559000
Liquidity & Cash Flow,CapEx,-688721000,-692134000,-816967000,-843357000,-510500000,-377077000,-174716000,-168780000,-213967000,-324051000,-325522000,-293023000,-262406000,-227359000,-206073000,-207944000,-498792000
Liquidity & Cash Flow,FCF,-411682000,-392190000,-551375000,-558951000,-233303000,-116174000,62977000,60957000,17144000,-138905000,-157547000,-148599000,-158038000,-121754000,-109722000,-117286000,-420233000
BQR,Total Debt / Adj Ebitda,5.517057800420779,7.196987724243912,6.192109724661689,6.42453437734939,5.948830828820428,6.256523234251519,6.562793054421151,7.611910491872493,7.797035596391085,8.555111233897893,9.11150242310306,11.209415219937256,12.160387209477964,11.449812233887817,12.464490437961894,10.679918152586962,11.805592370260648
BQR,Adj Ebitda / Interest Expense,3.224969411914258,3.167301525288535,3.1653682315225504,3.3645622542094613,3.4265876063780762,3.5006300204756653,3.170593101463871,3.0059013896820863,3.0964218201458276,2.994713372223469,2.953860805860806,2.469090854608654,2.2772942091409427,2.1957175001814617,2.020515683832267,2.465676252114437,2.324468808046029
BQR,Net Income before extraordinary,122631000,122403000,104612000,108612000,98504000,89026000,60256000,43781000,47171000,38942000,31034000,5439000,-7162000,-10667000,-16517000,3352000,-1284000
BQR,(NCO-CAPEX) / Total Debt (%),-18.383166231366527,-14.003569894484945,-24.707686392635217,-24.682630383404753,-11.721088896759786,-5.967553284661034,3.628606163969186,3.3810883802092317,0.9588238189196565,-7.602813541825737,-8.576843008392455,-8.044214243876667,-8.534982313072124,-7.030460091684581,-6.237301932891675,-6.551324273961829,-23.12576080089634
BQR,Score: Operating Leverage,65,75,65,75,65,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: ICR,58,58,58,58,58,58,58,58,58,58,58,65,65,65,65,65,65
BQR,Score: Net Income,42,42,42,42,42,42,45,48,48,48,48,55,65,65,65,58,65
BQR,Score: FCF/Debt,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,BQR,60.7,64.2,60.7,64.2,60.7,64.2,64.95,65.7,65.7,65.7,65.7,68.5,71.0,71.0,71.0,69.25,71.0
