Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-02-11,2025-10-28,2025-07-29,2025-04-29,2025-02-14,2024-10-29,2024-07-25,2024-04-25,2024-02-21,2023-10-26,2023-07-27,2023-05-04,2023-02-23,2022-11-03,2022-07-29,2022-05-05,2022-03-01
Revenue & Margin,Segment-1,Cruise Itinerary,-,-,-,Cruise Itinerary,-,-,-,Cruise Itinerary,-,-,-,Cruise Itinerary,-,-,-,Cruise Itinerary
Revenue & Margin,Segment-1 %,9518.3%,-,-,-,9522.0%,-,-,-,9519.4%,-,-,-,9481.7%,-,-,-,9309.7%
Revenue & Margin,Segment-2,Other Products And Services,-,-,-,Other Products And Services,-,-,-,Other Products And Services,-,-,-,Other Products And Services,-,-,-,Other Products And Services
Revenue & Margin,Segment-2 %,481.7%,-,-,-,478.0%,-,-,-,480.6%,-,-,-,518.3%,-,-,-,690.3%
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,17935000000,17437000000,17184000000,16756000000,16485000000,16055419000,15329419000,14742419000,13900419000,13172992000,12006067000,10667309000,8840540000,7218795000,4682678000,2549350000,1532133000
Revenue & Margin,Rev-CoGS / Sale (%),46.835795929746304,49.004989390376785,48.766294227188084,48.23943661971831,47.52198968759478,47.12464993906419,46.27742251679597,45.47462665387546,44.063851600444565,41.79422563985464,37.557478231630725,32.29960808297576,25.188370846124787,17.343351625859995,-2.805616785950262,-39.6029183909624,-73.45178258023292
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),34.446612768330084,36.01536961633309,35.9986033519553,35.39627596084984,34.63148316651502,34.946325598852326,33.900691213411285,32.81536768151821,31.170132353564306,28.63580270905805,23.28574378270586,16.832736353657705,7.283027959830508,-5.397646006016239,-36.80180443754621,-98.67934963814305,-162.8745676778713
Revenue & Margin,Op. Income / Rev (%),27.371062168943403,26.38068475081723,26.37337057728119,25.674385294819768,24.91355777979982,25.24195724820386,24.03027799031392,22.762221043914163,20.702268039546144,17.637989911479487,11.301586106424361,3.4425926913713663,-8.641734554676523,-25.089672168277392,-66.53075441019006,-153.77688430384217,-252.6108373098158
Revenue & Margin,Net Profit / Rev (%),23.824923334262614,23.346906004473247,20.967178770949722,19.378133206015754,17.452229299363058,16.20682088707869,16.308987313870148,14.279020288325817,12.208790253013238,6.982422823911227,-0.4684131781040369,-9.719602197705157,-24.38722069013884,-41.734444599133234,-95.46345061522487,-207.7360503657795,-343.34480100617895
EBITDA,Net Income,4273000000,4071000000,3603000000,3247000000,2877000000,2602073000,2500073000,2105073000,1697073000,919794000,-56238000,-1036820000,-2155962000,-3012724000,-4470246000,-5295919000,-5260499000
EBITDA,D & A,1718000000,1675000000,1649000000,1625000000,1600000000,1558077000,1514077000,1482077000,1455077000,1447595000,1436680000,1427222000,1406689000,1379460000,1350282000,1322179000,1292878000
EBITDA,Net Int Inc,-968000000,-971000000,-1325000000,-1403000000,-1575000000,-1654344000,-1388344000,-1439344000,-1365344000,-1440518000,-1447752000,-1398968000,-1328305000,-1191098000,-1277739000,-1281664000,-1274980000
EBITDA,Tax Provision,15000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EBITDA,EBITDA,6974000000,6717000000,6577000000,6275000000,6052000000,5814494000,5402494000,5026494000,4517494000,3807907000,2828194000,1789370000,579032000,-442166000,-1842225000,-2692076000,-2692641000
EBITDA,Stock-Based Comp,175000000,294000000,276000000,275000000,267000000,155685000,142685000,144685000,125685000,90831000,91982000,39277000,36116000,32488000,38210000,67643000,63638000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,278.92,323.58,313.14,205.44,230.69,177.36,156.47,140.56,129.49,92.14,103.74,65.3,49.43,37.9,34.91,83.78,76.9
Capital Structure,O/S Shares,271000000,272000000,272000000,269000000,269000000,263000000,257000000,257000000,256000000,256000000,256000000,255000000,255184000,255071000,254964000,254821000,254792000
Capital Structure,Market Capitalization,75587320000,88013760000,85174080000,55263360000,62055610000,46645680000,40212790000,36123920000,33149440000,23587840000,26557440000,16651500000,12613745120,9667190900,8900793240,21348903380,19593504800
Capital Structure,Cash,825000000,432000000,735000000,386000000,388000000,418000000,391000000,437000000,497000000,600117000,726424000,1226871000,1935000000,1566213000,2102205000,1968504000,2701770000
Capital Structure,Debt,22635000000,20975000000,19737000000,20119000000,20820000000,21556000000,21772000000,21185000000,22130000000,20567212000,21018370000,22048026000,23994000000,23947126000,23846018000,23100134000,21693988000
Capital Structure,Enterprise Value,97397320000,108556760000,104176080000,74996360000,82487610000,67783680000,61593790000,56871920000,54782440000,43554935000,46849386000,37472655000,34672745120,32048103900,30644606240,42480533380,38585722800
Capital Structure,netCommonStockIssuance,-504000000,-414000000,0,-241000000,0,0,0,0,0,0,0,0,0,0,0,0,0
Capital Structure,netDebtIssuance,-10000000,1230000000,-474000000,-746000000,-737000000,-554000000,584000000,-1051000000,1492789000,-457000000,-1082000000,-1959000000,-63012000,-52516000,782422000,1342337000,239232000
Liquidity & Cash Flow,DSO,7.789448006690828,8.294503068188336,8.867987662942271,8.99103306278348,9.29382772217167,9.735731593177357,9.715552738822,9.8755913123891,9.976048653641305,11.399745498213314,13.83219458961873,17.19050758255901,22.053364952819624,25.453835266135137,36.56628989864347,59.292330397944575,82.01626588553343
Liquidity & Cash Flow,DIO,9.914525432616674,10.641728520017994,10.706639027714674,10.81575002882509,10.632296844295457,10.652011535853296,10.720404842096137,10.6870228425976,10.875981417706887,10.74343438137517,10.935066282809768,11.518284370538687,12.000087091260754,12.172918411735308,13.291296881465442,15.511515701044713,18.71088681819687
Liquidity & Cash Flow,DPO,35.37073938122706,37.57956590193432,38.19357678328033,37.31854606249279,36.56961622933765,35.90082596342079,35.50546157125633,34.911351464894764,34.200845581535205,32.95657176148186,32.58870060268983,34.699995222804255,37.24622782196853,39.7396426719519,46.18195213142515,52.82318928498073,59.503452853646564
Liquidity & Cash Flow,CCC,-17.666765941919557,-18.643334313727994,-18.618950092623383,-17.511762970884224,-16.64349166287052,-15.51308283439014,-15.069503990338198,-14.348737309908067,-13.348815510187013,-10.813391881893377,-7.821439730261336,-5.991203269706556,-3.1927757778881514,-2.1128889940814517,3.6756346486837614,21.980656814008555,41.22369985008373
Liquidity & Cash Flow,OCF,6465000000,6309000000,5737000000,5564000000,5265000000,4913995000,4675995000,4494995000,4476995000,3937598000,3234064000,2320704000,481857000,-299787000,-658468000,-1597479000,-1877815000
Liquidity & Cash Flow,CapEx,-5229000000,-4274000000,-2150000000,-3454000000,-3268000000,-5284357000,-5231357000,-3887357000,-3897357000,-1495797000,-1440316000,-1598977000,-2710063000,-3118699000,-3261276000,-2531099000,-2229704000
Liquidity & Cash Flow,FCF,1236000000,2035000000,3587000000,2110000000,1997000000,-370362000,-555362000,607638000,579638000,2441801000,1793748000,721727000,-2228206000,-3418486000,-3919744000,-4128578000,-4107519000
BQR,Total Debt / Adj Ebitda,3.2456266131344997,3.1226738127140092,3.0009122700319293,3.206215139442231,3.4401850627891606,3.70728734091049,4.029990593233421,4.214667320800542,4.898733678450928,5.401185480632799,7.431728516502051,12.321669637917255,41.438124317827,999.0,999.0,999.0,999.0
BQR,Adj Ebitda / Interest Expense,7.204545454545454,6.9176107106076214,4.963773584905661,4.47255880256593,3.8425396825396825,3.514682556953088,3.8913223235739847,3.4922117297880146,3.3086855766751824,2.6434289609709842,1.9535072305201444,1.2790642816704885,0.43591795559001884,-999.0,-999.0,-999.0,-999.0
BQR,Net Income before extraordinary,4273000000,4071000000,3603000000,3247000000,2877000000,2602073000,2500073000,2105073000,1697073000,919794000,-56238000,-1036820000,-2155962000,-3012724000,-4470246000,-5295919000,-5260499000
BQR,(NCO-CAPEX) / Total Debt (%),5.460569913850232,9.70202622169249,18.1739879414298,10.487598787216065,9.591738712776177,-1.7181388012618297,-2.550808377732868,2.8682464007552513,2.619240849525531,11.872299463826211,8.534191757020169,3.2734313720421047,-9.286513294990414,-14.275140991866833,-16.43772977106702,-17.872528358493504,-18.9339046375429
BQR,Score: Operating Leverage,45,45,45,45,48,48,52,52,58,65,75,75,75,75,75,75,75
BQR,Score: ICR,48,48,52,55,58,58,58,58,58,58,65,75,75,75,75,75,75
BQR,Score: Net Income,15,15,25,25,25,25,25,25,25,35,75,75,75,75,75,75,75
BQR,Score: FCF/Debt,75,58,48,58,58,75,75,75,75,58,58,75,75,75,75,75,75
BQR,BQR,45.449999999999996,41.199999999999996,41.8,44.75,46.25,50.5,51.9,51.9,54.0,54.7,69.25,75.0,75.0,75.0,75.0,75.0,75.0
