Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3
Header,Statement Date,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Header,Filing Date,2025-11-06,2025-08-07,2025-05-08,2025-02-27,2024-11-07,2024-08-08,2024-05-09,2024-02-28,2023-11-07,2023-08-08,2023-05-10,2023-02-28,2022-11-03,2022-08-04,2022-05-05,2022-02-24,2021-11-04
Revenue & Margin,Segment-1,-,-,-,UNITED STATES,-,-,-,Non-US,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-1 %,-,-,-,9815.5%,-,-,-,10000.0%,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2,-,-,-,Non-US,-,-,-,UNITED STATES,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,184.5%,-,-,-,0.0%,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,250425000,241524000,212678000,164069000,90857000,32772000,1904000,1189000,707000,238000,0,0,0,0,0,0,0
Revenue & Margin,Rev-CoGS / Sale (%),38.76170510132774,20.59960914857323,21.72439086318284,24.42508944407536,8.849070517406474,-44.43427316001465,-846.218487394958,-804.5416316232128,-803.8189533239038,-761.344537815126,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),-24.603374263751622,-47.170053493648666,-53.58711291247802,-62.34632989778691,-133.9742672551372,-401.98340046381054,-6356.355042016807,-9796.63582842725,-15439.745403111741,-44628.991596638654,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue & Margin,Op. Income / Rev (%),-166.30607966457023,-170.01912853381032,-187.50270361767554,-240.92180728839696,-473.2249579008772,-1401.357866471378,-24549.63235294118,-38734.9873843566,-63131.40028288543,-179988.65546218486,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue & Margin,Net Profit / Rev (%),-158.7832684436458,-161.441927096272,-176.49404263722624,-226.84175560282563,-451.2552692692913,-1343.2686439643599,-23615.703781512606,-37345.41631623213,-61241.44271570015,-175981.09243697478,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EBITDA,Net Income,-397633000,-389921000,-375364000,-372177000,-409997000,-440216000,-449643000,-444037000,-432977000,-418835000,-411656000,-395893000,-389904000,-376408000,-358410000,-342252000,-311319000
EBITDA,D & A,46398000,45838000,44764000,43606000,41633000,40360000,37337000,33127000,29120000,24447000,21809000,21090000,19967000,18730000,16304000,14100000,12410000
EBITDA,Net Int Inc,16899000,20904000,20155000,20273000,13816000,13169000,12895000,13043000,11642000,9061000,6365000,2985000,1403000,746000,436000,451000,453000
EBITDA,Tax Provision,-697000,188000,-3258000,-2828000,-6145000,-5868000,-4887000,-3479000,-1720000,-477000,0,0,0,0,0,0,0
EBITDA,EBITDA,-368831000,-364799000,-354013000,-351672000,-388325000,-418893000,-430088000,-427432000,-417219000,-403926000,-396212000,-377788000,-371340000,-358424000,-342542000,-328603000,-299362000
EBITDA,Stock-Based Comp,68835000,99841000,115364000,109627000,93049000,77864000,64138000,62625000,67735000,71694000,54954000,61554000,42045000,41571000,55985000,50661000,50661000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,2.17,1.72,3.33,7.4,9.39,8.06,14.19,8.13,4.55,7.04,6.11,6.39,9.58,11.04,16.65,19.09,24.66
Capital Structure,O/S Shares,364037000,334511000,322868000,304890000,303269000,284817000,266220000,255951000,245817000,224481000,213694000,164765000,157817000,157274000,157113000,156923000,155508000
Capital Structure,Market Capitalization,789960290,575358920,1075150440,2256186000,2847695910,2295625020,3777661800,2080881630,1118467350,1580346240,1305670340,1052848350,1511886860,1736304959,2615931450,2995660070,3834827280
Capital Structure,Cash,158134000,132469000,171668000,115694000,164186000,228752000,134188000,114888000,267720000,230010000,543484000,231731000,118366000,108075000,92360000,78229000,58590000
Capital Structure,Debt,52492000,53166000,53719000,58261000,78940000,81682000,84369000,75862000,79477000,80710000,83226000,85446000,80114000,80479000,79894000,71531000,72345000
Capital Structure,Enterprise Value,684318290,496055920,957201440,2198753000,2762449910,2148555020,3727842800,2041855630,930224350,1431046240,845412340,906563350,1473634860,1708708959,2603465450,2988962070,3848582280
Capital Structure,netCommonStockIssuance,88522000,13065000,148944000,3189000,47518000,151873000,197913000,1000,203179000,0,260101000,189502000,225000,582000,1417000,4150000,1000
Capital Structure,netDebtIssuance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liquidity & Cash Flow,DSO,97.28122654986522,96.71312167734884,97.67377208738091,87.28841219243122,88.13659101665255,89.06982332478945,20.032825630252102,14.121110176619009,4.259193776520509,12.652310924369749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,DIO,130.07629306972012,97.77122192615151,100.58027481603844,99.76750070567363,104.03559957496648,125.37958972408839,237.56605239786856,248.483379823338,270.1085680751174,432.6585365853658,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,DPO,70.94967754766687,56.95089455652836,59.252890824448116,77.50013105367152,122.22015105594261,189.91235158659737,553.3652031527531,976.778010227801,1550.9072769953052,5056.006707317073,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,CCC,156.40784207191848,137.53344904697198,139.00115607897123,109.55578184443333,69.95203953567642,24.537061462280462,-295.76632512463243,-714.1735202278439,-1276.5395151436674,-4610.695859807338,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,OCF,-323139000,-303410000,-334392000,-352977000,-363651000,-388761000,-384284000,-361820000,-355521000,-335087000,-318770000,-292757000,-268935000,-262979000,-239352000,-227941000,-236784000
Liquidity & Cash Flow,CapEx,-28684000,-20128000,-13109000,-11069000,-10430000,-11719000,-20797000,-22290000,-21783000,-19593000,-14649000,-20425000,-24971000,-33269000,-38309000,-37574000,-53341000
Liquidity & Cash Flow,FCF,-351823000,-323538000,-347501000,-364046000,-374081000,-400480000,-405081000,-384110000,-377304000,-354680000,-333419000,-313182000,-293906000,-296248000,-277661000,-265515000,-290125000
BQR,Total Debt / Adj Ebitda,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
BQR,Adj Ebitda / Interest Expense,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
BQR,Net Income before extraordinary,-397633000,-389921000,-375364000,-372177000,-409997000,-440216000,-449643000,-444037000,-432977000,-418835000,-411656000,-395893000,-389904000,-376408000,-358410000,-342252000,-311319000
BQR,(NCO-CAPEX) / Total Debt (%),-670.2411796083213,-608.543053831396,-646.8865764440886,-624.8536757007261,-473.8801621484672,-490.29161871648586,-480.13014258791736,-506.32727847934405,-474.73357071857265,-439.44988229463513,-400.6187970105496,-366.5262270907942,-366.85972489202885,-368.10596553138083,-347.53673617543245,-371.188715382142,-401.0297878222407
BQR,Score: Operating Leverage,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: ICR,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: Net Income,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: FCF/Debt,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,BQR,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
