Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3,2021-Q2,2021-Q1,2020-Q4,2020-Q3,2020-Q2,2020-Q1,2019-Q4,2019-Q3,2019-Q2,2019-Q1
Header,Statement Date,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31
Header,Filing Date,2023-04-28,2023-02-24,2022-11-08,2022-08-05,2022-05-06,2022-02-25,2021-10-29,2021-07-30,2021-05-07,2021-02-22,2020-10-30,2020-07-31,2020-05-01,2020-02-28,2019-11-06,2019-08-02,2019-05-10
Revenue & Margin,Segment-1,-,Timing of revenue recognition,-,-,-,Timing of revenue recognition,-,-,-,Timing of revenue recognition,-,-,-,Timing of revenue recognition,-,-,-
Revenue & Margin,Segment-1 %,-,10000.0%,-,-,-,10000.0%,-,-,-,10000.0%,-,-,-,10000.0%,-,-,-
Revenue & Margin,Segment-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,1340000000,1310100000,1292600000,1281400000,1281100000,1283600000,1282300000,1285900000,1236400000,1217200000,1217600000,1219000000,1263000000,1287500000,1309600000,1332200000,1383000000
Revenue & Margin,Rev-CoGS / Sale (%),29.910447761194032,29.91374704221052,30.08664706792511,29.951615420633683,29.568339708063384,28.95761919601122,28.207127817203464,27.902636285869818,27.491103202846972,27.965823200788698,27.94021024967148,29.212469237079574,30.475059382422803,30.827184466019418,31.795968234575444,31.44422759345444,31.489515545914674
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),13.947761194029852,14.105793450881613,9.763267832276034,10.168565631340721,10.701740691593162,10.18229978186351,11.471574514544178,12.341550664903957,13.013587835651894,13.752875451856719,12.483574244415244,11.000820344544708,10.166270783847981,9.770873786407767,9.697617593158215,7.581444227593455,7.1294287780187995
Revenue & Margin,Op. Income / Rev (%),7.08955223880597,7.113960766353713,5.779049976790964,6.118308100515062,6.494418858793225,5.741664069803678,6.893862590657412,7.636674702542965,7.950501455839534,8.46204403549129,6.931668856767412,5.266611977030353,4.47347585114806,4.038834951456311,4.0470372632865,1.9291397688034828,1.547360809833695
Revenue & Margin,Net Profit / Rev (%),2.544776119402985,2.6104877490267917,1.2842333281757699,-0.24972686124551274,-1.3582077901803138,-2.9526332190713616,-2.713873508539343,-0.6454623221090288,-0.14558395341313493,-0.6490305619454486,-2.2256898817345596,-3.748974569319114,-5.407759303246239,-4.683495145631068,-4.650274893097129,-5.562227893709653,-3.224873463485177
EBITDA,Net Income,34100000,34200000,16600000,-3200000,-17400000,-37900000,-34800000,-8300000,-1800000,-7900000,-27100000,-45700000,-68300000,-60300000,-60900000,-74100000,-44600000
EBITDA,D & A,52000000,51700000,51500000,51900000,53900000,57000000,58700000,60500000,62600000,64400000,67600000,69900000,71900000,73800000,74000000,75300000,77200000
EBITDA,Net Int Inc,-53500000,-49400000,-46900000,-47700000,-58100000,-69500000,-80700000,-90700000,-90900000,-92400000,-93800000,-95600000,-86900000,-77000000,-66500000,-55500000,-55200000
EBITDA,Tax Provision,3300000,5600000,7300000,-3800000,-5200000,-5700000,-5300000,1500000,4800000,14000000,13100000,9600000,-900000,-4000000,7900000,4500000,4900000
EBITDA,EBITDA,142900000,140900000,122300000,92600000,89400000,82900000,99300000,144400000,156500000,162900000,147400000,129400000,89600000,86500000,87500000,61200000,92700000
EBITDA,Stock-Based Comp,14300000,18000000,17300000,15500000,12000000,11100000,10300000,10500000,10800000,11100000,11600000,11800000,43700000,44700000,45400000,46600000,16100000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,10.42,10.89,10.4,10.0,10.56,7.89,8.02,10.08,6.57,5.47,2.83,3.21,1.31,2.1,3.98,2.33,2.07
Capital Structure,O/S Shares,100700000,96800000,96600000,96600000,95700000,95600000,96000000,87200000,79600000,77900000,77900000,77800000,77400000,76700000,76400000,66100000,64800000
Capital Structure,Market Capitalization,1049294000,1054152000,1004640000,966000000,1010592000,754284000,769920000,878976000,522972000,425723500,220067500,249738000,101394000,161070000,304072000,154013000,134135999
Capital Structure,Cash,1506400000,172100000,1645800000,1724300000,1791900000,155200000,1952200000,1871600000,1999200000,196100000,1911600000,2171400000,1502600000,146800000,119100000,1611500000,129900000
Capital Structure,Debt,829000000,830800000,831500000,836200000,839500000,843000000,858500000,824400000,916800000,916900000,856700000,855600000,877500000,850300000,846400000,842100000,899200000
Capital Structure,Enterprise Value,371894000,1712852000,190340000,77900000,58192000,1442084000,-323780000,-168224000,-559428000,1146523500,-834832500,-1066062000,-523706000,864570000,1031372000,-615387000,903435999
Capital Structure,netCommonStockIssuance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capital Structure,netDebtIssuance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liquidity & Cash Flow,DSO,205.7006529850746,207.7137241431952,210.52587807519726,196.90602075854534,183.13392787448288,177.18253349953255,177.36216174062233,176.93658138268916,175.58466111290844,159.95738169569503,159.9048332785808,98.96021328958163,114.29730799683294,71.05097087378641,69.85195861331705,136.96404443777212,132.05187997107737
Liquidity & Cash Flow,DIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-443.2112643411751,-435.5392324336636,-879.016393442623,-1300.578118002687,-853.2019872988066,-822.405672823219
Liquidity & Cash Flow,DPO,56.02081558773425,54.93683293400131,55.84859466637158,55.85199420677362,55.70264878643467,61.81064261432175,66.85653378231588,78.50393700787401,93.14319576129392,103.20782960766422,107.69247207658992,108.0004925252057,107.18056030064912,105.22540983606558,100.10733878190776,100.42195883061426,95.80527704485489
Liquidity & Cash Flow,CCC,149.67983739734035,152.7768912091939,154.67728340882567,141.05402655177173,127.4312790880482,115.3718908852108,110.50562795830645,98.43264437481514,82.44146535161451,56.74955208803081,52.21236120199089,-452.2515435767991,-428.42248473747975,-913.1908324049023,-1330.8334981712778,-816.6599016916487,-786.1590698969965
Liquidity & Cash Flow,OCF,108700000,85700000,63300000,78700000,34000000,37100000,44500000,45000000,96800000,97300000,76200000,32500000,36300000,63000000,-8600000,17500000,-900000
Liquidity & Cash Flow,CapEx,-63400000,-53800000,-50200000,-42600000,-40500000,-41400000,-41600000,-42100000,-41900000,-40800000,-42600000,-45200000,-51900000,-54500000,-55800000,-58500000,-58200000
Liquidity & Cash Flow,FCF,45300000,31900000,13100000,36100000,-6500000,-4300000,2900000,2900000,54900000,56500000,33600000,-12700000,-15600000,8500000,-64400000,-41000000,-59100000
BQR,Total Debt / Adj Ebitda,5.801259622113366,5.896380411639461,6.798855273916598,9.030237580993521,9.390380313199104,10.168878166465621,8.64551863041289,5.7091412742382275,5.85814696485623,5.628606507059546,5.812075983717775,6.612055641421947,9.793526785714286,9.830057803468208,9.673142857142857,13.759803921568627,9.700107874865157
BQR,Adj Ebitda / Interest Expense,2.6710280373831776,2.8522267206477734,2.6076759061833688,1.9412997903563942,1.5387263339070567,1.1928057553956835,1.2304832713754648,1.5920617420066152,1.7216721672167217,1.7629870129870129,1.5714285714285714,1.3535564853556485,1.0310701956271577,1.1233766233766234,1.3157894736842106,1.1027027027027028,1.6793478260869565
BQR,Net Income before extraordinary,34100000,34200000,16600000,-3200000,-17400000,-37900000,-34800000,-8300000,-1800000,-7900000,-27100000,-45700000,-68300000,-60300000,-60900000,-74100000,-44600000
BQR,(NCO-CAPEX) / Total Debt (%),5.464414957780458,3.8396726047183436,1.5754660252555623,4.3171490074144945,-0.7742703990470519,-0.5100830367734283,0.337798485730926,0.35177098495875786,5.988219895287958,6.1620678372777835,3.9220263802964865,-1.4843384759233287,-1.7777777777777777,0.9996471833470539,-7.608695652173913,-4.8687804298776864,-6.572508896797153
BQR,Score: Operating Leverage,65,65,75,75,75,75,75,65,65,65,65,75,75,75,75,75,75
BQR,Score: ICR,58,58,58,65,65,75,75,65,65,65,65,75,75,75,75,75,65
BQR,Score: Net Income,48,48,52,65,65,75,75,65,65,65,75,75,75,75,75,75,75
BQR,Score: FCF/Debt,75,75,75,75,75,75,75,75,65,65,75,75,75,75,75,75,75
BQR,BQR,62.2,62.2,66.7,71.0,71.0,75.0,75.0,67.5,65.0,65.0,70.0,75.0,75.0,75.0,75.0,75.0,73.5
